Entity Name,Alternative Name,Type,Tag
Aghrukji,Ukuruji,Kúblái’s son,No
Agricola,,"Governor of Cappadocia, etc",No
Aguil,,Mongol general,No
Ahmad,Achmath,"the Bailo, of Fenaket, his power, oppressions, death",Person
Ahmad,,etc,Person
Ahmad,,"—— Sultan, Khan of Persia, /see/ Acomat",Person
Ahwaz,,province,No
Aidhab,,,No
Aidhej,,or Mal–Amir,No
Aijaruc,,Kaidu’s daughter,Person
Aijaruc,,her strength and prowess,Person
Aijaruc,,her name,Person
Aikah Nowin,,Engineer in Chief of Chinghiz,Person
Ai-lao , Nan-chao,ancient name of the Shans,No
Ai-lao ,,/Aín Akbari (Ayeen Akbery)/,No
Ajmir,,,No
Akbar and Kúblái,,a parallel,No
Ak Bulák salt mines,,,No
Akhaltziké,Western Georgia,,Location
Akhtuba River,,,Location
Ak-khoja,,,No
Aksarai,,or Ghori River,Location
Aksu River,,,Location
Aktár,,,No
Aktásh Valley,,,Location
Aktásh Valley,,/Alabastri/,Location
Alacou,,/see/ Hulákú,Person
Alacou,,"/Aladja/, striped cotton cloth",Person
Alamút,,Castle of the Ismailites,Location
Alan country,,Alania,Location
Alans,,"or Aas, massacre at Chang-chau of",No
Alans,,employed under Mongols,No
Alaone,,the name,No
Alarm Tower,,at Cambaluc,Location
Alarm Tower,,at Kinsay,Location
Alarm Tower,,"/Alatcha/, cotton stuff with blue and red stripes",Location
Alau,,/see/ Hulákú,Person
Alá‘uddin,Alaodin,/see/ Old Man of the Mountain,Person
Alá‘uddin,,"—— (Alawating of Mufali), an engineer in Kúblái’s service",Person
Alá‘uddin,,"—— Khilji, Sultan of Delhi",Person
Albenigaras,,Mt,No
Al Biruni,,,No
Alboquerque,,/see/ D’Alboquerque,No
Alchemy,,Kúblái’s,No
Aleppo,,,No
Alexander the Great,,allusions to legends and romances about,Person
Alexander the Great,,his rampart (Iron Gate),Person
Alexander the Great,,the curtains at a banquet given by,Person
Alexander the Great,,and the /ferrum candidum/,Person
Alexander the Great,,site of his battle with Darius,Person
Alexander the Great,,his wife Roxana,Person
Alexander the Great,,kills a lion,Person
Alexander the Great,,Princes claiming descent from (Zulcarniain),Person
Alexander the Great,,his horse Bucephalus,Person
Alexander the Great,,fixes chains on Adam’s Peak,Person
Alexander the Great,,said to have colonised Socotra,Person
Alexander the Great,,his tower on the border of Darkness,Person
Alexander III,,Pope,Person
Alexander IV,,Pope,Person
Alexandria,,,Location
Alexandria,,trade from India to,Location
Alexandria,,"/Alhinde, Alfinde, Alinde, Al-hint/",Location
Alexandria,,‘Ali and Aliites,Location
Alidada,,,No
Alihaiya,,Kúblái’s general,No
Alinak,,,No
Alligator,,in Carajan,No
Alligator,,mode of killing,No
Alligator,,eaten,No
Alligator,,prophecy of Bhartpúr about,No
Almalik,,,No
Almanacs,,Chinese (Tacuin),No
Almonds,,,No
Aloes,,Socotrine,No
Aloes,,"—— wood, /see/ Lign-aloes",No
Aloes,,"/Alor/, war cry",No
Al–Ramni,,"Al–Ramin, /see/ Sumatra",No
Altai Mountains,Altay Mountains,,Location
Altai Mountains,,the Khan’s burial-place,Location
Altai Mountains,,used for the Khingan range,Location
Altun–Khan,,Mountain,Person
Altun–Khan,,—— sovereign,Person
Amazons,,fable of,No
Ambergris,,,No
Ambergris,,how got,No
Ambergris,,/Amber-rosolli/,No
Amda Zion,,king of Abyssinia,Person
Amda Zion,,his wars /v./ Mahomedans,No
Amda Zion,,not the king mentioned by Polo,No
Ament,,Rev. W.S,No
Ament,,"/Ameri/, a kind of Brazil wood",No
Amhara,,,No
Amien,,Mien (Burma),Location
Amita Buddha,,,No
Ammianus Marcellinus,,,No
Amoy,,,No
Amoy,,harbour,No
Amoy,,languages,No
Amoy,,"/Amphora/, /Anfora/",No
Amu,,"Aniu, /see/ Anin",No
Amu,,"/Amuki/, devoted comrades of the king",No
Amu,,/Anamis/ (Minao) River,Location
Ananda,,Kúblái’s grandson,Person
Anár,,,No
Anaurahta,,king of Burma,Person
Ancestor Worship,,,No
Anchors,,Wooden,No
Anchors,,"/Andaine/, /andena/, /andanicum/, /see/ Ondanique",No
Andaman,Angamanain,island,Location
Andaman,,described,Location
Andaman,,people,Location
Andaman,,form of the word,Location
Andaman,,"/Andan/, /andun/, Wotiak for steel",Location
Andragiri,,,No
Andreas,,king of Abyssinia,Person
Andrew,,Bishop of Zayton,Person
Andrew,,—— Grand Duke of Rostof and Susdal,Person
Andrew,,"/Andromeda ovalifolia/, poisonous",Person
Angamanain,,/see/ Andaman,Location
Angan,,or Hamjám,No
Angan,,"’Angka, gryphon, /see/ Ruc",No
Angkor,,ruins of,No
Ani in Armenia,,,No
Animal Patterns,,/see/ Patterns,No
Anin,,province,Location
Annals of the Indo–Chinese States,,,No
Annals of the Indo–Chinese States,,"‘An-nam, or Tong-king",No
Anselmo,,Friar,No
Anselmo,,"/Anthropoides Virgo/, the demoiselle",No
Antioch,,,No
Antongil Bay,,Madagascar,Location
Aotonomoff,,"Spasski, his ascent of Ararat",Person
Aotonomoff,,"/Apostoille/, word used for Pope",No
Apples of Paradise,Konars,,No
Apricots,,,No
Apricots,,’Apuhota (Kapukada?),No
Apushka,Apusca,Tartar envoy from Persia,Person
Arababni,,,No
Arab geography,,,Location
Arab geography,,—— colonies in Madagascar,Location
Arab geography,,"—— horses, early literary recognition of",Location
Arab geography,,"trade in, /see/ Horses",Location
Arab geography,,"—— merchants, in Southern India",Location
Arab geography,,—— Seamen’s Traditions about Java,Location
Arabi,Arabs,,No
Arabia,,,No
Arabic character,,,No
Arabic character,,"/Arachosía/,/arachoti/",No
Arabic character,,/Araines/,No
Arakan,,,No
Aram,Harám,Place of the,Location
Ararat,,Mount,No
Ararat,,ascents of,No
Arblasts,,crossbows,No
Arbre Sol,,"or Arbre Sec, Region of the (Khorasan)",No
Arbre Sol,,tree described — /Chínár/ or Oriental plane,No
Arbre Sol,,various readings,No
Arbre Sol,,"/Arbre seul/, a wrong reading",No
Arbre Sol,,Tree of the Sun legend,No
Arbre Sol,,Christian legend of the Dry Tree,No
Arbre Sol,,engrafted on legends of Alexander,No
Arbre Sol,,Trees of Grace in Persia,No
Arbre Sol,,Dry Trees in Mahomedan legend,No
Arbre Sol,,"in Rabbinical and Buddhist stories, and legends of the Wood of the",No
Arbre Sol,,Cross,No
Arbre Sol,,Polo’s /Arbre Sec/ to be sought near Damghan,No
Arbre Sol,,Sabaean apologue,No
Arbre Sol,,clue to the term /Arbre Sec/,No
Arcali,,"Arculin, /see/ Erculin",No
Architectural remains in Indo–China,,,No
Ardeshír Bábekán,,first Sassanian king,Person
Ardeshír,,last sovereign of Shabánkára,No
Areca,,,No
Areca,,/Areng Saccharifera/,No
Arezzo,,,No
Argaeus,,Mount,No
Argali,,,No
Arghún,,"Khan of Persia (Polo’s Argon, Lord of the Levant)",Person
Arghún,,sends an embassy to Kúblái for a wife,Person
Arghún,,is dead when she arrives,Person
Arghún,,his unhappy use of the elixir vitae,Person
Arghún,,advances against his uncle Ahmad,Person
Arghún,,harangues his chiefs,Person
Arghún,,sends Ahmad a remonstrance,Person
Arghún,,is taken prisoner,Person
Arghún,,released by certain chiefs,Person
Arghún,,obtains sovereignty,Person
Arghún,,his death,Person
Arghún,,his beauty,Person
Argons,Arghún,half-breeds,No
Arii,,Ariana,No
Arikbuga,,Kúblái’s brother,Person
Arimaspia,,,No
Arimaspian gold,,,No
Ariora–Keshimur,,,No
Ariora–Keshimur,,meaning of /Ariora/,No
Ariosto,,,No
Aripo,,,No
Aristotle,,,No
Arjish,Arzizi,,No
Arkasun Noian,,,No
Arkasun Noian,,"/Arkhaiun/, applied to Oriental Christians or their Clergy",No
Armenia,,Greater,Location
Armenia,Hermenia,Lesser or Cilician,Location
Armenian Christians,,,No
Armenians,,,No
Armillary Zodiacal Sphere,,,No
Armour of boiled leather,,/see/ Cuirbouly,No
Arms of Kerman,,,No
Arms of Kerman,,of the Tartars,No
Arredon ,,River,No
Arrow Divination,,,No
Arrows,,Tartar,No
Artacki,,,No
Arts,,the Seven,No
Aru,,Cumaha,No
Arucki,,,No
Aruk,,,No
Arulun Tsaghan Balghasun,Chagan–Nor,,No
Arya Chakravarti,,,No
Aryavartta,,the Holy Lands of Indian Buddhism,No
Arzinga,Erzingan,,Location
Arziron,Erzrum,,Location
Arzizi,Arjísh,,Location
Asbestos,,and the Salamander,No
Asceticism of the Sensin,,,No
Asceticism of the Sensin,,of the Jogis,No
Asedin Soldan ,Ghaiassuddin Balban,Sultan of Delhi),No
Ashar ,Asciar,king of Cail,Person
Ashishin,,/see/ Assassins,No
Ashod,,founder of the Bagratid dynasty,Person
Ashurada,,,No
Asikan,,Mongol general,Person
Asoka,,,No
Asoka,,"/Asper/, or /akché/ about a groat",No
Assai ,,River,Location
Assassins,Ashishin,"Hashíshin), Ismailites",No
Assassins,,how the Old Man trained them,No
Assassins,,murders by,No
Assassins,,their destruction,No
Assassins,,survival and recent circumstances of the sect,No
Asses,,in Persia,No
Asses,,in Mongolia,No
Asses,,in Madagascar,No
Asses,,in Abyssinia,No
Asses,,in Far North,No
Asterius,,Bishop of Amasia in Pontus,No
Astrakhan,Gittarchan,,No
Astrolabe,,,No
Astrology,,"— ers, in Tangut",No
Astrology,,of Chinghiz,No
Astrology,,at Kúblái’s Court,No
Astrology,,at Cambaluc,No
Astrology,,of Tibet,No
Astrology,,at Kinsay,No
Astrology,,in Maabar,No
Astrology,,in Coilum,No
Astronomical instruments,,ancient Chinese,No
Atabegs,,of Mosul,No
Atabegs,,of Lúr,No
Atabegs,,of Fars,No
Atabegs,,of Yezd,No
Atabegs,,of Kerman,No
Atjeh,,/see/ Achin,No
Atkinson’s Narratives,,and their credibility,No
Atlas,,"Chinese, in Magliabecchian Library",No
Atlas,,[Greek: Attagàs] (Black Partridge),No
Attalus,,King,No
At–Thaibi family,,,No
Auberoche,,Siege of,No
Audh,Oudh,,No
Aufat,,Ifat,No
Augury,,/see/ Omens,No
Aung Khan,Unc Can,/see/ Prester John,No
Aurangzib,,,No
Aurora,,Ibn Fozlán’s account of,No
Aussa,,,No
Aussa,,"‘Avah, Abah, Ava, one of the cities of the Magi",No
Avarian,,epithet of S. Thomas,No
Avebury,,"Lord, on /couvade/",No
Avicenna’s classification of Iron,,,No
Avicenna’s classification of Iron,,"/Avigi, ‘afçi (falco montanus)/",No
Axum,,Inscription,No
Axum,,Church of,No
Axum,,Court of,No
Ayas,Layas,"Aiazzo, etc.), port of Cilician Armenia",No
Ayas,,Sea fight at,No
Ayuthia,,,No
Ayuthia,,/Azumiti/,No
Azure,,Ultramarine (/lapis armenus/) Mines in Badakhshan,No
Azure,,in Tenduc,No
Azure,,ore,No
Azure,,,No
Baba Buzurg,,worshipped by the Lurs,No
Baber,,"E. C, on Ch’êng-tú",Location
Baber,,on wild oxen of Tibet,Location
Baber,,Lolos,Location
Baber,,Gold River (Brius),Location
Baber,,the word Caindu,Location
son,,Talifu,Location
Baber,,Mekong River,Location
Baber,,Zardandan,Location
Baber,,site of battle between Kúblái and king of Mien,Location
Baber,,descent of Mien,Location
Baboons,,etymology,No
Báb-ul-abwáh,,"“The Gate of Gates,” Pass of Derbend",No
Babylon,,Babylonia (Cairo or Egypt),Location
Babylon,,Sultan of,Location
Babylonish garments,,,No
Babylonish garments,,"/Baccadeo/, indigo",No
Baccanor,,,No
Bacon,,Roger,No
Bacon,,as geographer,No
Bacsi,,/see/ Bakhshi,No
Bactria,,its relation to Greece,No
Bacu,,Sea of (Caspian),Location
Badakhshan,Badashan,,Location
Badakhshan,,its population,Location
Badakhshan,,capitals of,Location
Badakhshan,,Mirs of,Location
Badakhshan,,legend of Alexandrian pedigree of its kings,Location
Badakhshan,,depopulation of,Location
Badakhshan,,scenery,Location
Badakhshan,,dialects,Location
Badakhshan,,forms of the name,Location
Badakhshan,,great river of (Upper Oxus),Location
Badáún,,,No
Badger,,Rev. Dr. G.P,No
Badghís,,,No
Badghís,,"/Badgír/, Wind-catchers",No
Badruddín Lú-lú,,last Atabeg of Mosul,No
Badruddín Lú-lú,,/Báfk/ (Báft),No
Baghdad,Baudas,"Baldac, taken by Alau, Hulákú",Location
Baghdad,,its Khalif,Location
Baghdad,,the miracle of the mountain,Location
Baghdad,,—— Archbishop of,Location
Baghdad,,—— its indigo (/baccadeo/),Location
Bagratidae,,of Armenia,No
Bagratidae,,of Georgia,No
Bagration–Mukransky,,Prince,Person
Bahar,,,No
Bahárak,,plain,Location
Bahá-uddin Ayaz,,Wazir of Kalháat,No
Bahá-ul-hakh,,the Saint of Multán,Person
Bahrámábád,,,No
Bahránjird ,,Village,Location
Bahrein,,,No
Baiberdon,,,No
Baiburt,Paipurth,Castle of,Location
Baidu Khan,,,Person
Baidu Khan,,seizes throne of Persia,Person
Baidu Khan,,displaced and killed by Gházán,Person
Baidu Khan,,alleged to be a Christian,Person
Bailo,,the title,No
Bailo,,etymology of,No
Bakhshi,Bacsi,Lamas,No
Bakhshi,,their enchantments,No
Bakhshi,,various meanings of the word,No
Bakhtyáris of Luristán,,the,No
Baku,,oil fields of,Location
Baku,,Sea of (Caspian),Location
Baku,,/Balad-ul-Falfal/ (Malabar),Location
Baku,,/Baladi/,Location
Baku,,"/Balalaika/, a two-stringed Tartar instrument",Location
Baku,,"/Balânjaríyah, devoted lieges/",Location
Bala–Sagun,,,No
Balas rubies,,,No
Baldac,,/see/ Baghdad,Location
Baldac,,"/Baldacchini (Baudekins)/, brocades made at Baghdad",Location
Baldwin II,,last Latin Emperor of Constantinople,No
Bali,,Island of,Location
Bali,,—— in Abyssinia,Location
Bali,,/Balios/,Location
Bali,,/Balish/ (a money of account),Location
Bali,,"/Balista/, always a crossbow in mediaeval times",Location
Balkh,Balc,,Location
Balkhash,, Lake,Location
Ballads,,"Genoese, on sea-fights at Ayas and Curzola",No
Ballard,,Mr.,No
Balor,,"Balaur, Bilaur, Malaur, Bolor",No
Balor,,"/Bálos/, Malacca boats with two rudders",No
Balor,,/Balsamodendron Mukul/,No
Balthazar,,of the Magi,Person
Bálti,,,No
Bálti,,"/Balustrade/, etymology of the word",No
Bamboo ,,,No
Bamboo ,,its multifarious uses,No
Bamboo ,,Kúblái’s Chandu Palace made of,No
Bamboo ,,"great, on banks of Caramoran river",No
Bamboo ,,explode loudly when burning,No
Bamboo ,,large in Tibet,No
Bamboo ,,ropes of,No
Bamboo ,,in Che kiang,No
Bamian,,caves at,No
Bamian,,huge recumbent image at,No
Bamian,,"/Bám-i-Duniah/, “Roof of the World”",No
Bamm,,,No
Bandar Abbás,Bandar–Abbási,,No
Bandith,,,No
Bangala,,/see/ Bengal,Location
Banzaroff,,"Dorji, on Shamanism",No
Baptism,,"accompanied by branding, in Abyssinia",No
Bara,,,No
Barac ,Borrak,Khan of Chagatai,Person
Barac ,,his war with Arghún,Person
Baradaeus,,"Jacob, or James Zanzale, Bishop of Edessa",Person
Barbaro,,Josafat,No
Barbarossa,,Frederic,No
Barberino,,Francesco da,No
Barberino,,"/Barda’at/, saddle-cloths",No
Bardesir,,,No
Bardshír,,"Bardsír, Bard-i-Ardeshír",No
Bargu,Barguchin Tugrum,"or Barguti), plain",No
Bargu,,"/Barguerlac, Syrrhaptes Pallasii/, a kind of sand grouse",No
Bargu,,its migration into England,No
Barguzinsk,,,No
Barin,,Mongol tribe,Location
Bark,,money made from,No
Bark,,fine clothes from,No
Barka,Barca,"Khan, ruler of Kipchak",Person
Barka,Barca,his war with Hulákú,Person
Barkul,,,No
Barkul,,"/Barkút, búrgút (bearcoote)/, eagle trained to the chase",No
Barlaam and Josaphat,,"Story of Saints, from Legend of Buddha",No
Barley,,huskless,No
Baroch,,,Location
Baroch,,"/Baron-tala/, name applied by Mongols to Tibet",Location
Barons,Shieng or Sing,Kaan’s twelve,No
Barozzi,,Nicolo,No
Barros,,John de,No
Barros,,geography of,No
Barsauma,St. Barsamo,,No
Barskul,Barscol,“Leopard Lake”,Location
Bartizan,,Kúblái’s wooden,No
Barus,,"Barros (Sumatra), its camphor",No
Barus,,/Barussae insulae/,No
Barus,,/Barygaza/,No
Bashai,Pashai,,No
Bashkirds,,(Hungarians),No
Bashpah,,"Lama, and the Mongol character called after him",Person
Basma,,/see/ Pasei,No
Basma,,"/Basmuls/ (Guasmuls), half-breeds",No
Basra ,Bastra,noted for its date-groves,No
Bathang,,,No
Baths,,"natural hot, near Hormuz",No
Baths,,in Cathay,No
Baths,,public at Kinsay,No
Batigala,,Batticalla,No
Batochina,,,No
Bats,,"large, in India",No
Battas of Sumatra,,and cannibalism,No
Batthala,,Bettelar (Patlam in Ceylon),No
Battles,,Kúblái /v./ Nayan,No
Battles,,Tartars /v./ king of Mien,No
Battles,,Caidu /v./ Khan’s forces,No
Battles,,Borrak and Arghún,No
Battles,,Arghún and Ahmad,No
Battles,,Hulákú and Barka,No
Battles,,Toktai and Nogai,No
Bátú,,"Khan of Kipchak, founder of Sarai",Person
Bátú,,invades Russia,Person
Bátú,,made by Polo into two kings — Sain and Patu,Person
Bátú,,his character and cruelty,Person
Baudas,,/see/ Baghdad,Location
Baudas,,"/Baudekins/ (baldacchini), brocades made at Baghdad",Location
Baudas,,/Bauduin de Sebourc/,Location
Bavaria,,"Duke Ernest of, a mediaeval Romance",Location
Bawárij,,corsairs,No
Bayan Chingsian,,Kúblái’s greatest Captain,Person
Bayan Chingsian,,prophecy connected with his name,Person
Bayan Chingsian,,his conquest of Manzi or South China,Person
Bayan Chingsian,,his history and character,Person
Bayan Chingsian,,his exceptional cruelty at Chang-chau,Person
Bayan,,Khagan of the Avars,Person
Bayan ,Baian,Kúblái’s Master of the Hounds,Person
Bayan,,son of Nasruddin,Person
Bayezid Ilderim,,,Person
Bdellium,,,No
Beads,,Hindu,No
Bears,,,No
Bears,,white in Far North,No
Beast and bird patterns,,/see/ Patterns,No
Beaten gold,,,No
Beaujeu,,"William de, Master of the Temple",No
Beauty of — Georgians,,,No
Beauty of — Georgians,,Khorasan women,No
Beauty of — Georgians,,Kashmir women,No
Beauty of — Georgians,,Sinju women,No
Beauty of — Georgians,,"/Argons/, or half-breeds",No
Beauty of — Georgians,,the Ungrat or Kungurat tribe,No
Beauty of — Georgians,,people of Coloman,No
Beauty of — Georgians,,Kinsay women,No
Beauty of — Georgians,,Kaidu’s daughter,No
Beauty of — Georgians,,Arghún Khan,No
Beauty of — Georgians,,the Russians,No
Beds,,their arrangement in India,No
Beef,,"not eaten in Maabar, except by the Govi",No
Beef,,formerly eaten in India,No
Bejas of the Red Sea Coast,,,No
Belgutai,,Chinghiz’s stepbrother,No
Belgutai,,“Belic” for “Melic”,No
Bell at Cambaluc,,great,No
Bellal Rajas,,,No
Bellal Rajas,,"/Belledi, balladi/, ginger so called",No
Bellal Rajas,,Spanish use of the word,No
Benares,,brocades of,No
Bendocquedar,,"/see/ Bundúkdári, Bíbars",No
Benedict XII,,Pope,No
Bengal,Bangala,,Location
Bengal,,king of Mien (Burma) and,Location
Bengal,,why Polo couples these,Location
Bengal,,relations between Burma and,Location
Bengal,,claim asserted by king of Burma to,Location
Bengal,,alleged Mongol invasion of,Location
Bengal,,its distance from Caugigu,Location
Bengal,,its currency,Location
Bengal,,confused with Pegu by Polo,Location
Beni Búya dynasty,,,No
Benjamin of Tudela,,on Alexander’s Rampart,No
Benjamin of Tudela,,on the Gryphon,No
Benzoin,,etymology of,No
Berard,,"Thos., Master of the Temple",No
Berbera,,Sea of,Location
Berchet,,G,No
Bereké,,Bátu Khan’s brother,Person
Bernier,,on Kashmir women’s beauty,No
Bernier,,"/Berrie/, the Arabic Baríya, a desert",No
Bettelar,,rendezvous of Pearl Fishers,No
Bettelar,,"/Beyamini/, wild oxen of Tibet",No
Bezant,,,No
Bezant,,value of,No
Bezant,,/Bhagavata/,No
Bhamó,,and River of,Location
Bhartpúr,,prophecy about,No
Bhattis,,the,No
Bháwalpúr,,,No
Bháwalpúr,,"“Bhim’s Baby,” colossal idol at Dhamnár caves",No
Bianco’s,,"Andrea, maps",No
Biar,,,No
Bibars Bundúkdári,,/see/ Bundúkdári,No
Bielo Osero,,,No
Bielo Osero,,"/Bigoncio/, a firkin",No
Bilúchis,,,No
Bilúchis,,their robber raids,No
Bilúchis,,Lumri or Numri,No
Binh Thuan,Champa,,No
Binkin,,,No
Bintang,Pentam,,No
Birch-bark vessels,,,No
Birch-bark vessels,,books,No
Bír-dhúl,,"or Bujardawal, cap. of Ma’bar",No
Bird-hunts,,,No
Birdwood,,Sir G,No
Birhors of Chuta Nagpúr,,,No
Bir–Pandi,,or Pira–Bandi,No
Birthday,,celebration of Kúblái’s,No
Bishbalik,Urumtsi,,No
Bishop,,of Male Island,No
Bishop,,story of an Abyssinian,No
Bitter bread,,,No
Bitter bread,,—— water,No
Blac,,"Blachia (Lac, Wallach)",No
Blac,,"/Black-bone/, Chinese name for Lolos",No
Black Crane,Kará Togorü,,No
Black Crane,,"—— Saints, White Devils in India",No
Black Crane,,"—— Sea, M. Maurum v. Nigrum",No
Black Crane,,—— Sect of Tibet,No
Blacker,,the more beautiful,No
Blaeuw,,map,No
Blochmann,,Professor H,No
Block-books,,"supposed to have been introduced from China,",No
Block-printing in Persia.,,,No
Blood-sucking,,Tartar,No
Blood-sucking,,"/Blous, bloies/",No
Boar’s tusks,,huge (Hipp.),No
Boar’s tusks,,/Boccassini/,No
Bode,,Baron de,No
Bodhisatva Avalok,,,No
Bodleian MS. of Polo,,,No
Bodleian MS. of Polo,,list of miniatures in,No
Boeach,,"mistake for Locac, and its supposed position",No
Boemond,,"Prince of Antioch and Tripoli, letter of Bibar to",No
Boga,Buka,"a great Mongol officer, delivers Arghún",Person
Boghra Khan,,,Person
Bohea ,,country,Location
Bohra,,sect of W. India,No
Boikoff,,Russian Envoy,No
Bokhara,Bocara,,No
Boleyn,,"Anne, her use of buckram",No
Bolgana,,"Queen, see Bulughán",No
Bolgarskoye,Uspenskoye,,No
Bolgarskoye,,"/Bolghar, borgal, borghal/, Russia leather",No
Bolghar,Bolgara,on the Volga,Location
Bolghar,,ruins of,Location
Bolghar,,court of,Location
Bolivar,,"Padre, S.J., his account of the Condor (/Rukh/) of Africa",No
Bolor,,,No
Bombay,,,No
Bonaparte,,"Prince Roland, /Recueil des Documents de l’Époque Mongole/",No
Bonga,,,No
Bonheur,,Rosa,No
Boniface VIII,,Pope,No
Bonin,,C.E,No
Bonoccio di Mestro,,,No
Bonpos,,old Tibetan Sect,No
Bonús,,ebony,No
Bonvalot,,,No
Book of Marco Polo,,,No
Book of Marco Polo,,its contents,No
Book of Marco Polo,,"original language, French",No
Book of Marco Polo,,oldest Italian MS.,No
Book of Marco Polo,,"“Geographic Text,” in rude French",No
Book of Marco Polo,,various types of Text —,No
Book of Marco Polo,,"(1) “Geographic,”",No
Book of Marco Polo,,(2) Pauthier’s MSS,No
Book of Marco Polo,,(3) Pipino’s Latin,No
Book of Marco Polo,,Preface to,No
Book of Marco Polo,,Grynaeus’ Latin,No
Book of Marco Polo,,Müllers’ reprint,No
Book of Marco Polo,,(4) Ramusio’s Italian edition,No
Book of Marco Polo,,its peculiarities,No
Book of Marco Polo,,probable truth about it,No
Book of Marco Polo,,bases of it,No
Book of Marco Polo,,MS. and some of its peculiarities,No
Book of Marco Polo,,general view of the relations of the texts,No
Book of Marco Polo,,notice of an old Irish version,No
Book of Marco Polo,,geographical data,No
Book of Marco Polo,,how far influenced in form by Rustician,No
Book of Marco Polo,,perhaps in description of battles,No
Book of Marco Polo,,diffusion and number of MSS.,No
Book of Marco Polo,,basis of present version,No
Book of Marco Polo,,specimens of different recensions of text,No
Book of Marco Polo,,distribution of MSS.,No
Book of Marco Polo,,miniatures in,No
Book of Marco Polo,,list of MSS.,No
Book of Marco Polo,,Tabular view of the filiation of chief MSS.,No
Book of Marco Polo,,Bibliography,No
Book of Marco Polo,,titles of works cited,No
Book of Marco Polo,,Spanish edition,No
Bore in Hang-chau Estuary,,,No
Bore in Hang-chau Estuary,,"/Borgal, see Bolghar/",No
Bormans,,Stanislas,No
Born,,Bertram de,No
Borneo,,"camphor, /see/ Camphor",No
Borneo,,—— tailed men of,No
Boro Bodor,,"Buddhist Monument, Java",No
Borrak,,"Amir, Prince of Kerman (Kutlugh Sultan?)",Person
Borrak,,"—— Khan of Chaghatai, /see/ Barac",Person
Borùs,,the,No
Bostam,,,No
