Entity Name	Type	Tag
Alexander the Great	kills a lion	Person
Alexander the Great	Princes claiming descent from (Zulcarniain)	Person
Alexander the Great	fixes chains on Adam�s Peak	Person
Alexander the Great	said to have colonised Socotra	Person
Alexandria	trade from India to	Location
Alidada		FALSE
Alihaiya	general of Kublai	Person
Alinak		FALSE
Alligator	in Carajan	FALSE
Alligator	mode of killing	FALSE
Alligator	eaten	FALSE
Alligator	prophecy of Bhartp�r about	FALSE
Almalik		FALSE
Almanacs	Chinese (Tacuin)	FALSE
Almonds		FALSE
Aloes	Socotrine	FALSE
Aloes	DASH wood, see Lign-aloes	FALSE
Aloes	Alor, war cry	FALSE
Altai (Altay) Mountains	the Khan's burial-place	Location
Altai (Altay) Mountains	used for the Khingan range	Location
Altun-Khan	Mountain	Location
Altun-Khan	DASH sovereign	Location
Al�Ramni	Al�Ramin, see Sumatra	FALSE
Amazons		Location
Ambergris	how got	FALSE
Amda Zion	king of Abyssinia	Person
Amda Zion	his wars against  Mahomedans	Person
Amda Zion	not the king mentioned by Polo	Person
Ameri	a kind of Brazil wood so called	FALSE
Amhara		FALSE
Amien	Mien (Burma)	FALSE
Amita Buddha		FALSE
Amphora	Anfora	FALSE
Amu	Aniu, see Anin	FALSE
Ananda	Kublai's grandson	Person
Anaurahta	king of Burma	Person
Ancestor Worship		FALSE
Anchors	Wooden	FALSE
Andaine	andena, andanicum, see Ondanique	FALSE
Andaman Islands 	Natives, see Angamanain	FALSE
Andragiri		FALSE
Andreas	king of Abyssinia	Person
Andrew	Bishop of Zayton	Person
Andromeda ovalifolia	poisonous	FALSE
Andun	andun, words for steel	FALSE
Angamanain (Andaman island)	described	Location
Angamanain (Andaman island)	form of the word	Location
Angelic French	or Hamj�m	FALSE
Animal Patterns	see Beast	FALSE
Anin	province of, described	Location
Annals of the Indo�Chinese States	Remarks on the written	FALSE
Antarctic	Star at the, as drawn by Marco Polo	FALSE
Anthropoides Virgo		FALSE
Antongil Bay		FALSE
An�r		FALSE
Apostoille (for 'Pope')		FALSE
Apples of Paradise 		FALSE
Apushka (Apusca)	Tartar envoy from Persia	FALSE
Arab Seamen's Traditions about Java	DASH merchants, in Southern India	Person
Arab Seamen's Traditions about Java		FALSE
Arab Seamen's Traditions about Java	DASH colonies in Madagascar	Location
Arab Seamen's Traditions about Java	DASH Horses, trade in ,see Horses	FALSE
Arabadni		FALSE
Arabi 	People called (Arabs)	Organization
Arabia		FALSE
Arachoti		FALSE
Araines	the word	FALSE
Arakan		FALSE
Aram (Har�mi)	the word	FALSE
Ararat	ascents of	FALSE
Arblasts	see crossbows	FALSE
Arbre Sec	DASH Seul (a wrong reading)	FALSE
Arbre Sol or Arbre Sec	in Rabbinical and Buddhist stories, and legends of the Wood of the Cross	Location
Arbre Sol or Arbre Sec	 Region of the (Khorasan)	Location
Arbre Sol or Arbre Sec	DASH described � Ch�n�r or Oriental plane	Location
Arbre Sol or Arbre Sec	various readings	Location
Arbre Sol or Arbre Sec	Arbre seul, a wrong reading	Location
Arbre Sol or Arbre Sec	Tree of the Sun legend	Location
Arbre Sol or Arbre Sec	Christian legend of the Dry Tree (Arbre Sec)	Location
Arbre Sol or Arbre Sec	engrafted in the legends of Alexander	Location
Arbre Sol or Arbre Sec	Trees of Grace in Persia	Location
Arbre Sol or Arbre Sec	Dry Trees in Mahomedan legend	Location
Arbre Sol or Arbre Sec	Polo�s Arbre to be sought near Damghan	Location
Arbre Sol or Arbre Sec	the Chinar,and Sabaean Apologue regarding it	Location
Arcali	Arculin, see Erculin	FALSE
Archbishop of Socotra		FALSE
Architectural remains in Indo�China		FALSE
Areca		FALSE
Areng Saccharifera		FALSE
Argaeus	Mount	FALSE
Argali		FALSE
Arghun Khan (Argon, Lord of the Levant, of Polo)	Khan of Persia 	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	his unhappy use of the Elixir Vitae	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	advances against his uncle Ahmad	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	harangues his chiefs	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	his death	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	his beauty	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	sends an embassy to the great kaan for a wife	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	is dead when she arrives	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	sends Ahmad a remonstrance	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	is taken prisoner	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	released by certain chiefs	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	obtains sovereignty	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	puts Ahmad to death	Person
Arghun Khan (Argon, Lord of the Levant, of Polo)	is recognised as sovereign	Person
Argons or half-breeds (Argh�n)		FALSE
Arii	Ariana	FALSE
Arikbuga	brother of Kublai	Person
Arimaspia		FALSE
Ariora Keshimur	meaning of Ariora	FALSE
Aripo		FALSE
Arjish (Arzizi)		FALSE
Arkasun Noian		FALSE
Arkhaiun	applied to Oriental Christians or their Clergy	FALSE
Armenia	DASH Greater	FALSE
Armenia	Lesser or Cilician	FALSE
Armenian Christians		FALSE
Armenians		FALSE
Arms of Kerman celebrated	of the Tartars	FALSE
Arrows	Tartar	FALSE
Artacki		FALSE
Arts	the Seven	FALSE
Aru (in Sumatra)		FALSE
Arucki		FALSE
Aruk		FALSE
Arya Chakravarti		FALSE
Aryavartta	the Holy Lands of Indian Buddhism	Person
Arzinga (Erzingan)		FALSE
Arziron (Erzrum)		FALSE
Arzizi (Arj�sh)		FALSE
Asbestos and the Salamander		FALSE
Asceticism of the Sensin	of the Jogis	FALSE
Asciar	see Ashar 	FALSE
Asedin Soldan (Ghaiassuddin Balban)	Sultan of Delhi	Person
Ashishin	see Assassins	FALSE
Asoka	founder of the Bagratid dynasty	Person
Asper		FALSE
Assassins	 see Ismailites	FALSE
Asses	Fine, in Persia	FALSE
Asses	DASH Wild, in Persia	FALSE
Asses	in Mongolia	FALSE
Asses	in Madagascar	FALSE
Asses	in Abyssinia	FALSE
Asses	in Far North	FALSE
Asterius	Bishop of Amasia in Pontus	Person
Astrakhan (Gittarchan)		FALSE
Astrolabe		FALSE
Astrology	Astrologers, in Tangut	FALSE
Astrology	of Chinghiz	FALSE
Astrology	at Kaan�s Court	FALSE
Astrology	at Cambaluc	FALSE
Astrology	at Kinsay	FALSE
Astrology	in Maabar	FALSE
Astrology	in Coilum	FALSE
Atabegs	of Mosul	FALSE
Atabegs	of L�r	FALSE
Atabegs	of Fars	FALSE
Atabegs	of Yezd	FALSE
Atabegs	of Kerman	FALSE
Atkinson's Explorations impunged by Russians		FALSE
Atlas	Chinese, in Magliabecchian Library	FALSE
Audh (Oudh)		FALSE
Aufat	Ifat	FALSE
Augury	see Omens	FALSE
Aung Khan (Unc Can, see Prester John of Polo)	Chinghiz's victory over	Person
Aurangzib		FALSE
Aurora	striking description of 	FALSE
Aussa		FALSE
Avarian	epithet of S. Thomas	FALSE
Axum	Inscription	FALSE
Axum	Court of	FALSE
Ayas (Layas,Aiazzo, Giazza, port of Cilician Armenia)	Sea fight at	FALSE
Ayuthia		FALSE
Ayuthia		FALSE
Azumiti		FALSE
Azure(Ultramarine)	Mines in Badakhshan	Location
Azure(Ultramarine)	Mines in Tenduc	Location
Azure(Ultramarine)	ore of	FALSE
A�tius	his prescription of musk	Person
A�tius	of camphor	Person
Baba Buzurg	worshipped by the Lurs	FALSE
Baboons	etymology of the word	FALSE
Babylon	Babylonia (Cairo or Egypt)	Location
Babylon	Sultan of	Person
Babylonish garments		FALSE
Baccadeo	indigo	FALSE
Baccanor		FALSE
Bacsi(Bakhshi)	Lamas	FALSE
Bacsi(Bakhshi)	various changes of meaning	FALSE
Badakhshan (Badashan)	great river of (Upper Oxus)	Location
Badakhshan (Badashan)	scenery	FALSE
Badakhshan (Badashan)	dialects	FALSE
Badakhshan (Badashan)	forms of the name	FALSE
Badakhshan (Badashan)	People of 	FALSE
Badakhshan (Badashan)	Mirs of	FALSE
Badakhshan (Badashan)	described	FALSE
Badakhshan (Badashan)	capitals 	FALSE
Badakhshan (Badashan)	Kings of, claim descent from Alexander, 	FALSE
Badakhshan (Badashan)	depopulation of	FALSE
Badger	Rev. G.P	FALSE
Badgh�s		FALSE
Badg�r	Wind-catchers	Person
Badruddin Lulu of Mosul	last Atabeg of Mosul	FALSE
Bad��n		FALSE
Bafk		FALSE
Baft		FALSE
Baghdad (Baudas)	DASH its indigo (baccadeo)	FALSE
Bagratidae	of Armenia	FALSE
Bagratidae	of Georgia	FALSE
Bahar		FALSE
Bahrein		FALSE
Bah�uddin Ayaz		FALSE
Bai		FALSE
Baiberdon		FALSE
Baidu Khan	seizes throne of Persia	Person
Baidu Khan	displaced and put to death by Ghazan	Person
Baidu Khan	alleged to be a Christian	Person
Bailo	the title	FALSE
Bailo	etymology of	FALSE
Bakhty�ris of Lurist�n		FALSE
Bala-Sagun		FALSE
Baldacchini (Baudekins)	brocades made at Baghdad	FALSE
Baldwin de Courtenay	last Latin Emperor of Constantinople	Person
Bali	Island of	Location
Bali	DASH in Abyssinia	Location
Balios		FALSE
Balish (a money of account)		FALSE
Balista	always a crossbow in mediaeval times	FALSE
Balkhash 	Lake	FALSE
Ballaad-ul-Falfal		FALSE
Ballads	Genoese, on sea-fights at Ayas and Curzola	FALSE
Ballard	Mr.	FALSE
Balor	Balaur, Bilaur, Malaur, see Bolor	FALSE
Balsamodendron Mukul		FALSE
Balti		FALSE
Balustrade	etymology of the word	FALSE
Bam-i-dunyah	Roof of the World	Location
Bamboo 	Jungle of, on fire	Location
Bamboo 	its multifarious uses	FALSE
Bamboo 	largest size of	FALSE
Bamboo 	Chekiang	FALSE
Bamian	huge recumbent image at	FALSE
Bamian	caves at	FALSE
Bamm		FALSE
Bamo	River of	Location
Bandar Abbas (Bandar-Abbasi)		FALSE
Bangala	see Bengal	Location
Baptism accompanied by branding in Abyssinia		FALSE
Bara		FALSE
Barac (Borrak)	Khan of Chagatai	Person
Barac (Borrak)	his war with Arghun	Person
Barberino	Francesco da	FALSE
Barberino	mentions Cathay	FALSE
Bardesir		FALSE
Bargu 	plain of	FALSE
Barguchin Tugrum		FALSE
Barguerlac 	Bird called	FALSE
Barguzinsk		FALSE
Barin	Mongol tribe	FALSE
Bark	fine clothes from	FALSE
Barka Khan (Barca)	ruler of Kipchak	Person
Barka Khan (Barca)	his war with Hukalu	Person
Barkul		FALSE
Bark�t 	 eagle trained to the chase	FALSE
Barlaam and Josaphat	Story of Saints, from Legend of Buddha	FALSE
Barley	Huskless	FALSE
Baroch		FALSE
Baron-tala	name applied by Mongols to Tibet	FALSE
Barozzi	Dr. Nicolo	Person
Barsauma (St. Brassamo)		FALSE
Barskul (Barscol)		FALSE
Barus	Barros in Sumatra, its camphor	FALSE
Barussae Insulae		FALSE
Barygazu		FALSE
Bashai (Pashai)		FALSE
Basma	a kingdom of Sumatra	Location
Basmuls	see Guasmuls	FALSE
Baspa Lama and the Mongol character called after him		FALSE
Basra (Bascra or Bastra)		FALSE
Bathang		FALSE
Baths	natural hot, near Hormuz	FALSE
Baths	in Cathay	FALSE
Baths	public at Kinsay	FALSE
Batigala	Batticalla, Battecala	FALSE
Batochina		FALSE
Bats	large, in India	FALSE
Battas of Sumatra and their  cannibalism		FALSE
Batthala (Patlam in Ceylon)		FALSE
Battles	Tartars and the king of Mien	Person
Battles	Kublai's with Nayan	FALSE
Battles	Kaidu and Kaan's forces	FALSE
Battles	Borrak and Arghun	FALSE
Battles	Arghun and Ahmad	FALSE
Battles	Hukalu and Barka	FALSE
Battles	Toktai and Nogai	FALSE
Battles	Remarks on the authorship of these passages	FALSE
Batu	Khan of Kipchak,  surnamed Sain or Good	Person
Batu	his character and cruelty	Person
Batu	founder of Sarai	Person
Batu	invades Russia	Person
Batu	made by Polo into two kings ( Sain and Patu) by Polo	Person
Baudas (Baghdad)	Calif of, and the Miracle of the Mountain	Location
Baudas (Baghdad)	described	Location
Baudas (Baghdad)	taken by Alau (Hukalu)	Location
Baudekins 	see Baldacchini	FALSE
Bauduin de Sebourc	the Romance of, and its borrowing from Polo	FALSE
Bavaria	Duke Ernest of, a mediaeval Romance	Location
Baw�rij	corsairs	FALSE
Bayan Chingsian	son of Nasruddin	Person
Bayan Chingsian	prophecy connected with his name	Person
Bayan Chingsian	his conquest of Manzi or South China	Person
Bayan Chingsian	note on his history and character	Person
Bayan Chingsian	his exceptional cruelty at Changchau	Person
Bayan Chingsian	 greatest Mongol Captain under Kublai	Person
Bayan Chingsian	Khagan of the Avars	Person
Bayan Chingsian	Kaan's Master of the Hounds	Person
Bazacata		FALSE
Bdellium		FALSE
Beads	Hindu	FALSE
Bearcoote		FALSE
Bears		FALSE
Bears	white in Far North	FALSE
Beast and bird patterns on silks	see Patterns	FALSE
Beaten gold		FALSE
Beauty of Georgians		Person
Beauty of Georgians	Khorasan women	Person
Beauty of Georgians	Kashmir women	Person
Beauty of Georgians	Sinju women	Person
Beauty of Georgians	Argons, or half-breeds	Person
Beauty of Georgians	the Ungrat or Kungurat tribe	Person
Beauty of Georgians	people of Coloman	Person
Beauty of Georgians	Kinsay women	Person
Beauty of Georgians	Kaidu's daughter	Person
Beauty of Georgians	of Arghun Khan	Person
Beauty of Georgians	of the Russians	Person
Beds	their arrangement in India	FALSE
Beef not eaten in Maabar	except by the Govi	FALSE
Bejas of the Red Sea Coast		FALSE
Belic' for 'Melic'		FALSE
Bell	Great,  at Cambaluc	FALSE
Bellal Rajas		FALSE
Belledi(or balladi)	ginger so called	FALSE
Belledi(or balladi)	Spanish use of the word	FALSE
Bendocquedar	see B�bars Bund�kd�ri 	FALSE
Benedict	Pope	Person
Bengal (Bangala)	king of Mien (Burma) and	Person
Bengal (Bangala)	claim asserted by king of Burma to	Person
Bengal (Bangala)		Location
Bengal (Bangala)	why Polo couples these titles	Location
Bengal (Bangala)	relations between mediveal Burma  and	Location
Bengal (Bangala)	alleged Mongol invasion of	Location
Bengal (Bangala)	its distance from Caugigu	Location
Bengal (Bangala)	its currency	Location
Bengal (Bangala)	confused with Pegu by Polo	Location
Benjamin of Tudela on the Gryphon		FALSE
Benzoin	etymology of	FALSE
Berbera	Sea of	Location
Berchet	Cavaliere G.	FALSE
Bern MS. Of Polo's Book	B�tu Khan�s brother	Person
Berrie	meaning and etymology	FALSE
Bettelar	rendezvous of Pearl Fishers	Person
Beyamini	Wild Oxen called	FALSE
Bezant		FALSE
Bhartpur	prophecy about	FALSE
Bianconi	Prof. on the Text of Polo	Person
Biar		FALSE
Bibars Bund�kd�ri (Bendocquedar)	his character	Person
Bibars Bund�kd�ri (Bendocquedar)	Mamluk Sultan of Egypt	Person
Bibars Bund�kd�ri (Bendocquedar)	invades Cilician Armenia	Person
Bibars Bund�kd�ri (Bendocquedar)	extraordinary Letter of	Person
Bibars Bund�kd�ri (Bendocquedar)	killed by kumiz	Person
Bielo Osero		FALSE
Bigoncio		FALSE
Bil�chis	their robber raids	FALSE
Binkin		FALSE
Bintang (Pentam)		FALSE
Birch-bark Books		FALSE
Bird-hunts	Siberian	FALSE
Birdwood	Sir G	FALSE
Birhors of Chuta Nagp�r		FALSE
Birthday of the Great Kaan	its celebration	FALSE
Bir�Pandi or Pira�Bandi		FALSE
Bishbalik		FALSE
Bishop	of Male Island	FALSE
Bishop	story of an Abyssinian	FALSE
Bitter bread		FALSE
Bitter bread	DASH water	FALSE
Blac	Blachia (Lac, Wallach)	FALSE
Black Crane		FALSE
Black Crane	DASH Saints, White Devils in India	FALSE
Black Crane	DASH Sect of Tibet	FALSE
Blacker the more beautiful		FALSE
Block-books	supposed to have been introduced from China,	FALSE
Block-books	printing in Persia	FALSE
Blood-sucking	Tartar	FALSE
Blous, Bloies'	the words	FALSE
Boar's tusks	Huge (Hippopotamus)	FALSE
Boccassini	the word	FALSE
Bodhisatva Avalokitecvara		FALSE
Bodleian MS. of Polo		FALSE
Boeach	mistake for Locac, and its supposed position	FALSE
Boemond	Prince of Antioch and Tripoli, letter of Bibar to	Person
Boga (Buka)	a great Mongol officer, delivers Arghun	Person
Boghra Khan		Person
Bohea country		FALSE
Boikoff	Russian Envoy	FALSE
Bokhara (Bocara)		FALSE
Bolgana	Queen, see Bulughan	Person
Bolghar	Borgal,i.e. Russian Leather	Person
Bolghar (Bolgara)	on the Wolga	Location
Bolghar (Bolgara)	account of	Location
Bolghar (Bolgara)	court of	Location
Bolivar	Padre, S.J., his account of the Condor (Rukh) of Africa	Person
Bolor		FALSE
Bombay		Location
Bonga		FALSE
Boniface		FALSE
Bonoccio di Mestro		FALSE
Bonus (Ebony)		FALSE
Book of Marco Polo	its contents	FALSE
Book of Marco Polo	original language, French	FALSE
Book of Marco Polo	oldest Italian MS.	FALSE
Book of Marco Polo	Geographic Text,in rude French	FALSE
Book of Marco Polo	various types of Text	FALSE
Book of Marco Polo	(1) Geographic	FALSE
Book of Marco Polo	(2) Pauthier�s MSS	FALSE
Book of Marco Polo	(3) Pipino�s Latin	FALSE
Book of Marco Polo	Preface to	FALSE
Book of Marco Polo	Grynaeus� Latin	FALSE
Book of Marco Polo	M�llers� reprint	FALSE
Book of Marco Polo	(4) Ramusio's Italian edition	FALSE
Book of Marco Polo	its peculiarities	FALSE
Book of Marco Polo	probable truth about it	FALSE
Book of Marco Polo	bases of it	FALSE
Book of Marco Polo	MS. and some of its peculiarities	FALSE
Book of Marco Polo	general view of the relations of the texts	FALSE
Book of Marco Polo	notice of an old Irish version	FALSE
Book of Marco Polo	geographical data	FALSE
Book of Marco Polo	how far influenced in form by Rustician	FALSE
Book of Marco Polo	perhaps in description of battles	FALSE
Book of Marco Polo	diffusion and number of MSS.	FALSE
Book of Marco Polo	basis of present version	FALSE
Book of Marco Polo	specimens of different recensions of text	FALSE
Book of Marco Polo	distribution of MSS.	FALSE
Book of Marco Polo	miniatures in	FALSE
Book of Marco Polo	list of MSS.	FALSE
Book of Marco Polo	Tabular view of the filiation of chief MSS.	FALSE
Book of Marco Polo	Bibliography	FALSE
Book of Marco Polo	titles of works cited	FALSE
Book of Marco Polo	Spanish edition	FALSE
Bore in Hangchau Estuary		FALSE
Borgal	See Bolghar	FALSE
Borneo	camphor, see Camphor	FALSE
Borneo	DASH tailed men of	FALSE
BoroBodor		FALSE
Borrak (Barac)	Khan of Chaghatai	Person
Borrak (Barac)	DASH Amir, Prince of Kermau	Person
Bostam		FALSE
Bouqueran	see Buckram	FALSE
Boxwood Forests in Georgia		FALSE
Bozzi	the word	FALSE
Bragadino	Marco, husband of Marco Polo's daughter, Fantina	Person
Brahmanical Thread		FALSE
Brahmans (Abraiaman)	fish-charmers to the pearl fishery	Person
Brahmans (Abraiaman)		Person
Brahmans (Abraiaman)	their character and virtues	Person
Brahmans (Abraiaman)	their king	Person
Brahmans (Abraiaman)	their omens	Person
Brahmans (Abraiaman)	longevity	Person
Brahmans (Abraiaman)	Chughi	Person
Brahmans (Abraiaman)	Palladian legend of	Person
Brahuis		FALSE
Brakhimov		FALSE
Brambanan	ruins at	FALSE
Bran diet		FALSE
Brazil (wood)	in Locac	FALSE
Brazil (wood)	in Sumatra	FALSE
Brazil (wood)	manner of growth	FALSE
Brazil (wood)	in Ceylon	FALSE
Brazil (wood)	in Coilum (Coilumin)	FALSE
Brazil (wood)	different kinds	FALSE
Brazil (wood)	vicissitudes of the word	FALSE
Brazil (wood)	its use prohibited by Painters' Guild	FALSE
Brephung monastery		FALSE
Bretesche	the word	FALSE
Brichu (Brius the Upper Kiang)		FALSE
Bridges	 of Pulisanghin	FALSE
Bridges	Sindafu (Chingtu)	FALSE
Bridges	of Suchau	FALSE
Bridges	of Kinsay	FALSE
Bridges	at Kienningfu	FALSE
Bridges	Fuchau	FALSE
Bridges	at Zayton, or Chinchau	FALSE
Brine-wells	Salt	FALSE
Brius 	the River (Kinsha Kiang)	Location
Brown	Sir Thomas, on Polo	Person
Bruce's Abyssinian Chronology		FALSE
Brunetto Latini's Book	Li Tresor	FALSE
Bucephalus	breed of	FALSE
Buckrams	of Arzinga	FALSE
Buckrams	described	FALSE
Buckrams	etymology	FALSE
Buckrams	at Mardin	FALSE
Buckrams	in Tibet	FALSE
Buckrams	at Mutfili	FALSE
Buckrams	Malabar	FALSE
Buddha	DASH his Footmark on Adam's Peak	Person
Buddha	his Tooth Relic	Person
Buddha	his Alms Dish	Person
Buddha	see Sakya Muni	Person
Buddha	a Saint of the Greek and Roman Churches	Person
Buddhism	in Kashmir	FALSE
Buddhism	in Tangut	FALSE
Buddhism	in Kamul	FALSE
Buddhism	Amelio rating effect of, on rude nations	FALSE
Buddhism	Occassional spiritual forces of, in China	FALSE
Buddhism	in South India	FALSE
Buddhism	see Idolatry	FALSE
Buddhist 	Decalogue	FALSE
Buddhist 	Idols	FALSE
Buffet and vessels of Kaan's table		FALSE
Buka (Boga)	a great Mongol chief	Person
Bularguchi	or 'Keeper of Waifs'	FALSE
Bulgaria	Great	FALSE
Bulugh�n 	DASH another	Person
Bulugh�n 	the Lady (Bolgana)	FALSE
Bund�kd�r	see Bibars	FALSE
Burkan Kaldun		FALSE
Burma 	King of (See also Mien.)	Person
Burning paper imitations of property at funerals	DASH Heretical Mean and books	Person
Burning paper imitations of property at funerals		FALSE
Burning paper imitations of property at funerals	DASH Widows in South India	FALSE
Burning the Dead	in Tangut	FALSE
Burning the Dead	in China, apparantely common in Middle Ages, se Dead	FALSE
Buryats or Buraets		FALSE
Butchers	in Kashmir	FALSE
Butchers	in Tibet	FALSE
Butchers	in South India	FALSE
Butiflis (Mutfili)		FALSE
Caaju	castle of	Location
Cacanfu (Hokiang-fu)		FALSE
Cachanfu (P�uchau-fu)		FALSE
Cachar Modun		FALSE
Cachilpatnam		FALSE
Caesalpinia	see Brazil	FALSE
Caesarea of Cappadocia (Casaria)		FALSE
Caichu	castle of 	Location
Caidu	see Kaidu	Person
Caiju (on the Hoang-Ho)		FALSE
Caiju (on the Kiang, Kwachau)		FALSE
Cail (K�yal)		FALSE
Cail (K�yal)	a great port of Commerce	Location
Cail (K�yal)	the king	Location
Cail (K�yal)	identified	Location
