Entity Name	Type
Aijaruc	her name
Aijaruc	the real lady
Aikah Nowin	Engineer in Chief of Chinghiz
Ajmir	
Akaas of Bolor	
Akbar and Kublai	a parallel
Ak-Bulak salt-mines	
Akhaltziké (Western Georgia)	
Akhtuba River	
Ak-khoja	
Aktar	
Alabastri	
Alacou(Hukalu)	see Alau
Alacou	"Aladja, striped cotton cloth"
Alamut	Castle of the Ismailites
Alania	
Alans	"massacre of a party of, at Changchau"
Alans	employed under Mongols
Alaone	the name
Alarm Tower	at Cambaluc
Alarm Tower	at Kinsay
Alarm Tower	"Alatcha, cotton stuff with blue and red stripes"
Alau	khan of Persia
Alau	takes Baghdad and puts the Khalif to death
Alau	Longfellow's Poem on the subject
Alau	makes an end of the Old Man of the Mountain
Alau	his war with Barka
Alauddin (Alaodin)	see Old Man of the Mountain
Alauddin (Alaodin)	"DASH (Alawating of Mufali), an engineer in Kublai’s service"
Alauddin (Alaodin)	"DASH Khilji, Sultan of Delhi"
Albenigaras	
Al Biruni	
Alboquerque	see D’Alboquerque
Alchemy	the Kaan's
Alexander the Great	"allusions to legendary History of, and Romances regarding"
Alexander the Great	his rampart (Iron Gate)
Alexander the Great	the curtains at a banquet given by
Alexander the Great	and the ferrum candidum
Alexander the Great	site of his battle with Darius
Alexander the Great	his wife Roxana
Alexander the Great	kills a lion
Alexander the Great	Princes claiming descent from (Zulcarniain)
Alexander the Great	his horse Bucephalus
Alexander the Great	fixes chains on Adam’s Peak
Alexander the Great	said to have colonised Socotra
Alexander the Great	his tower on the border of Darkness
Alexander III	Pope
Alexander IV	Pope
Alexandria	trade from India to
Alidada	
Alihaiya	general of Kublai
Alinak	
Alligator	in Carajan
Alligator	mode of killing
Alligator	eaten
Alligator	prophecy of Bhartpúr about
Almalik	
Almanacs	Chinese (Tacuin)
Almonds	
Aloes	Socotrine
Aloes	"DASH wood, see Lign-aloes"
Aloes	"Alor, war cry"
Al–Ramni	"Al–Ramin, see Sumatra"
Altai (Altay) Mountains	the Khan’s burial-place
Altai (Altay) Mountains	used for the Khingan range
Altun–Khan	Mountain
Altun–Khan	DASH sovereign
Amazons	
Ambergris	how got
Amda Zion	king of Abyssinia
Amda Zion	his wars against  Mahomedans
Amda Zion	not the king mentioned by Polo
Ameri	a kind of Brazil wood so called
Amhara	
Amien	Mien (Burma)
Amita Buddha	
Amphora	Anfora
Amu	"Aniu, see Anin"
Ananda	Kúblái’s grandson
Anár	
Anaurahta	king of Burma
Ancestor Worship	
Anchors	Wooden
Andaine	"andena, andanicum, see Ondanique"
Andaman Islands 	"Natives, see Angamanain"
Andragiri	
Andreas	king of Abyssinia
Andrew	Bishop of Zayton
Andromeda ovalifolia	poisonous
Andun	"andun, words for steel"
 Angamanain (Andaman island)	described
 Angamanain (Andaman island)	form of the word
Angelic French	or Hamjám
’Angka(Gryphon)	
Animal Patterns	see Beast
Anin	"province of, described"
Annals of the Indo–Chinese States	Remarks on the written
"‘An-nan, or Tongking"	
Antarctic	"Star at the, as drawn by Marco Polo"
Anthropoides Virgo	
Antongil Bay	
Apostoille (for 'Pope')	
Apples of Paradise 	
’Apuhota (Kapukada?)	
Apushka (Apusca)	Tartar envoy from Persia
Arab Seamen's Traditions about Java	
Arab Seamen's Traditions about Java	DASH colonies in Madagascar
Arab Seamen's Traditions about Java	"DASH Horses, trade in ,see Horses"
Arab Seamen's Traditions about Java	"DASH merchants, in Southern India"
Arabi 	People called (Arabs)
Arabia	
Arabadni	
Arachoti	
Araines	the word
Arakan	
Aram (Harámi)	the word
Ararat	ascents of
Arblasts	see crossbows
Arbre Sol or Arbre Sec	 Region of the (Khorasan)
Arbre Sol or Arbre Sec	DASH described — Chínár or Oriental plane
Arbre Sol or Arbre Sec	various readings
Arbre Sol or Arbre Sec	"Arbre seul, a wrong reading"
Arbre Sol or Arbre Sec	Tree of the Sun legend
Arbre Sol or Arbre Sec	Christian legend of the Dry Tree (Arbre Sec)
Arbre Sol or Arbre Sec	engrafted in the legends of Alexander
Arbre Sol or Arbre Sec	Trees of Grace in Persia
Arbre Sol or Arbre Sec	Dry Trees in Mahomedan legend
Arbre Sol or Arbre Sec	"in Rabbinical and Buddhist stories, and legends of the Wood of the Cross"
Arbre Sol or Arbre Sec	Polo’s Arbre to be sought near Damghan
Arbre Sol or Arbre Sec	"the Chinar,and Sabaean Apologue regarding it"
Arbre Sec	DASH Seul (a wrong reading)
Arcali	"Arculin, see Erculin"
Archbishop of Socotra	
Architectural remains in Indo–China	
Areca	
Areng Saccharifera	
Argaeus	Mount
Argali	
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	Khan of Persia 
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	sends an embassy to the great kaan for a wife
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	is dead when she arrives
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	his unhappy use of the Elixir Vitae
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	advances against his uncle Ahmad
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	harangues his chiefs
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	sends Ahmad a remonstrance
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	is taken prisoner
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	released by certain chiefs
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	obtains sovereignty
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	puts Ahmad to death
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	is recognised as sovereign
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	his death
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	his beauty
Argons or half-breeds (Arghún)	
Arii	Ariana
Arikbuga	brother of Kublai
Arimaspia	
Ariora Keshimur	meaning of Ariora
Aripo	
Arjish (Arzizi)	
Arkasun Noian	
Arkhaiun	applied to Oriental Christians or their Clergy
Armenia	DASH Greater
Armenia	Lesser or Cilician
Armenian Christians	
Armenians	
Arms of Kerman celebrated	of the Tartars
Arrows	Tartar
Artacki	
Arts	the Seven
Aru (in Sumatra)	
Arucki	
Aruk	
Arya Chakravarti	
Aryavartta	the Holy Lands of Indian Buddhism
Arzinga (Erzingan)	
Arziron (Erzrum)	
Arzizi (Arjísh)	
Asbestos and the Salamander	
Asceticism of the Sensin	of the Jogis
Asedin Soldan (Ghaiassuddin Balban)	Sultan of Delhi
Asciar	see Ashar 
Ashishin	see Assassins
Asoka	founder of the Bagratid dynasty
Asper	
Assassins	 see Ismailites
Asses	"Fine, in Persia"
Asses	"DASH Wild, in Persia"
Asses	in Mongolia
Asses	in Madagascar
Asses	in Abyssinia
Asses	in Far North
Asterius	Bishop of Amasia in Pontus
Astrakhan (Gittarchan)	
Astrolabe	
Astrology	"Astrologers, in Tangut"
Astrology	of Chinghiz
Astrology	at Kaan’s Court
Astrology	at Cambaluc
Astrology	at Kinsay
Astrology	in Maabar
Astrology	in Coilum
Atabegs	of Mosul
Atabegs	of Lúr
Atabegs	of Fars
Atabegs	of Yezd
Atabegs	of Kerman
Atkinson's Explorations impunged by Russians	
Atlas	"Chinese, in Magliabecchian Library"
Audh (Oudh)	
Aufat	Ifat
Augury	see Omens
"Aung Khan (Unc Can, see Prester John of Polo)"	Chinghiz's victory over
Aurangzib	
Aurora	striking description of 
Aussa	
Avarian	epithet of S. Thomas
Axum	Inscription
Axum	Court of
"Ayas (Layas,Aiazzo, Giazza, port of Cilician Armenia)"	Sea fight at
Ayuthia	
Ayuthia	
Azumiti	
Azure(Ultramarine)	Mines in Badakhshan
Azure(Ultramarine)	Mines in Tenduc
Azure(Ultramarine)	ore of
Baba Buzurg	worshipped by the Lurs
Baboons	etymology of the word
Babylon	Babylonia (Cairo or Egypt)
Babylon	Sultan of
Babylonish garments	
Baccadeo	indigo
Baccanor	
Bacsi(Bakhshi)	Lamas
Bacsi(Bakhshi)	various changes of meaning
Badakhshan (Badashan)	People of 
Badakhshan (Badashan)	Mirs of
Badakhshan (Badashan)	described
Badakhshan (Badashan)	capitals 
Badakhshan (Badashan)	"Kings of, claim descent from Alexander, "
Badakhshan (Badashan)	depopulation of
Badakhshan (Badashan)	scenery
Badakhshan (Badashan)	dialects
Badakhshan (Badashan)	forms of the name
Badakhshan (Badashan)	great river of (Upper Oxus)
Badáún	
Badger	Rev. G.P
Badghís	
Badgír	Wind-catchers
Badruddin Lulu of Mosul	last Atabeg of Mosul
Bafk	
Baft	
Baghdad (Baudas)	DASH its indigo (baccadeo)
Bagratidae	of Armenia
Bagratidae	of Georgia
Bahar	
Bah·uddin Ayaz	
Bahrein	
Bai	
Baiberdon	
Baidu Khan	seizes throne of Persia
Baidu Khan	displaced and put to death by Ghazan
Baidu Khan	alleged to be a Christian
Bailo	the title
Bailo	etymology of
Bakhty·ris of Lurist·n	
Bala-Sagun	
Baldacchini (Baudekins)	brocades made at Baghdad
Baldwin de Courtenay	last Latin Emperor of Constantinople
Bali	Island of
Bali	DASH in Abyssinia
Balios	
Balish (a money of account)	
Balista	always a crossbow in mediaeval times
Balkhash 	Lake
Ballads	"Genoese, on sea-fights at Ayas and Curzola"
Ballaad-ul-Falfal	
Ballard	Mr.
Balor	"Balaur, Bilaur, Malaur, see Bolor"
Balsamodendron Mukul	
Balti	
Balustrade	etymology of the word
Bamboo 	"Jungle of, on fire"
Bamboo 	its multifarious uses
Bamboo 	largest size of
Bamboo 	Chekiang
Bamian	caves at
Bamian	huge recumbent image at
Bam-i-dunyah	Roof of the World
Bamm	
Bamo	River of
Bandar Abbas (Bandar-Abbasi)	
Bangala	see Bengal
Baptism accompanied by branding in Abyssinia	
Bara	
Barac (Borrak)	Khan of Chagatai
Barac (Borrak)	his war with Arghun
Barberino	Francesco da
Barberino	mentions Cathay
Bardesir	
Bargu 	plain of
Barguerlac 	Bird called
Barguchin Tugrum	
Barguzinsk	
Barin	Mongol tribe
Bark	fine clothes from
Barka Khan (Barca)	ruler of Kipchak
Barka Khan (Barca)	his war with Hukalu
Barkul	
Bark˙t 	 eagle trained to the chase
Barlaam and Josaphat	"Story of Saints, from Legend of Buddha"
Barley	Huskless
Baroch	
Baron-tala	name applied by Mongols to Tibet
Barozzi	Dr. Nicolo
Barskul (Barscol)	
Barsauma (St. Brassamo)	
Barus	"Barros in Sumatra, its camphor"
Barussae Insulae	
Barygazu	
Bashai (Pashai)	
Basma	a kingdom of Sumatra
Basmuls	see Guasmuls
Baspa Lama and the Mongol character called after him	
Basra (Bascra or Bastra)	
Bathang	
Baths	"natural hot, near Hormuz"
Baths	in Cathay
Baths	public at Kinsay
Batigala	"Batticalla, Battecala"
Batochina	
Bats	"large, in India"
Battas of Sumatra and their  cannibalism	
Batthala (Patlam in Ceylon)	
Battles	Kublai's with Nayan
Battles	Tartars and the king of Mien
Battles	Kaidu and Kaan's forces
Battles	Borrak and Arghun
Battles	Arghun and Ahmad
Battles	Hukalu and Barka
Battles	Toktai and Nogai
Battles	Remarks on the authorship of these passages
Batu	"Khan of Kipchak,  surnamed Sain or Good"
Batu	founder of Sarai
Batu	invades Russia
Batu	made by Polo into two kings ( Sain and Patu) by Polo
Batu	his character and cruelty
Bavaria	"Duke Ernest of, a mediaeval Romance"
Baudas (Baghdad)	described
Baudas (Baghdad)	taken by Alau (Hukalu)
Baudas (Baghdad)	"Calif of, and the Miracle of the Mountain"
Baudekins 	see Baldacchini
Bauduin de Sebourc	"the Romance of, and its borrowing from Polo"
Baw·rij	corsairs
Bayan Chingsian	 greatest Mongol Captain under Kublai
Bayan Chingsian	prophecy connected with his name
Bayan Chingsian	his conquest of Manzi or South China
Bayan Chingsian	note on his history and character
Bayan Chingsian	his exceptional cruelty at Changchau
Bayan Chingsian	Khagan of the Avars
Bayan Chingsian	Kaan's Master of the Hounds
Bayan Chingsian	son of Nasruddin
Bazacata	
Bdellium	
Beads	Hindu
Bearcoote	
Bears	
Bears	white in Far North
Beast and bird patterns on silks	see Patterns
Beaten gold	
Beauty of Georgians	
Beauty of Georgians	Khorasan women
Beauty of Georgians	Kashmir women
Beauty of Georgians	Sinju women
Beauty of Georgians	"Argons, or half-breeds"
Beauty of Georgians	the Ungrat or Kungurat tribe
Beauty of Georgians	people of Coloman
Beauty of Georgians	Kinsay women
Beauty of Georgians	Kaidu's daughter
Beauty of Georgians	of Arghun Khan
Beauty of Georgians	of the Russians
Beds	their arrangement in India
Beef not eaten in Maabar	except by the Govi
Bejas of the Red Sea Coast	
Belic' for 'Melic'	
Bell	"Great,  at Cambaluc"
Bellal Rajas	
Belledi(or balladi)	ginger so called
Belledi(or balladi)	Spanish use of the word
Bendocquedar	see BÌbars Bund˙kd·ri 
Benedict	Pope
Bengal (Bangala)	
Bengal (Bangala)	king of Mien (Burma) and
Bengal (Bangala)	why Polo couples these titles
Bengal (Bangala)	relations between mediveal Burma  and
Bengal (Bangala)	claim asserted by king of Burma to
Bengal (Bangala)	alleged Mongol invasion of
Bengal (Bangala)	its distance from Caugigu
Bengal (Bangala)	its currency
Bengal (Bangala)	confused with Pegu by Polo
Benjamin of Tudela on the Gryphon	
Benzoin	etymology of
Berbera	Sea of
Berchet	Cavaliere G.
Bern MS. Of Polo's Book	Bátu Khan’s brother
Berrie	meaning and etymology
Bettelar	rendezvous of Pearl Fishers
Beyamini	Wild Oxen called
Bezant	
Bhartpur	prophecy about
Bianconi	Prof. on the Text of Polo
Biar	
Bibars Bund˙kd·ri (Bendocquedar)	Mamluk Sultan of Egypt
Bibars Bund˙kd·ri (Bendocquedar)	invades Cilician Armenia
Bibars Bund˙kd·ri (Bendocquedar)	his character
Bibars Bund˙kd·ri (Bendocquedar)	extraordinary Letter of
Bibars Bund˙kd·ri (Bendocquedar)	killed by kumiz
Bielo Osero	
Bigoncio	
Bil˙chis	their robber raids
Binkin	
Bintang (Pentam)	
Birch-bark Books	
Bird-hunts	Siberian
Birdwood	Sir G
Birhors of Chuta Nagpúr	
BirñPandi or PirañBandi	
Birthday of the Great Kaan	its celebration
Bishbalik	
Bishop	of Male Island
Bishop	story of an Abyssinian
Bitter bread	
Bitter bread	DASH water
Blac	"Blachia (Lac, Wallach)"
Black Crane	
Black Crane	"DASH Saints, White Devils in India"
Black Crane	DASH Sect of Tibet
Blacker the more beautiful	
Block-books	"supposed to have been introduced from China,"
Block-books	printing in Persia
Blood-sucking	Tartar
"Blous, Bloies'"	the words
Boar's tusks	Huge (Hippopotamus)
Boccassini	the word
Bodhisatva Avalokitecvara	
Bodleian MS. of Polo	
Boeach	"mistake for Locac, and its supposed position"
Boemond	"Prince of Antioch and Tripoli, letter of Bibar to"
Boga (Buka)	"a great Mongol officer, delivers Arghun"
Boghra Khan	
Bohea country	
Boikoff	Russian Envoy
Bokhara (Bocara)	
Bolgana	"Queen, see Bulughan"
Bolghar (Bolgara)	on the Wolga
Bolghar (Bolgara)	account of
Bolghar (Bolgara)	court of
Bolghar	"Borgal,i.e. Russian Leather"
Bolivar	"Padre, S.J., his account of the Condor (Rukh) of Africa"
Bolor	
Bombay	
Bonga	
Boniface	
Bonoccio di Mestro	
Bonus (Ebony)	
Book of Marco Polo	its contents
Book of Marco Polo	"original language, French"
Book of Marco Polo	oldest Italian MS.
Book of Marco Polo	"Geographic Text,in rude French"
Book of Marco Polo	various types of Text
Book of Marco Polo	(1) Geographic
Book of Marco Polo	(2) Pauthierís MSS
Book of Marco Polo	(3) Pipinoís Latin
Book of Marco Polo	Preface to
Book of Marco Polo	Grynaeusí Latin
Book of Marco Polo	M¸llersí reprint
Book of Marco Polo	(4) Ramusio's Italian edition
Book of Marco Polo	its peculiarities
Book of Marco Polo	probable truth about it
Book of Marco Polo	bases of it
Book of Marco Polo	MS. and some of its peculiarities
Book of Marco Polo	general view of the relations of the texts
Book of Marco Polo	notice of an old Irish version
Book of Marco Polo	geographical data
Book of Marco Polo	how far influenced in form by Rustician
Book of Marco Polo	perhaps in description of battles
Book of Marco Polo	diffusion and number of MSS.
Book of Marco Polo	basis of present version
Book of Marco Polo	specimens of different recensions of text
Book of Marco Polo	distribution of MSS.
Book of Marco Polo	miniatures in
Book of Marco Polo	list of MSS.
Book of Marco Polo	Tabular view of the filiation of chief MSS.
Book of Marco Polo	Bibliography
Book of Marco Polo	titles of works cited
Book of Marco Polo	Spanish edition
Bore in Hangchau Estuary	
Borgal	See Bolghar
Borneo	"camphor, see Camphor"
Borneo	DASH tailed men of
BoroBodor	
Borrak (Barac)	Khan of Chaghatai
Borrak (Barac)	"DASH Amir, Prince of Kermau"
Bostam	
Bouqueran	see Buckram
Boxwood Forests in Georgia	
Bozzi	the word
Bragadino	"Marco, husband of Marco Polo's daughter, Fantina"
Brahmans (Abraiaman)	
Brahmans (Abraiaman)	fish-charmers to the pearl fishery
Brahmans (Abraiaman)	their character and virtues
Brahmans (Abraiaman)	their king
Brahmans (Abraiaman)	their omens
Brahmans (Abraiaman)	longevity
Brahmans (Abraiaman)	Chughi
Brahmans (Abraiaman)	Palladian legend of
Brahmanical Thread	
Brahuis	
Brakhimov	
Brambanan	ruins at
Bran diet	
Brazil (wood)	in Locac
Brazil (wood)	in Sumatra
Brazil (wood)	manner of growth
Brazil (wood)	in Ceylon
Brazil (wood)	in Coilum (Coilumin)
Brazil (wood)	different kinds
Brazil (wood)	vicissitudes of the word
Brazil (wood)	its use prohibited by Painters' Guild
Brephung monastery	
Bretesche	the word
Brichu (Brius the Upper Kiang)	
Bridges	 of Pulisanghin
Bridges	Sindafu (Chingtu)
Bridges	of Suchau
Bridges	of Kinsay
Bridges	at Kienningfu
Bridges	Fuchau
Bridges	"at Zayton, or Chinchau"
Brine-wells	Salt
Brius 	the River (Kinsha Kiang)
Brown	"Sir Thomas, on Polo"
Bruce's Abyssinian Chronology	
Brunetto Latini's Book	Li Tresor
Bucephalus	breed of
Buckrams	of Arzinga
Buckrams	described
Buckrams	etymology
Buckrams	at Mardin
Buckrams	in Tibet
Buckrams	at Mutfili
Buckrams	Malabar
Buddha	see Sakya Muni
Buddha	DASH his Footmark on Adam's Peak
Buddha	a Saint of the Greek and Roman Churches
Buddha	his Tooth Relic
Buddha	his Alms Dish
Buddhism	in Kashmir
Buddhism	in Tangut
Buddhism	in Kamul
Buddhism	"Amelio rating effect of, on rude nations"
Buddhism	"Occassional spiritual forces of, in China"
Buddhism	in South India
Buddhism	see Idolatry
Buddhist 	Decalogue
Buddhist 	Idols
Buffet and vessels of Kaan's table	
Buka (Boga)	a great Mongol chief
Bularguchi	or 'Keeper of Waifs'
Bulgaria	Great
Bulugh·n 	the Lady (Bolgana)
Bulugh·n 	DASH another
Bund˙kd·r	see Bibars
Burkan Kaldun	
Burma 	King of (See also Mien.)
Burning the Dead	in Tangut
Burning the Dead	"in China, apparantely common in Middle Ages, se Dead"
Burning paper imitations of property at funerals	
Burning paper imitations of property at funerals	DASH Heretical Mean and books
Burning paper imitations of property at funerals	DASH Widows in South India
Buryats or Buraets	
Butchers	in Kashmir
Butchers	in Tibet
Butchers	in South India
Butiflis (Mutfili)	
Caí Polo	"Caí Milion, Corte del Millioni, the house of the Polos at Venice"
Caaju	castle of
Cacanfu (Hokiang-fu)	
Cachanfu (Píuchau-fu)	
Cachar Modun	
Cachilpatnam	
Caesalpinia	see Brazil
Caesarea of Cappadocia (Casaria)	
Caichu	castle of 
Caidu	see Kaidu
Caiju (on the Hoang-Ho)	
"Caiju (on the Kiang, Kwachau)"	
Caiton	see Zayton
Cail (K·yal)	
Cail (K·yal)	a great port of Commerce
Cail (K·yal)	the king
Cail (K·yal)	identified
Cail (K·yal)	meaning of name
Cail (K·yal)	remains of
Caindu	a region of Eastern Tibet
Caingan	
Cairo	
Cairo	museum at
Cairo	ventilators at (See Babylon)
Cala Ataperistan (or Gueber's Castle)	
Calachan	
Calaiate	"Calatu, see Kalhat"
Calamanz	the word
Calamina	city
Calatu	
Caldwell	"Rev. Dr. R., on devil-dancing among the Shanars"
Caldwell	on name of Ceylon
Caldwell	on Shahr–Mandi and Sundara Pandi
Caldwell	on the Tower at Negapatam
Caldwell	etymology of Chilaw
Caldwell	on Pacauta
Caldwell	Govis
Caldwell	singular custom of arrest
Caldwell	rainy season
Caldwell	food of horses
Caldwell	Shanar devil-images
Caldwell	choiach
Caldwell	"Cail, or Kayál city"
Caldwell	Kolkhoi
Caldwell	King Ashar of Cail
Caldwell	Kollam
Caldwell	Pinati
Caldwell	etymology of Sapong
Caldwell	Cape Comorin
Calendar	Ecclesiastical Buddhist
Calendar	the Tartar
Calendar	DASH of Documents relating to Marco Polo and his family
Calicut	"King of, and his costume"
Calif	see Khalif
Caligine	"Calizene (Kh·lij, a canal from Nile)"
Camadi 	a ruined city
Cambaluc (Khanbalig or Peking)	capital of Cathay
Cambaluc (Khanbalig or Peking)	the Kaan's return thither after defeating Nayan
Cambaluc (Khanbalig or Peking)	the palaces there
Cambaluc (Khanbalig or Peking)	the city
Cambaluc (Khanbalig or Peking)	"its size, walls, gates, and streets, the Bell Tower, etc."
Cambaluc (Khanbalig or Peking)	period of khan's stay there
Cambaluc (Khanbalig or Peking)	its suburbs and hostelries
Cambaluc (Khanbalig or Peking)	"cemeteries, women, patrols"
Cambaluc (Khanbalig or Peking)	its traffic
Cambaluc (Khanbalig or Peking)	the Emperor's Mint
Cambaluc (Khanbalig or Peking)	palace of the Twelve Barons
Cambaluc (Khanbalig or Peking)	roads radiating from
Cambaluc (Khanbalig or Peking)	astrologers of
Cambuscan of Chaucer	origin of the name
"Cambay (Cambaet, Cambeth)"	kingdom of
Camels	mange treated with oil
Camels	camlets from wool of
Camels	white
Camels	incensing
Camels	alleged to be eaten in Madagascar
Camels	really eaten in Magadoxo
Camels	ridden in war
Camexu	"Kamichu, see Campichu"
Camlets (cammellotti)	
Camoens	
Camphor	Trees of (Laurus Camphora) Fokien
Camphor	and manufacture there
Camphor	DASH of Sumatra
Camphor	Fansuri
Camphor	earliest mention of
Camphor	superstitions regarding
Camphor	"description of the tree, Dryabalanops Camphora"
Camphor	value attached by Chinese to
Camphor	recent prices of
Camphor	its use with betel
Camphor	DASH oil
Campichu (Kanchau)	city of
"Camul (Kamul, Komul)"	province of 
Camut	fine shagreen leather
Canal	"Grand, of China"
Canal	construction of
Canale	"Cristoforo, MS. by"
Canale	"DASH Martino da, French Chronicle of Venice by"
Cananor	
Cananore	
Canara	
Cancamum	
Candahar	
"Cane,Canes "	Polo's name for bamboos
"Cane,Canes "	Kaan's Palace at Chandu made of 
"Cane,Canes "	how used to make roofs
"Cane,Canes "	"Great, on banks of Caramoran"
"Cane,Canes "	"Forests of, and their loud explosions when burning"
"Cane,Canes "	Ropes of
"Cane,Canes "	of great size in Chekiang
"Cane,Canes "	see Bamboos
Cannibalism	"ascribed to Tibetans, Kashmiris, etc"
Cannibalism	to Hill-people in Fokien
Cannibalism	to islanders in Seas of China and India
Cannibalism	in Sumatra
Cannibalism	regulations of the Battas
Cannibalism	ascribed to Andaman islanders
Cannibals	i.e. Caribs
Canonical Hours	
Cansay	see Kinsay
Canton	
Cape Corrients 	or of Currents
Cape Comorin	DASH Corrientes (of Currents)
Cape Comorin	DASH Delgado
Cape Comorin	DASH of Good Hope
Cape Comorin	"Capidoglio (Capdoille), sperm-whale"
Cappidoglio	Capdoille
Caracoron (Kar· Korum)	
Caraian	
Carajan 	"(Kar·jang, or Yun-nan), province"
Carajan 	City of Talifu
Caramoran River (Hoang-Ho)	
Caraonas (Karaunahs)	a robber tribe
Carats	
Carbine	etymology of the word
Cardamom	
Cardinal's Wit	
Caribs	i.e. cannibals
Carpets	of Kerman
Carpets	of Turcomania (Turkey)
Carpets	Persian
Carriages	at Kinsay
Carriages	Chinese
Carrion shot from engines	
Casan	see Ghazan Khan
Casaria (Caesarea of Cappadocia)	
Cascar (Kashgar)	
Casem	see Kishm
Casoni	Giovanni
Casoni	on the Ca' Polo
Casoni	on Medieval Gallerys
Caspian Sea (Sea of Ghel or Ghelan)	ancient error about
Caspian Sea (Sea of Ghel or Ghelan)	its numerous names
Cassay	see Kinsay
Cassia	
Cassia	DASH buds
Cassia	DASH fistula
Castaldi	"Panfilo, his alleged invention of movable types"
Casvin (KazwÌn)	a kingdom of Persia
Catalan Navy	
Cathay (Northern China)	
Cathay (Northern China)	origin of name
Cathay (Northern China)	coal in
Cathay (Northern China)	idols
Cathay (Northern China)	"Cambaluc, the capital of, see Cambaluc"
Cathay (Northern China)	"Cathayans, v. Ahmad"
Cathayans	their conspiracy against Ahmad
Cathayans	their wine
Cathayans	astrologers
Cathayans	Religion of
Cathayans	transmigration
Cathayans	"politeness, filial duty, gaol deliveries, gambling"
Cathayans	gambling
Catholicos	of Sis
