Entity Name	Type	Tag
Barka Khan (Barca)	ruler of Kipchak	Person
Barka Khan (Barca)	his war with Hukalu	Person
Barkul		FALSE
Bark˙t 	 eagle trained to the chase	FALSE
Barlaam and Josaphat	"Story of Saints, from Legend of Buddha"	FALSE
Barley	Huskless	FALSE
Baroch		FALSE
Baron-tala	name applied by Mongols to Tibet	FALSE
Barozzi	Dr. Nicolo	Person
Barsauma (St. Brassamo)		FALSE
Barskul (Barscol)		FALSE
Barus	"Barros in Sumatra, its camphor"	FALSE
Barussae Insulae		FALSE
Barygazu		FALSE
Bashai (Pashai)		FALSE
Basma	a kingdom of Sumatra	Location
Basmuls	see Guasmuls	FALSE
Baspa Lama and the Mongol character called after him		FALSE
Basra (Bascra or Bastra)		FALSE
Bathang		FALSE
Baths	"natural hot, near Hormuz"	FALSE
Baths	in Cathay	FALSE
Baths	public at Kinsay	FALSE
Batigala	"Batticalla, Battecala"	FALSE
Batochina		FALSE
Bats	"large, in India"	FALSE
Battas of Sumatra and their  cannibalism		FALSE
Batthala (Patlam in Ceylon)		FALSE
Battles	Tartars and the king of Mien	Person
Battles	Kublai's with Nayan	FALSE
Battles	Kaidu and Kaan's forces	FALSE
Battles	Borrak and Arghun	FALSE
Battles	Arghun and Ahmad	FALSE
Battles	Hukalu and Barka	FALSE
Battles	Toktai and Nogai	FALSE
Battles	Remarks on the authorship of these passages	FALSE
Batu	"Khan of Kipchak,  surnamed Sain or Good"	Person
Batu	his character and cruelty	Person
Batu	founder of Sarai	Person
Batu	invades Russia	Person
Batu	made by Polo into two kings ( Sain and Patu) by Polo	Person
Baudas (Baghdad)	"Calif of, and the Miracle of the Mountain"	Location
Baudas (Baghdad)	described	Location
Baudas (Baghdad)	taken by Alau (Hukalu)	Location
Baudekins 	see Baldacchini	FALSE
Bauduin de Sebourc	"the Romance of, and its borrowing from Polo"	FALSE
Bavaria	"Duke Ernest of, a mediaeval Romance"	Location
Baw·rij	corsairs	FALSE
Bayan Chingsian	son of Nasruddin	Person
Bayan Chingsian	prophecy connected with his name	Person
Bayan Chingsian	his conquest of Manzi or South China	Person
Bayan Chingsian	note on his history and character	Person
Bayan Chingsian	his exceptional cruelty at Changchau	Person
Bayan Chingsian	 greatest Mongol Captain under Kublai	Person
Bayan Chingsian	Khagan of the Avars	Person
Bayan Chingsian	Kaan's Master of the Hounds	Person
Bazacata		FALSE
Bdellium		FALSE
Beads	Hindu	FALSE
Bearcoote		FALSE
Bears		FALSE
Bears	white in Far North	FALSE
Beast and bird patterns on silks	see Patterns	FALSE
Beaten gold		FALSE
Beauty of Georgians		Person
Beauty of Georgians	Khorasan women	Person
Beauty of Georgians	Kashmir women	Person
Beauty of Georgians	Sinju women	Person
Beauty of Georgians	"Argons, or half-breeds"	Person
Beauty of Georgians	the Ungrat or Kungurat tribe	Person
Beauty of Georgians	people of Coloman	Person
Beauty of Georgians	Kinsay women	Person
Beauty of Georgians	Kaidu's daughter	Person
Beauty of Georgians	of Arghun Khan	Person
Beauty of Georgians	of the Russians	Person
Beds	their arrangement in India	FALSE
Beef not eaten in Maabar	except by the Govi	FALSE
Bejas of the Red Sea Coast		FALSE
Belic' for 'Melic'		FALSE
Bell	"Great,  at Cambaluc"	FALSE
Bellal Rajas		FALSE
Belledi(or balladi)	ginger so called	FALSE
Belledi(or balladi)	Spanish use of the word	FALSE
Bendocquedar	see BÌbars Bund˙kd·ri 	FALSE
Benedict	Pope	Person
Bengal (Bangala)	king of Mien (Burma) and	Person
Bengal (Bangala)	claim asserted by king of Burma to	Person
Bengal (Bangala)		Location
Bengal (Bangala)	why Polo couples these titles	Location
Bengal (Bangala)	relations between mediveal Burma  and	Location
Bengal (Bangala)	alleged Mongol invasion of	Location
Bengal (Bangala)	its distance from Caugigu	Location
Bengal (Bangala)	its currency	Location
Bengal (Bangala)	confused with Pegu by Polo	Location
Benjamin of Tudela on the Gryphon		FALSE
Benzoin	etymology of	FALSE
Berbera	Sea of	Location
Berchet	Cavaliere G.	FALSE
Bern MS. Of Polo's Book	Bátu Khan’s brother	Person
Berrie	meaning and etymology	FALSE
Bettelar	rendezvous of Pearl Fishers	Person
Beyamini	Wild Oxen called	FALSE
Bezant		FALSE
Bhartpur	prophecy about	FALSE
Bianconi	Prof. on the Text of Polo	Person
Biar		FALSE
Bibars Bund˙kd·ri (Bendocquedar)	his character	Person
Bibars Bund˙kd·ri (Bendocquedar)	Mamluk Sultan of Egypt	Person
Bibars Bund˙kd·ri (Bendocquedar)	invades Cilician Armenia	Person
Bibars Bund˙kd·ri (Bendocquedar)	extraordinary Letter of	Person
Bibars Bund˙kd·ri (Bendocquedar)	killed by kumiz	Person
Bielo Osero		FALSE
Bigoncio		FALSE
Bil˙chis	their robber raids	FALSE
Binkin		FALSE
Bintang (Pentam)		FALSE
Birch-bark Books		FALSE
Bird-hunts	Siberian	FALSE
Birdwood	Sir G	FALSE
Birhors of Chuta Nagpúr		FALSE
BirñPandi or PirañBandi		FALSE
Birthday of the Great Kaan	its celebration	FALSE
Bishbalik		FALSE
Bishop	of Male Island	FALSE
Bishop	story of an Abyssinian	FALSE
Bitter bread		FALSE
Bitter bread	DASH water	FALSE
Blac	"Blachia (Lac, Wallach)"	FALSE
Black Crane		FALSE
Black Crane	"DASH Saints, White Devils in India"	FALSE
Black Crane	DASH Sect of Tibet	FALSE
Blacker the more beautiful		FALSE
Block-books	"supposed to have been introduced from China,"	FALSE
Block-books	printing in Persia	FALSE
Blood-sucking	Tartar	FALSE
"Blous, Bloies'"	the words	FALSE
Boar's tusks	Huge (Hippopotamus)	FALSE
Boccassini	the word	FALSE
Bodhisatva Avalokitecvara		FALSE
Bodleian MS. of Polo		FALSE
Boeach	"mistake for Locac, and its supposed position"	FALSE
Boemond	"Prince of Antioch and Tripoli, letter of Bibar to"	Person
Boga (Buka)	"a great Mongol officer, delivers Arghun"	Person
Boghra Khan		Person
Bohea country		FALSE
Boikoff	Russian Envoy	FALSE
Bokhara (Bocara)		FALSE
Bolgana	"Queen, see Bulughan"	Person
Bolghar	"Borgal,i.e. Russian Leather"	Person
Bolghar (Bolgara)	on the Wolga	Location
Bolghar (Bolgara)	account of	Location
Bolghar (Bolgara)	court of	Location
Bolivar	"Padre, S.J., his account of the Condor (Rukh) of Africa"	Person
Bolor		FALSE
Bombay		Location
Bonga		FALSE
Boniface		FALSE
Bonoccio di Mestro		FALSE
Bonus (Ebony)		FALSE
Book of Marco Polo	its contents	FALSE
Book of Marco Polo	"original language, French"	FALSE
Book of Marco Polo	oldest Italian MS.	FALSE
Book of Marco Polo	"Geographic Text,in rude French"	FALSE
Book of Marco Polo	various types of Text	FALSE
Book of Marco Polo	(1) Geographic	FALSE
Book of Marco Polo	(2) Pauthierís MSS	FALSE
Book of Marco Polo	(3) Pipinoís Latin	FALSE
Book of Marco Polo	Preface to	FALSE
Book of Marco Polo	Grynaeusí Latin	FALSE
Book of Marco Polo	M¸llersí reprint	FALSE
Book of Marco Polo	(4) Ramusio's Italian edition	FALSE
Book of Marco Polo	its peculiarities	FALSE
Book of Marco Polo	probable truth about it	FALSE
Book of Marco Polo	bases of it	FALSE
Book of Marco Polo	MS. and some of its peculiarities	FALSE
Book of Marco Polo	general view of the relations of the texts	FALSE
Book of Marco Polo	notice of an old Irish version	FALSE
Book of Marco Polo	geographical data	FALSE
Book of Marco Polo	how far influenced in form by Rustician	FALSE
Book of Marco Polo	perhaps in description of battles	FALSE
Book of Marco Polo	diffusion and number of MSS.	FALSE
Book of Marco Polo	basis of present version	FALSE
Book of Marco Polo	specimens of different recensions of text	FALSE
Book of Marco Polo	distribution of MSS.	FALSE
Book of Marco Polo	miniatures in	FALSE
Book of Marco Polo	list of MSS.	FALSE
Book of Marco Polo	Tabular view of the filiation of chief MSS.	FALSE
Book of Marco Polo	Bibliography	FALSE
Book of Marco Polo	titles of works cited	FALSE
Book of Marco Polo	Spanish edition	FALSE
Bore in Hangchau Estuary		FALSE
Borgal	See Bolghar	FALSE
Borneo	"camphor, see Camphor"	FALSE
Borneo	DASH tailed men of	FALSE
BoroBodor		FALSE
Borrak (Barac)	Khan of Chaghatai	Person
Borrak (Barac)	"DASH Amir, Prince of Kermau"	Person
Bostam		FALSE
Bouqueran	see Buckram	FALSE
Boxwood Forests in Georgia		FALSE
Bozzi	the word	FALSE
Bragadino	"Marco, husband of Marco Polo's daughter, Fantina"	Person
Brahmanical Thread		FALSE
Brahmans (Abraiaman)	fish-charmers to the pearl fishery	Person
Brahmans (Abraiaman)		Person
Brahmans (Abraiaman)	their character and virtues	Person
Brahmans (Abraiaman)	their king	Person
Brahmans (Abraiaman)	their omens	Person
Brahmans (Abraiaman)	longevity	Person
Brahmans (Abraiaman)	Chughi	Person
Brahmans (Abraiaman)	Palladian legend of	Person
Brahuis		FALSE
Brakhimov		FALSE
Brambanan	ruins at	FALSE
Bran diet		FALSE
Brazil (wood)	in Locac	FALSE
Brazil (wood)	in Sumatra	FALSE
Brazil (wood)	manner of growth	FALSE
Brazil (wood)	in Ceylon	FALSE
Brazil (wood)	in Coilum (Coilumin)	FALSE
Brazil (wood)	different kinds	FALSE
Brazil (wood)	vicissitudes of the word	FALSE
Brazil (wood)	its use prohibited by Painters' Guild	FALSE
Brephung monastery		FALSE
Bretesche	the word	FALSE
Brichu (Brius the Upper Kiang)		FALSE
Bridges	 of Pulisanghin	FALSE
Bridges	Sindafu (Chingtu)	FALSE
Bridges	of Suchau	FALSE
Bridges	of Kinsay	FALSE
Bridges	at Kienningfu	FALSE
Bridges	Fuchau	FALSE
Bridges	"at Zayton, or Chinchau"	FALSE
Brine-wells	Salt	FALSE
Brius 	the River (Kinsha Kiang)	Location
Brown	"Sir Thomas, on Polo"	Person
Bruce's Abyssinian Chronology		FALSE
Brunetto Latini's Book	Li Tresor	FALSE
Bucephalus	breed of	FALSE
Buckrams	of Arzinga	FALSE
Buckrams	described	FALSE
Buckrams	etymology	FALSE
Buckrams	at Mardin	FALSE
Buckrams	in Tibet	FALSE
Buckrams	at Mutfili	FALSE
Buckrams	Malabar	FALSE
Buddha	DASH his Footmark on Adam's Peak	Person
Buddha	his Tooth Relic	Person
Buddha	his Alms Dish	Person
Buddha	see Sakya Muni	Person
Buddha	a Saint of the Greek and Roman Churches	Person
Buddhism	in Kashmir	FALSE
Buddhism	in Tangut	FALSE
Buddhism	in Kamul	FALSE
Buddhism	"Amelio rating effect of, on rude nations"	FALSE
Buddhism	"Occassional spiritual forces of, in China"	FALSE
Buddhism	in South India	FALSE
Buddhism	see Idolatry	FALSE
Buddhist 	Decalogue	FALSE
Buddhist 	Idols	FALSE
Buffet and vessels of Kaan's table		FALSE
Buka (Boga)	a great Mongol chief	Person
Bularguchi	or 'Keeper of Waifs'	FALSE
Bulgaria	Great	FALSE
Bulugh·n 	DASH another	Person
Bulugh·n 	the Lady (Bolgana)	FALSE
Bund˙kd·r	see Bibars	FALSE
Burkan Kaldun		FALSE
Burma 	King of (See also Mien.)	Person
Burning paper imitations of property at funerals	DASH Heretical Mean and books	Person
Burning paper imitations of property at funerals		FALSE
Burning paper imitations of property at funerals	DASH Widows in South India	FALSE
Burning the Dead	in Tangut	FALSE
Burning the Dead	"in China, apparantely common in Middle Ages, se Dead"	FALSE
Buryats or Buraets		FALSE
Butchers	in Kashmir	FALSE
Butchers	in Tibet	FALSE
Butchers	in South India	FALSE
Butiflis (Mutfili)		FALSE
Caí Polo	"Caí Milion, Corte del Millioni, the house of the Polos at Venice"	FALSE
Caaju	castle of	Location
Cacanfu (Hokiang-fu)		FALSE
Cachanfu (Píuchau-fu)		FALSE
Cachar Modun		FALSE
