chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	Travel Verb Phrases	Travel Noun Phrases	Travel Phrases	Travelled Location
1	PART 1	2	On Turcomania	13	They have many towns, of which the principal are Como, Casserie, and Sevasto.			Como, Casserie,Sevasto						
1	PART 1	2	On Turcomania	14	They are subject to the Eastern Tartars.									
1	PART 1	2	On Turcomania	15	Now, let us leave them, and speak of Armenia the Greater.			Armenia the Greater	let,leave,speak	let,leave,speak	let us leave them , and speak of Armenia the Greater,leave them , and speak of Armenia the Greater,speak of Armenia the Greater	us,them,Armenia		
1	PART 1	3	On Armenia the Greater	16	Armenia the Greater is a large country, and, at the entrance of it is a city called Arzinga, in which is made the best buckram in the world.	Armenia the Greater, Arzinga,Argiron,Darzizi		Armenia the Greater,Arzinga	called,made	called,made	called Arzinga , in which is made the best buckram in the world,made the best buckram in the world	Arzinga , in which is made the best buckram in the world,the best buckram in the world	Arzinga 	Arzinga
1	PART 1	3	On Armenia the Greater	17	There are several baths of warm spring water, the best and most beautiful any where to be found.				be,found	be,found	be found,found	I		
1	PART 1	3	On Armenia the Greater	18	There are many castles, and cities, among which the noblest is Arzinga, the seat of an archbishop, and the metropolis of the whole district; 			Arzinga						
1	PART 1	3	On Armenia the Greater	19	there are also Argiron and Darzizi.			Argiron,Darzizi						
1	PART 1	3	On Armenia the Greater	20	I assure you the province is very large, and during the summer all the Tartars of the Levant reside here with their flocks and herds, on account of its rich pastures ;			Levant						
1	PART 1	3	On Armenia the Greater	21	 but in winter they cannot remain because of the severe cold and snow, amid which the animals could not live.				remain,live	remain,live	remain because of the severe cold and snow , amid which the animals could not live,live	I		
1	PART 1	3	On Armenia the Greater	22	Now, in this Armenia is the ark of Noah on a great mountain.		Noah	Armenia						
1	PART 1	3	On Armenia the Greater	23	The circuit of its base cannot be traversed in less than two days ; 				be,traversed	be,traversed	be traversed in less than two days,traversed in less than two days	less than two days		
1	PART 1	3	On Armenia the Greater	24	and the ascent is rendered impracticable by the snow on its summit, which never dissolves, but is increased by each successive fall.				rendered,increased	rendered,increased	rendered impracticable by the snow on its summit , which never dissolves , but is increased by each successive fall,increased by each successive fall	each successive fall		
1	PART 1	3	On Armenia the Greater	25	On the lower declivities, the melted snows cause an abundant vegetation, and afford rich pastures for the cattle which in summer resort thither from all the surrounding  countries.				afford	afford	afford rich pastures for the cattle which in summer resort thither	rich pastures		
1	PART 1	3	On Armenia the Greater	26	To the south-east it borders on a kingdom called Mosul, inhabited by Jacobite and Nestorian Christians, of whom we will mention more hereafter.			Mosul	called,inhabited,mention	called,inhabited,mention	called Mosul , inhabited by Jacobite and Nestorian Christians , of whom we will mention more hereafter,inhabited by Jacobite and Nestorian Christians,mention more hereafter	Mosul , inhabited by Jacobite and Nestorian Christians , of whom we will mention more hereafter,Jacobite and Nestorian Christians	Mosul 	Mosul
1	PART 1	3	On Armenia the Greater	27	On the north  it extends to the Georgians, and on that frontier is a fountain whence rises oil in such abundance that a hundred ships might be at once loaded with it.				be,loaded	be,loaded	be at once loaded with it,loaded with it.	it		
1	PART 1	3	On Armenia the Greater	28	It is not good for eating, but very fit for fuel, for anointing the camels in maladies of the skin, and for other purposes ; 				eating,anointing	eating,anointing	eating,anointing the camels in maladies of the skin	I eating,the camels,the skin		
1	PART 1	3	On Armenia the Greater	29	for which reason people come from a great distance for it, and nothing else is burned in all this country.				burned	burned	burned in all this country	all this country		
1	PART 1	3	On Armenia the Greater	30	Now let us quit Armenia, and tell of Georgia.			Armenia,Georgia	let,quit,tell	let,quit,tell	let us quit Armenia , and tell of Georgia,quit Armenia , and tell of Georgia,tell of Georgia	us,Armenia,Georgia	Armenia ,Georgia	Armenia ,Georgia
1	PART 1	4	On Georgia and its Productions	31	In Georgia  is a king always called David Melik, which means David the King ; 	Georgia,Teflis	David Melik,David the King	Georgia	called	called	called David Melik	David Melik		
1	PART 1	4	On Georgia and its Productions	32	he is subject to the Tartars ; 									
1	PART 1	4	On Georgia and its Productions	33	and anciently all the monarchs of this province were born with the mark of an eagle on their left shoulder.				were,born	were,born	were born with the mark of an eagle on their left shoulder,born with the mark of an eagle on their left shoulder	the mark of an eagle on their left shoulder		
1	PART 1	4	On Georgia and its Productions	34	They are a handsome people, good archers, and valiant in battle.									
1	PART 1	4	On Georgia and its Productions	35	They are Christians of the Greek church, and wear their hair close shaven in the manner of clergy.				wear	wear	wear their hair close shaven	their hair		
1	PART 1	4	On Georgia and its Productions	36	This is the province which Alexander could not pass through on account of the narrowness of the path 		Alexander		pass	pass	pass through on account of the narrowness of the path			
1	PART 1	4	On Georgia and its Productions	37	 because on one side is the sea, and on the other very high mountains, over which it is impossible to ride ; 				ride	ride	ride	I		
1	PART 1	4	On Georgia and its Productions	38	and, as this strait continues above four leagues, a few men might hold out against the whole world.				hold	hold	hold out against the whole world			
1	PART 1	4	On Georgia and its Productions	39	This was the reason why he could not pass;				was,pass	was,pass	was the reason why he could not pass,pass	the reason why he could not pass,I		
1	PART 1	4	On Georgia and its Productions	40	but he built a very strong tower, that no one might come upon him from the other side, and it is called the Iron Gate.			Iron Gate	built,come,called	built,come,called	built a very strong tower , that no one might come upon him from the other side,come upon him from the other side,called the Iron Gate	a very strong tower , that no one might come upon him from the other side,him,the Iron Gate		
1	PART 1	4	On Georgia and its Productions	41	This is the place mentioned in the book of Alexander, where he enclosed the Tartars within their mountains ; 		Alexander		mentioned,enclosed	mentioned,enclosed	mentioned in the book of Alexander , where he enclosed the Tartars within their mountains,enclosed the Tartars within their mountains	the book of Alexander,the Tartars,their mountains		
1	PART 1	4	On Georgia and its Productions	42	though the Tartars did not exist at that time, but a certain people called Comani, and other races besides.				did,exist,called	did,exist,called	did not exist at that time,exist at that time,called Comani , and other races besides	that time,Comani , and other races		
1	PART 1	4	On Georgia and its Productions	43	There are many cities and castles, with silk in abundance, with which, added to gold, they make cloths the most beautiful that ever man saw.				added,saw	added,saw	added to gold,saw	gold,I		
1	PART 1	4	On Georgia and its Productions	44	Here are the finest eagles in the world ; also victuals of every kind in abundance.									
1	PART 1	4	On Georgia and its Productions	45	The province is full of great mountains, and of narrow passes, so that I can tell you the Tartars could never obtain the entire sovereignty of it.				tell,obtain	tell,obtain	tell you,obtain the entire sovereignty of it	you,the entire sovereignty of it		
1	PART 1	4	On Georgia and its Productions	46	There is a monastery called St Leonard, containing a great wonder, which I will now relate.				called,containing,relate	called,containing,relate	called St Leonard , containing a great wonder , which I will now relate,containing a great wonder , which I will now relate,relate	St Leonard,a great wonder , which I will now relate,I		
1	PART 1	4	On Georgia and its Productions	47	A large lake of water issues from a neighbouring mountain, in which, during the whole year, there is not found a fish great or small, except from the day before Lent down to the evening of Easter Sunday ; 				found,Lent	found,Lent	found a fish great or small , except from the day before Lent down to the evening of Easter Sunday,Lent down to the evening of Easter Sunday	a fish great or small		
1	PART 1	4	On Georgia and its Productions	48	and during the whole of that time fishes are taken in great abundance, but none at any other.				taken	taken	taken in great abundance , but none at any other	great abundance , but none		
1	PART 1	4	On Georgia and its Productions	49	And know that this sea of which I have spoken is seven hundred miles in circuit, and receives the Euphrates, one of the delights of paradise, and many other great rivers.			Euphrates	know,spoken	know,spoken	know that this sea of which I have spoken is seven hundred miles in circuit , and receives the Euphrates,spoken	I		
1	PART 1	4	On Georgia and its Productions	50	It is all surrounded by mountain and land; 				surrounded	surrounded	surrounded by mountain and land	mountain and land		
1	PART 1	4	On Georgia and its Productions	51	and lately the merchants of Genoa, who have built ships, navigate it, bringing silk, which is called gelle.			Genoa	built,navigate,bringing,called	built,navigate,bringing,called	built ships,navigate it , bringing silk , which is called gelle,bringing silk , which is called gelle,called gelle	ships,it,silk , which is called gelle,gelle		
1	PART 1	4	On Georgia and its Productions	52	Into this sea the great rivers Herdil,Geihon, Kur, and Aras enter.			Herdil,Geihon, Kur,Aras						
1	PART 1	4	On Georgia and its Productions	53	In that province there is a grand city named Teflis, with suburbs and fortified posts around it.			Teflis	named,fortified	named,fortified	named Teflis , with suburbs and fortified posts around it,fortified posts around it	Teflis,posts	Teflis	Teflis
1	PART 1	4	On Georgia and its Productions	54	The inhabitants are Armenian and Georgian Christians, with some few Mohammedans and Jews.									
1	PART 1	4	On Georgia and its Productions	55	There are manufactures of silk and other articles.									
1	PART 1	4	On Georgia and its Productions	56	Now, having told you of the boundaries of Armenia to the north, I will describe those to the south and east.			Armenia	having,told,describe	having,told,describe	having told you of the boundaries of Armenia to the north,told you of the boundaries of Armenia to the north,describe those to the south and east	you,those		
1	PART 1	5	On the Kingdom of Mosul	57	Mosul is a great kingdom on the eastern border of Armenia, and inhabited by various denominations of men, whom I will now describe.	Mosul		Mosul,Armenia	inhabited,describe	inhabited,describe	inhabited by various denominations of men , whom I will now describe,describe	various denominations of men , whom I will now describe,I		
1	PART 1	5	On the Kingdom of Mosul	58	There is a race called Arabic, who adore Mohammed ; 		Mohammed		called	called	called Arabic , who adore Mohammed	Arabic , who adore Mohammed		
1	PART 1	5	On the Kingdom of Mosul	59	also another who hold the christian law, but not as the church of Rome commands ; 			Rome						
1	PART 1	5	On the Kingdom of Mosul	60	they err in many things.									
1	PART 1	5	On the Kingdom of Mosul	61	They are denominated Nestorian and Jacobite, and have a patriarch named Jatolior, who makes archbishops, bishops, abbots, and other clergy, and sends them to all parts of Bagdad, India, and Cathay, as the pope does from Rome.		Jatolior	Bagdad, India,Cathay,Rome	denominated,named	denominated,named	denominated Nestorian and Jacobite,named Jatolior , who makes archbishops , bishops , abbots , and other clergy	Nestorian and Jacobite,Jatolior , who makes archbishops , bishops , abbots , and other clergy		
1	PART 1	5	On the Kingdom of Mosul	62	All the Christians who are in those parts are of this sect ;									
1	PART 1	5	On the Kingdom of Mosul	63	and all the cloths of silk and gold, which are called mosulin, are made there.				called,made	called,made	called mosulin,made there	mosulin,there		
1	PART 1	5	On the Kingdom of Mosul	64	I tell you, too, that the great merchants who are called mosulin, and bring the largest quantity of all costly spices, are of this kingdom.				called,bring	called,bring	called mosulin,bring the largest quantity of all costly spices	mosulin,the largest quantity of all costly spices		
1	PART 1	5	On the Kingdom of Mosul	65	Among its mountains are people called Kurds, who are Nestorian and Jacobite Christians, but some are Saracens, and reverence Mohammed.		Mohammed		called	called	called Kurds , who are Nestorian and Jacobite Christians	Kurds , who are Nestorian and Jacobite Christians		
1	PART 1	5	On the Kingdom of Mosul	66	They are an overbearing and wicked people, ever ready to rob the merchants.				rob	rob	rob the merchants	the merchants		
1	PART 1	5	On the Kingdom of Mosul	67	Now let us leave Mosul, and speak of the great city of Baldach.			Mosul,Baldach	let,leave,speak	let,leave,speak	let us leave Mosul , and speak of the great city of Baldach,leave Mosul , and speak of the great city of Baldach,speak of the great city of Baldach	us,Mosul,the great city of Baldach	Mosul ,the great city of Baldach	Mosul ,Baldach
1	PART 1	6	On Baldach	68	At this place dwelt the caliph, chief prelate of all the Saracens in the world, as the pope is at Rome.	Baldach		Rome	dwelt	dwelt	dwelt	I		
1	PART 1	6	On Baldach	69	Through the middle of it flows a very large river, by which you can proceed to the sea of India, whence merchants go and come with their goods.			India	proceed	proceed	proceed to the sea of India	the sea of India	the sea of India	India
1	PART 1	6	On Baldach	70	From Baldach to the ocean by the stream is a voyage of eighteen days.			Baldach						
1	PART 1	6	On Baldach	71	The merchants going to India sail down that river to a place named Chisi, and then enter the Indian sea.			India,Chisi,Indian sea	going,sail,named,enter	going,sail,named,enter	going to India,sail down that river to a place named Chisi , and then enter the Indian sea,named Chisi,enter the Indian sea.	India,Chisi,the Indian sea	India ,Chisi	India ,Chisi
1	PART 1	6	On Baldach	72	Between Baldach and Chisi is a great city named Bascra ; 			Baldach,Chisi,Bascra	named	named	named Bascra	Bascra	Bascra	Bascra
1	PART 1	6	On Baldach	73	and the woods around that city yield the finest dates in the world.									
1	PART 1	6	On Baldach	74	In Baldach are many rich cloths of silk and gold, on which birds and beasts are represented ; 			Baldach	represented	represented	represented	I		
1	PART 1	6	On Baldach	75	and it is the greatest and noblest city in all these regions.									
1	PART 1	6	On Baldach	76	And know, assuredly, that the caliph was found to possess the most abundant treasure in gold, silver, and precious stones that ever was in the possession of man ; 				know,was,found,possess,was	know,was,found,possess,was	know , assuredly , that the caliph was found to possess the most abundant treasure in gold , silver , and precious stones that ever was in the possession of man ;,was found to possess the most abundant treasure in gold , silver , and precious stones that ever was in the possession of man ;,found to possess the most abundant treasure in gold , silver , and precious stones that ever was in the possession of man ;,possess the most abundant treasure in gold , silver , and precious stones that ever was in the possession of man ;,was found to possess the most abundant treasure in gold , silver , and precious stones that ever was in the possession of man ;	the most abundant treasure in gold , silver , and precious stones that ever was in the possession of man		
1	PART 1	6	On Baldach	77	and I will tell you how it happened.				tell,happened	tell,happened	tell you how it happened,happened	you,I		
1	PART 1	6	On Baldach	78	In the year of our Lord, 1255,the great sire of the Tartars, who is named Alau,brother to the great sire that now reigns, assembled a very large army, and marched upon Baldach and took it by force, which was a glorious exploit ; 		Alau	Baldach	named,assembled,marched,took,was	named,assembled,marched,took,was	named Alau,assembled a very large army,marched upon Baldach,took it by force , which was a glorious,was a glorious	Alau,a very large army,Baldach,it,a glorious	Baldach	Baldach
1	PART 1	6	On Baldach	79	for it contained more than 100,000 horsemen besides foot soldiers ;				contained	contained	contained more than 100,000 horsemen besides foot soldiers	more than 100,000 horsemen besides foot soldiers		
1	PART 1	6	On Baldach	80	and when it was taken, he found the caliph in possession of a tower full of gold, silver, and other treasure, such as never was seen at once in one place.				was,taken,found,was,seen	was,taken,found,was,seen	was taken,was seen at once in one place,taken,found the caliph in possession of a tower full of gold , silver , and other treasure , such as never was seen at once in one place,was taken,was seen at once in one place,seen at once in one place	I,the caliph in possession of a tower full of gold , silver , and other treasure		
1	PART 1	6	On Baldach	81	"When he discovered it he sent for the monarch and said : ""Caliph, why have you amassed such a treasure, and what do you mean to do with it?"				discovered,sent,said,amassed,mean,do	discovered,sent,said,amassed,mean,do	discovered it he sent for the monarch and said : `` Caliph,sent for the monarch and said,said,amassed such a treasure,mean to do with it,do with it	it he sent for the monarch and said : ``,the monarch,I,such a treasure,it		
1	PART 1	6	On Baldach	82	Did you not know that I was your enemy, and coming to attack you with this mighty host?				Did,know,was,coming,attack	Did,know,was,coming,attack	Did you not know that I was your enemy,know that I was your enemy,was your enemy,coming to attack you with this mighty host,attack you with this mighty host	your enemy,you		
1	PART 1	6	On Baldach	83	"Knowing this, why did you not take your treasure, and give it to knights and soldiers to defend you and your city?"""				Knowing,did,take,give,defend	Knowing,did,take,give,defend	Knowing this , why did you not take your treasure , and give it to knights and soldiers to defend you and your city,did you not take your treasure , and give it to knights and soldiers to defend you and your city,take your treasure , and give it to knights and soldiers to defend you and your city,give it to knights and soldiers to defend you and your city,defend you and your city	this , why did you not take your treasure , and give it to knights and soldiers to defend you and your city,you and your city,your treasure,your city,it,you and your city		
1	PART 1	6	On Baldach	84	The caliph replied nothing, because he knew not what to say.				replied,knew,say	replied,knew,say	replied nothing , because he knew not what to say,knew not what to say,say	nothing,I		
1	PART 1	6	On Baldach	85	"Then, said Alau: ""Caliph, since I see you love so much your treasure, I will give it you to eat."""		Alau		said,love,give,eat	said,love,give,eat	said,love so much your treasure,give it you to eat,eat	I,so much your treasure,it,I		
1	PART 1	6	On Baldach	86	He then commanded that he should be shut up in the tower with the treasure, and that nothing should be given to him to eat or drink.				commanded,be,shut,be,given,eat,drink	commanded,be,shut,be,given,eat,drink	commanded that he should be shut up in the tower with the treasure , and that nothing should be given to him to eat or drink,be shut up in the tower with the treasure,be given to him to eat or drink,shut up in the tower with the treasure,be shut up in the tower with the treasure,be given to him to eat or drink,given to him to eat or drink,eat or drink,drink .	him		
1	PART 1	6	On Baldach	87	"Then he said to him: ""Caliph, eat your treasure as heartily as you please, for you will never eat any thing else."""				said,eat,please,eat	said,eat,please,eat	said to him : `` Caliph , eat your treasure as heartily as you please , for you will never eat any thing else,eat your treasure as heartily as you please , for you will never eat any thing else,please,eat your treasure as heartily as you please , for you will never eat any thing else	him,your treasure,I,your treasure		
1	PART 1	6	On Baldach	88	He was then immured in the tower, where he died at the end of four days.				was,immured,died	was,immured,died	was then immured in the tower , where he died at the end of four days,immured in the tower , where he died at the end of four days,died at the end of four days	the tower , where he died at the end of four days,the end of four days		
1	PART 1	6	On Baldach	89	And after him there never was any other caliph.				was	was	was any other caliph.	any other caliph		
1	PART 1	7	On Toris or Tauris	90	Toris is a great city, in a province called Yrac, containing many towns and castles ; 	Yrac,Toris		Toris,Yrac	called,containing	called,containing	called Yrac , containing many towns and castles,containing many towns and castles	Yrac,many towns and castles	Yrac	Yrac
1	PART 1	7	On Toris or Tauris	91	but as this is the chief, I will tell you about it.				tell	tell	tell you about it	you		
1	PART 1	7	On Toris or Tauris	92	The men live by merchandise, and by fabricating fine cloths of silk and gold.				fabricating	fabricating	fabricating fine cloths of silk and gold	fine cloths of silk and gold		
1	PART 1	7	On Toris or Tauris	93	The place is so well situated that merchants proceed hither from India, Baldach, Mosul, Cremosor, and many other places.			India, Baldach, Mosul, Cremosor	situated	situated	situated that merchants proceed hither from India , Baldach , Mosul , Cremosor , and many other places			
1	PART 1	7	On Toris or Tauris	94	The Latin traffickers come to meet those from strange countries, from whom they purchase precious pearls and other valuable articles.				meet	meet	meet those from strange countries , from whom they purchase precious pearls and other valuable articles	those from strange countries		
1	PART 1	7	On Toris or Tauris	95	The men are of indifferent character and very mixed origin, Armenians, Nestorians, Jacobites, Georgians, and Persians, and some who adore Mohammed.		Mohammed							
1	PART 1	7	On Toris or Tauris	96	The inhabitants of the city are called Taurisians.				called	called	called Taurisians	Taurisians		
1	PART 1	7	On Toris or Tauris	97	Around it are very fine gardens, full of fruits and vegetables.									
1	PART 1	7	On Toris or Tauris	98	The Saracens here are most wicked and disloyal.									
1	PART 1	7	On Toris or Tauris	99	They maintain that whatever is robbed or plundered from men of a different creed is justly acquired ; 				robbed,plundered,acquired	robbed,plundered,acquired	robbed or plundered from men of a different creed,plundered from men of a different creed is justly acquired ;,acquired	men of a different creed,I		
1	PART 1	7	On Toris or Tauris	100	while they regard as martyrs those of their own sect who die by the hands of Christians.									
1	PART 1	7	On Toris or Tauris	101	If, therefore, they were not checked by their present rulers, they would break out into many outrages.				were,checked,break	were,checked,break	were not checked by their present rulers,checked by their present rulers,break out into many outrages	their present rulers		
1	PART 1	7	On Toris or Tauris	102	These principles are common to them all.									
1	PART 1	7	On Toris or Tauris	103	At the point of death, the priest comes and demands whether they believe that Mohammed was the prophet of God.		Mohammed		was	was	was the prophet of God	the prophet of God		
1	PART 1	7	On Toris or Tauris	104	If they profess this belief, they are assured of salvation ;				assured	assured	assured of salvation	salvation		
1	PART 1	7	On Toris or Tauris	105	and through this easy absolution, which leaves scope for the perpetration of every crime, they have succeeded in converting many of the Tartars, who feel thus at liberty to indulge their worst propensities.				succeeded,converting,indulge	succeeded,converting,indulge	succeeded in converting many of the Tartars , who feel thus at liberty to indulge their worst propensities,converting many of the Tartars , who feel thus at liberty to indulge their worst propensities,indulge their worst propensities	many of the Tartars,their worst propensities		
1	PART 1	7	On Toris or Tauris	106	Near Toris is a monastery named after St Barsamo, and famous for sanctity.			Toris	named	named	named after St Barsamo , and famous for sanctity	St Barsamo		
1	PART 1	7	On Toris or Tauris	107	It contains an abbot and many monks, who dress like the Carmelites.									
1	PART 1	7	On Toris or Tauris	108	Unwilling to lead an idle life, they are constantly weaving woollen girdles, which they place on the altar of their saint during divine service ;				lead,weaving	lead,weaving	lead an idle life,weaving woollen girdles , which they place on the altar of their saint during divine service	an idle life,woollen girdles , which they place on the altar of their saint during divine service		
1	PART 1	7	On Toris or Tauris	109	and while going round the province to ask alms (as do their brethren of the Holy Ghost), they present these to their friends and persons of distinction, who value them as beneficial in the cure of rheumatism.				going,ask	going,ask	going round the province to ask alms,ask alms	alms		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	110	Now I am to tell you of a great miracle which happened between Baldach and Mosul in the year 1225.	Yrac,Toris		Baldach,Mosul	tell,happened	tell,happened	tell you of a great miracle which happened between Baldach and Mosul in the year 1225,happened between Baldach and Mosul in the year 1225	you,Baldach and Mosul	Baldach and Mosul	Baldach ,Mosul
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	111	There was a caliph in the former who held the Christians in great hatred, as it is natural for all the Saracens in the world to do.				was,held,do	was,held,do	was a caliph in the former who held the Christians in great hatred , as it is natural for all the Saracens in the world to do,held the Christians in great hatred , as it is natural for all the Saracens in the world to do,do	a caliph in the former who held the Christians in great hatred , as it is natural for all the Saracens in the world to do,the Christians,the Saracens in the world,I		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	112	 He thought day and night how he might compel all those in his country to become converts, or else kill them.				thought,compel,become,kill	thought,compel,become,kill	thought day and night how he might compel all those in his country to become converts , or else kill them,compel all those in his country to become converts , or else kill them,become converts , or else kill them,kill them	all those,converts,them		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	113	Many others concurred in that wicked purpose, and they agreed upon this plan : They found in the gospel a text saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God, he would be able to join two mountains together.				concurred,agreed,found,saying,had,made,be,join	concurred,agreed,found,saying,had,made,be,join	concurred in that wicked purpose,agreed upon this plan,found in the gospel a text saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God , he would be able to join two mountains together,saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God , he would be able to join two mountains together,had as much faith as a grain of mustard-seed and made his prayer to God,made his prayer to God,be able to join two mountains together,join two mountains together	that wicked purpose,this plan,the gospel,as much faith as a grain of mustard-seed,a grain of mustard-seed,his prayer,two mountains		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	114	On finding this text, they felt great joy, thinking they had thus either a means of converting them, or a pretext for killing them outright.				finding,felt,thinking,had,converting,killing	finding,felt,thinking,had,converting,killing	finding this text,felt great joy , thinking they had thus either a means of converting them , or a pretext for killing them outright,thinking they had thus either a means of converting them , or a pretext for killing them outright,had thus either a means of converting them , or a pretext for killing them outright,converting them,killing them outright	this text,great joy,they,them,them		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	115	He therefore sent for all the Jacobite and Nestorian believers in his country, who were very numerous; 				sent,were	sent,were	sent for all the Jacobite and Nestorian believers in his country , who were very numerous,were very numerous	all the Jacobite and Nestorian believers		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	116	and when they came before him, he showed them this gospel, made them read it, and asked if it were true.				came,showed,made,read,asked,were	came,showed,made,read,asked,were	came before him,showed them this gospel , made them read it , and asked if it were true,made them read it,read it,asked if it were true,were true	him,them,it		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	117	They replied that it was so.				replied,was	replied,was	replied that it was so,was so			
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	118	Then, continued the caliph, since so many Christians are here, there surely must be among you this small measure of faith ; 				continued,be	continued,be	continued the caliph , since so many Christians are here , there surely must be among you this small measure of faith,be among you this small measure of faith	the caliph,there,you		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	119	therefore, said he, pointing to a large hill in view, you must remove that mountain, or I will put you all to death, because otherwise you must be wholly destitute of faith, and on that account deserve to die.				said,pointing,remove,put,be,die	said,pointing,remove,put,be,die	said he , pointing to a large hill in view,pointing to a large hill in view,remove that mountain,put you all to death , because otherwise you must be wholly destitute of faith , and on that account deserve to die,be wholly destitute of faith,die	he,a large hill in view,mountain,you all to death , because otherwise you must be wholly destitute of faith , and on that account,I		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	120	If, however, you will turn to our good law of Mohammed, you shall be forgiven; 		Mohammed		turn,be,forgiven	turn,be,forgiven	turn to our good law of Mohammed,be forgiven,forgiven	our good law of Mohammed,I		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	121	and, in the mean time, I allow you ten days to do what is required.				do,required	do,required	do what is required,required	I		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	122	He then dismissed them.				dismissed	dismissed	dismissed them	them		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	123	On hearing what the caliph had said, they were in great fear, and knew not what to resolve.				hearing,had,said,were,knew,resolve	hearing,had,said,were,knew,resolve	hearing what the caliph had said,had said,said,were in great fear , and knew not what to resolve,knew not what to resolve,resolve	I,great fear,I		
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	124	Then they all assembled, small and great, men and women, the bishop, archbishop, and priests of whom there were a considerable number, and they remained eight days and eight nights in prayer, that God, in his mercy, and for the diffusion of his faith, would come to their aid, and enable them to escape this cruel death with which they were threatened.				assembled,were,remained,come,enable,escape,were,threatened	assembled,were,remained,come,enable,escape,were,threatened	assembled , small and great , men and women , the bishop , archbishop , and priests of whom there were a considerable number,were a considerable number,were threatened,remained eight days and eight nights in prayer , that God , in his mercy , and for the diffusion of his faith , would come to their aid , and enable them to escape this cruel death with which they were threatened,come to their aid , and enable them to escape this cruel death with which they were threatened,enable them to escape this cruel death with which they were threatened,escape this cruel death with which they were threatened,were a considerable number,were threatened,threatened	, small and great , men and women , the bishop , archbishop , and priests of whom there were a considerable number,eight days and eight nights,their aid,them,this cruel death with which they were threatened,I		
