	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs
32	1	PART 1	4	On Georgia and its Productions	33	and anciently all the monarchs of this province were born with the mark of an eagle on their left shoulder.				were,born	were,born
33	1	PART 1	4	On Georgia and its Productions	34	They are a handsome people, good archers, and valiant in battle.					
34	1	PART 1	4	On Georgia and its Productions	35	They are Christians of the Greek church, and wear their hair close shaven in the manner of clergy.				wear	wear
35	1	PART 1	4	On Georgia and its Productions	36	This is the province which Alexander could not pass through on account of the narrowness of the path 		Alexander		pass	pass
36	1	PART 1	4	On Georgia and its Productions	37	 because on one side is the sea, and on the other very high mountains, over which it is impossible to ride ; 				ride	ride
37	1	PART 1	4	On Georgia and its Productions	38	and, as this strait continues above four leagues, a few men might hold out against the whole world.				hold	hold
38	1	PART 1	4	On Georgia and its Productions	39	This was the reason why he could not pass;				was,pass	was,pass
39	1	PART 1	4	On Georgia and its Productions	40	but he built a very strong tower, that no one might come upon him from the other side, and it is called the Iron Gate.			Iron Gate	built,come,called	built,come,called
40	1	PART 1	4	On Georgia and its Productions	41	This is the place mentioned in the book of Alexander, where he enclosed the Tartars within their mountains ; 		Alexander		mentioned,enclosed	mentioned,enclosed
41	1	PART 1	4	On Georgia and its Productions	42	though the Tartars did not exist at that time, but a certain people called Comani, and other races besides.				did,exist,called	did,exist,called
42	1	PART 1	4	On Georgia and its Productions	43	There are many cities and castles, with silk in abundance, with which, added to gold, they make cloths the most beautiful that ever man saw.				added,saw	added,saw
43	1	PART 1	4	On Georgia and its Productions	44	Here are the finest eagles in the world ; also victuals of every kind in abundance.					
44	1	PART 1	4	On Georgia and its Productions	45	The province is full of great mountains, and of narrow passes, so that I can tell you the Tartars could never obtain the entire sovereignty of it.				tell,obtain	tell,obtain
45	1	PART 1	4	On Georgia and its Productions	46	There is a monastery called St Leonard, containing a great wonder, which I will now relate.				called,containing,relate	called,containing,relate
46	1	PART 1	4	On Georgia and its Productions	47	A large lake of water issues from a neighbouring mountain, in which, during the whole year, there is not found a fish great or small, except from the day before Lent down to the evening of Easter Sunday ; 				found,Lent	found,Lent
47	1	PART 1	4	On Georgia and its Productions	48	and during the whole of that time fishes are taken in great abundance, but none at any other.				taken	taken
48	1	PART 1	4	On Georgia and its Productions	49	And know that this sea of which I have spoken is seven hundred miles in circuit, and receives the Euphrates, one of the delights of paradise, and many other great rivers.			Euphrates	know,spoken	know,spoken
49	1	PART 1	4	On Georgia and its Productions	50	It is all surrounded by mountain and land; 				surrounded	surrounded
50	1	PART 1	4	On Georgia and its Productions	51	and lately the merchants of Genoa, who have built ships, navigate it, bringing silk, which is called gelle.			Genoa	built,navigate,bringing,called	built,navigate,bringing,called
51	1	PART 1	4	On Georgia and its Productions	52	Into this sea the great rivers Herdil,Geihon, Kur, and Aras enter.			Herdil,Geihon, Kur,Aras		
52	1	PART 1	4	On Georgia and its Productions	53	In that province there is a grand city named Teflis, with suburbs and fortified posts around it.			Teflis	named,fortified	named,fortified
53	1	PART 1	4	On Georgia and its Productions	54	The inhabitants are Armenian and Georgian Christians, with some few Mohammedans and Jews.					
54	1	PART 1	4	On Georgia and its Productions	55	There are manufactures of silk and other articles.					
55	1	PART 1	4	On Georgia and its Productions	56	Now, having told you of the boundaries of Armenia to the north, I will describe those to the south and east.			Armenia	having,told,describe	having,told,describe
56	1	PART 1	5	On the Kingdom of Mosul	57	Mosul is a great kingdom on the eastern border of Armenia, and inhabited by various denominations of men, whom I will now describe.	Mosul		Mosul,Armenia	inhabited,describe	inhabited,describe
57	1	PART 1	5	On the Kingdom of Mosul	58	There is a race called Arabic, who adore Mohammed ; 		Mohammed		called	called
58	1	PART 1	5	On the Kingdom of Mosul	59	also another who hold the christian law, but not as the church of Rome commands ; 			Rome		
59	1	PART 1	5	On the Kingdom of Mosul	60	they err in many things.					
60	1	PART 1	5	On the Kingdom of Mosul	61	They are denominated Nestorian and Jacobite, and have a patriarch named Jatolior, who makes archbishops, bishops, abbots, and other clergy, and sends them to all parts of Bagdad, India, and Cathay, as the pope does from Rome.		Jatolior	Bagdad, India,Cathay,Rome	denominated,named	denominated,named
61	1	PART 1	5	On the Kingdom of Mosul	62	All the Christians who are in those parts are of this sect ;					
62	1	PART 1	5	On the Kingdom of Mosul	63	and all the cloths of silk and gold, which are called mosulin, are made there.				called,made	called,made
63	1	PART 1	5	On the Kingdom of Mosul	64	I tell you, too, that the great merchants who are called mosulin, and bring the largest quantity of all costly spices, are of this kingdom.				called,bring	called,bring
64	1	PART 1	5	On the Kingdom of Mosul	65	Among its mountains are people called Kurds, who are Nestorian and Jacobite Christians, but some are Saracens, and reverence Mohammed.		Mohammed		called	called
65	1	PART 1	5	On the Kingdom of Mosul	66	They are an overbearing and wicked people, ever ready to rob the merchants.				rob	rob
66	1	PART 1	5	On the Kingdom of Mosul	67	Now let us leave Mosul, and speak of the great city of Baldach.			Mosul,Baldach	let,leave,speak	let,leave,speak
67	1	PART 1	6	On Baldach	68	At this place dwelt the caliph, chief prelate of all the Saracens in the world, as the pope is at Rome.	Baldach		Rome	dwelt	dwelt
68	1	PART 1	6	On Baldach	69	Through the middle of it flows a very large river, by which you can proceed to the sea of India, whence merchants go and come with their goods.			India	proceed	proceed
69	1	PART 1	6	On Baldach	70	From Baldach to the ocean by the stream is a voyage of eighteen days.			Baldach		
70	1	PART 1	6	On Baldach	71	The merchants going to India sail down that river to a place named Chisi, and then enter the Indian sea.			India,Chisi,Indian sea	going,sail,named,enter	going,sail,named,enter
71	1	PART 1	6	On Baldach	72	Between Baldach and Chisi is a great city named Bascra ; 			Baldach,Chisi,Bascra	named	named
72	1	PART 1	6	On Baldach	73	and the woods around that city yield the finest dates in the world.					
73	1	PART 1	6	On Baldach	74	In Baldach are many rich cloths of silk and gold, on which birds and beasts are represented ; 			Baldach	represented	represented
74	1	PART 1	6	On Baldach	75	and it is the greatest and noblest city in all these regions.					
75	1	PART 1	6	On Baldach	76	And know, assuredly, that the caliph was found to possess the most abundant treasure in gold, silver, and precious stones that ever was in the possession of man ; 				know,was,found,possess,was	know,was,found,possess,was
76	1	PART 1	6	On Baldach	77	and I will tell you how it happened.				tell,happened	tell,happened
77	1	PART 1	6	On Baldach	78	In the year of our Lord, 1255,the great sire of the Tartars, who is named Alau,brother to the great sire that now reigns, assembled a very large army, and marched upon Baldach and took it by force, which was a glorious exploit ; 		Alau	Baldach	named,assembled,marched,took,was	named,assembled,marched,took,was
78	1	PART 1	6	On Baldach	79	for it contained more than 100,000 horsemen besides foot soldiers ;				contained	contained
79	1	PART 1	6	On Baldach	80	and when it was taken, he found the caliph in possession of a tower full of gold, silver, and other treasure, such as never was seen at once in one place.				was,taken,found,was,seen	was,taken,found,was,seen
80	1	PART 1	6	On Baldach	81	"When he discovered it he sent for the monarch and said : ""Caliph, why have you amassed such a treasure, and what do you mean to do with it?"				discovered,sent,said,amassed,mean,do	discovered,sent,said,amassed,mean,do
81	1	PART 1	6	On Baldach	82	Did you not know that I was your enemy, and coming to attack you with this mighty host?				Did,know,was,coming,attack	Did,know,was,coming,attack
82	1	PART 1	6	On Baldach	83	"Knowing this, why did you not take your treasure, and give it to knights and soldiers to defend you and your city?"""				Knowing,did,take,give,defend	Knowing,did,take,give,defend
83	1	PART 1	6	On Baldach	84	The caliph replied nothing, because he knew not what to say.				replied,knew,say	replied,knew,say
84	1	PART 1	6	On Baldach	85	"Then, said Alau: ""Caliph, since I see you love so much your treasure, I will give it you to eat."""		Alau		said,love,give,eat	said,love,give,eat
85	1	PART 1	6	On Baldach	86	He then commanded that he should be shut up in the tower with the treasure, and that nothing should be given to him to eat or drink.				commanded,be,shut,be,given,eat,drink	commanded,be,shut,be,given,eat,drink
86	1	PART 1	6	On Baldach	87	"Then he said to him: ""Caliph, eat your treasure as heartily as you please, for you will never eat any thing else."""				said,eat,please,eat	said,eat,please,eat
87	1	PART 1	6	On Baldach	88	He was then immured in the tower, where he died at the end of four days.				was,immured,died	was,immured,died
88	1	PART 1	6	On Baldach	89	And after him there never was any other caliph.				was	was
89	1	PART 1	7	On Toris or Tauris	90	Toris is a great city, in a province called Yrac, containing many towns and castles ; 	Yrac,Toris		Toris,Yrac	called,containing	called,containing
90	1	PART 1	7	On Toris or Tauris	91	but as this is the chief, I will tell you about it.				tell	tell
91	1	PART 1	7	On Toris or Tauris	92	The men live by merchandise, and by fabricating fine cloths of silk and gold.				fabricating	fabricating
92	1	PART 1	7	On Toris or Tauris	93	The place is so well situated that merchants proceed hither from India, Baldach, Mosul, Cremosor, and many other places.			India, Baldach, Mosul, Cremosor	situated	situated
93	1	PART 1	7	On Toris or Tauris	94	The Latin traffickers come to meet those from strange countries, from whom they purchase precious pearls and other valuable articles.				meet	meet
94	1	PART 1	7	On Toris or Tauris	95	The men are of indifferent character and very mixed origin, Armenians, Nestorians, Jacobites, Georgians, and Persians, and some who adore Mohammed.		Mohammed			
95	1	PART 1	7	On Toris or Tauris	96	The inhabitants of the city are called Taurisians.				called	called
96	1	PART 1	7	On Toris or Tauris	97	Around it are very fine gardens, full of fruits and vegetables.					
97	1	PART 1	7	On Toris or Tauris	98	The Saracens here are most wicked and disloyal.					
98	1	PART 1	7	On Toris or Tauris	99	They maintain that whatever is robbed or plundered from men of a different creed is justly acquired ; 				robbed,plundered,acquired	robbed,plundered,acquired
99	1	PART 1	7	On Toris or Tauris	100	while they regard as martyrs those of their own sect who die by the hands of Christians.					
100	1	PART 1	7	On Toris or Tauris	101	If, therefore, they were not checked by their present rulers, they would break out into many outrages.				were,checked,break	were,checked,break
101	1	PART 1	7	On Toris or Tauris	102	These principles are common to them all.					
102	1	PART 1	7	On Toris or Tauris	103	At the point of death, the priest comes and demands whether they believe that Mohammed was the prophet of God.		Mohammed		was	was
103	1	PART 1	7	On Toris or Tauris	104	If they profess this belief, they are assured of salvation ;				assured	assured
104	1	PART 1	7	On Toris or Tauris	105	and through this easy absolution, which leaves scope for the perpetration of every crime, they have succeeded in converting many of the Tartars, who feel thus at liberty to indulge their worst propensities.				succeeded,converting,indulge	succeeded,converting,indulge
105	1	PART 1	7	On Toris or Tauris	106	Near Toris is a monastery named after St Barsamo, and famous for sanctity.			Toris	named	named
106	1	PART 1	7	On Toris or Tauris	107	It contains an abbot and many monks, who dress like the Carmelites.					
107	1	PART 1	7	On Toris or Tauris	108	Unwilling to lead an idle life, they are constantly weaving woollen girdles, which they place on the altar of their saint during divine service ;				lead,weaving	lead,weaving
108	1	PART 1	7	On Toris or Tauris	109	and while going round the province to ask alms (as do their brethren of the Holy Ghost), they present these to their friends and persons of distinction, who value them as beneficial in the cure of rheumatism.				going,ask	going,ask
109	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	110	Now I am to tell you of a great miracle which happened between Baldach and Mosul in the year 1225.	Yrac,Toris		Baldach,Mosul	tell,happened	tell,happened
110	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	111	There was a caliph in the former who held the Christians in great hatred, as it is natural for all the Saracens in the world to do.				was,held,do	was,held,do
111	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	112	 He thought day and night how he might compel all those in his country to become converts, or else kill them.				thought,compel,become,kill	thought,compel,become,kill
112	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	113	Many others concurred in that wicked purpose, and they agreed upon this plan : They found in the gospel a text saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God, he would be able to join two mountains together.				concurred,agreed,found,saying,had,made,be,join	concurred,agreed,found,saying,had,made,be,join
113	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	114	On finding this text, they felt great joy, thinking they had thus either a means of converting them, or a pretext for killing them outright.				finding,felt,thinking,had,converting,killing	finding,felt,thinking,had,converting,killing
114	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	115	He therefore sent for all the Jacobite and Nestorian believers in his country, who were very numerous; 				sent,were	sent,were
115	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	116	and when they came before him, he showed them this gospel, made them read it, and asked if it were true.				came,showed,made,read,asked,were	came,showed,made,read,asked,were
116	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	117	They replied that it was so.				replied,was	replied,was
117	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	118	Then, continued the caliph, since so many Christians are here, there surely must be among you this small measure of faith ; 				continued,be	continued,be
118	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	119	therefore, said he, pointing to a large hill in view, you must remove that mountain, or I will put you all to death, because otherwise you must be wholly destitute of faith, and on that account deserve to die.				said,pointing,remove,put,be,die	said,pointing,remove,put,be,die
119	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	120	If, however, you will turn to our good law of Mohammed, you shall be forgiven; 		Mohammed		turn,be,forgiven	turn,be,forgiven
120	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	121	and, in the mean time, I allow you ten days to do what is required.				do,required	do,required
121	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	122	He then dismissed them.				dismissed	dismissed
122	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	123	On hearing what the caliph had said, they were in great fear, and knew not what to resolve.				hearing,had,said,were,knew,resolve	hearing,had,said,were,knew,resolve
123	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	124	Then they all assembled, small and great, men and women, the bishop, archbishop, and priests of whom there were a considerable number, and they remained eight days and eight nights in prayer, that God, in his mercy, and for the diffusion of his faith, would come to their aid, and enable them to escape this cruel death with which they were threatened.				assembled,were,remained,come,enable,escape,were,threatened	assembled,were,remained,come,enable,escape,were,threatened
124	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	125	But what have I now to tell you?				tell	tell
125	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	126	While they were thus deeply engaged in prayer, an angel, by the message of God, appeared to a bishop who was a man of very holy life.				were,engaged,appeared,was	were,engaged,appeared,was
126	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	127	"He said, ""Oh, bishop!"				said	said
127	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	128	"do you now go to a certain shoemaker with one eye, and tell him that at his prayer the mountain will be moved""ù."				do,tell,be,moved	do,tell,be,moved
128	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	129	Now this shoemaker was a very honest and chaste man ; 				was	was
129	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	130	he fasted and went regularly to mass, and gave every day bread to the poor.				fasted,went,gave	fasted,went,gave
130	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	131	I will tell you a thing that he did, to prove his good faith and life.				tell,did,prove	tell,did,prove
131	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	132	It happened one day that a very beautiful woman came to his shop to purchase a pair of shoes, and in order to make them fit, he was obliged to look at her foot and ankle, and they were so finely shaped that he felt his eye take an undue pleasure in viewing them.				happened,came,purchase,make,fit,was,obliged,look,were,shaped,felt,take,viewing	happened,came,purchase,make,fit,was,obliged,look,were,shaped,felt,take,viewing
132	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	133	"As soon as she was gone, he began bitterly to reproach himself, and remembered the text, ""if thine eye offend thee, pluck it out, and cast it from thee""ù."				was,gone,began,reproach,remembered,offend,pluck,cast	was,gone,began,reproach,remembered,offend,pluck,cast
133	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	134	He then took a sharp weapon, and stuck it into his eye, so that it burst in his head, and he never saw with it again.				took,stuck,saw	took,stuck,saw
134	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	135	Thus you see he was a most holy and good man.				was	was
135	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	136	When, therefore, the bishop had this vision, he told it to all his people, and they agreed that this shoemaker should be called before them, and when he came, they requested him to pray to God that he would make the mountain move.				had,told,agreed,be,called,came,requested,pray,make	had,told,agreed,be,called,came,requested,pray,make
136	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	137	But when the shoemaker heard what the bishop and the others said, he answered that he was not so good a man as that God or our lady should for his sake do so great a miracle.				heard,said,answered,was	heard,said,answered,was
137	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	138	But the Christians pressed him so earnestly, that he at last agreed, and made the prayer.				pressed,agreed,made	pressed,agreed,made
138	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	139	When the final day was come, they all rose early in the morning, great and small, male and female; 				was,come,rose	was,come,rose
139	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	140	and entering the church, they sung the holy mass, and then proceeded out to the plain in front of the mountain.				entering,sung,proceeded	entering,sung,proceeded
140	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	141	They were fully a hundred thousand, and they all placed themselves in front of the cross.				were,placed	were,placed
141	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	142	The caliph then came with a vast number of Saracens, eager to slay the unbelievers, for they thought it impossible the hill could be moved, and they themselves were in great fear and doubt ; 				came,slay,thought,be,moved,were	came,slay,thought,be,moved,were
142	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	143	nevertheless they had good hope in their Creator.				had	had
143	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	144	Then the shoemaker fell on his knees before the cross, lifted his hands to heaven, and prayed fervently that the mountain might be moved, and the Christians there assembled escape a dreadful death.				fell,lifted,prayed,be,moved,assembled	fell,lifted,prayed,be,moved,assembled
144	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	145	When he had made his prayer, it was not long before the vast eminence began to stir, and move from its place.				had,made,was,began,stir,move	had,made,was,began,stir,move
145	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	146	The Saracens, on seeing this, wondered greatly, and many of them were converted ; 				seeing,wondered,were,converted	seeing,wondered,were,converted
146	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	147	nay, the caliph himself became a believer in the gospel, but secretly, and when he died, a cross was found round his neck; 				became,died,was,found	became,died,was,found
147	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	148	for which reason he was not buried in the same place with the other sovereigns, but in a tomb by himself.				was,buried	was,buried
148	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	149	Now let us leave Baldach and go to Persia.			Baldach,Persia	let,leave,go	let,leave,go
149	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	150	Persia is a very extensive province, anciently very rich and flourishing, but now in a great degree wasted and destroyed by the Tartars.	Persia, Sava		Persia	wasted,destroyed	wasted,destroyed
150	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	151	It contains a city called Sava, whence the three magi came to adore Jesus Christ when born at Bethlehem.		Jesus Christ	Sava,Bethlehem	called,came,adore,born	called,came,adore,born
151	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	152	In that city are buried the three, in separate tombs, above which is a square house carefully preserved.				buried,preserved	buried,preserved
152	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	153	Their hearts are still entire, with their hair and beards.					
153	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	154	One was named Balthazar, the other Gaspar, the third Melchior.		Balthazar ,Melchior ,Gaspar		was,named	was,named
154	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	155	Messer Marco inquired often in that city about these three magi, but no one could tell him any thing, except that they were ancient kings, who were there buried.		Messer Marco		inquired,tell,were,were,buried	inquired,tell,were,were,buried
155	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	156	They informed him, however, that three days' journey farther was a tower called the Castle of the Fire-worshippers, because the men there venerate fire, and for the following reason.				informed,was,called,following	informed,was,called,following
156	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	157	They say that anciently three kings of that country went to adore acertain prophet, newly born, and carried three offerings, gold, incense, and myrrh, to know if he were a king, a god, or a sage;				went,adore,born,carried,know,were	went,adore,born,carried,know,were
157	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	158	 for they said that, if he took gold, he was a king; if incense, he wasa god; if myrrh, he was a sage.				said,took,was,wasa,was	said,took,was,wasa,was
158	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	159	They went in one after another, and though they were of different ages and fashions, he appeared to each of them exactly like himself.				went,were,appeared	went,were,appeared
159	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	160	When they came out and compared what they had seen, they wondered much, and then went in altogether, and the child then appeared to them what he really was, a boy of thirteen days old.				came,compared,had,seen,wondered,went,appeared,was	came,compared,had,seen,wondered,went,appeared,was
160	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	161	They presented to him the three offerings, and he took them all, whence they concluded that he was at once god, king, and sage.				presented,took,concluded,was	presented,took,concluded,was
161	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	162	He presented to them a closed box, desiring them not to open it till their return home.				presented,desiring,open	presented,desiring,open
162	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	163	After having travelled a number of days, however, they were curious to see what was in the box, and opened it, when they found only a stone, which was meant to express that they should remain firm in the faith which they had received.				having,travelled,were,see,was,opened,found,was,meant,express,remain,had,received	having,travelled,were,see,was,opened,found,was,meant,express,remain,had,received
163	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	164	They did not understand this meaning, and despising the gift, threw it into a well, when immediately a great fire came down from heaven, and began to burn brightly.				did,understand,despising,threw,came,began,burn	did,understand,despising,threw,came,began,burn
164	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	165	When they saw this wonder, they were quite astonished, and repented that they had thrown away the stone.				saw,were,repented,had,thrown	saw,were,repented,had,thrown
165	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	166	They however took a portion of the fire, carried it to their country, and placed it in their church, where they kept it continually burning.				took,carried,placed,kept,burning	took,carried,placed,kept,burning
166	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	167	They revere it as a god, and use it for burning all their sacrifices ; 				use,burning	use,burning
167	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	168	and when at any time it goes out, they repair to that well, where the fire is never extinguished,and from it bring a fresh supply.				extinguished,bring	extinguished,bring
168	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	169	This is what all the people of that country tell, and Messer Marco was assured of it by those of the castle, and therefore it is truth.		Messer Marco		tell,was,assured	tell,was,assured
169	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	170	One of these kings was of Saba, the other of Ava, the other of the castle.			Saba,Ava	was	was
170	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	171	Now let me tell you of Persia, its cities, and the actions and customs of the people.			Persia	let,tell	let,tell
171	1	PART 1	10	On the Kingdoms of Persia	172	Know, then, that in Persia there are eight kingdoms, because it is a very great country, and I will tell you their names.	Casum,Cardistan,Lor,Cielstan,Istanit,Cerazi,Soucara,Tonocain		Persia	tell	tell
