chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Verb subject	Verb object	Verb object2	Tagged sentence
1	PART 1	4	On Georgia and its Productions	43	There are many cities and castles, with silk in abundance, with which, added to gold, they make cloths the most beautiful that ever man saw.								There are many cities and castles, with silk in abundance, with which, added to gold, they make cloths the most beautiful that ever man saw.
1	PART 1	4	On Georgia and its Productions	44	Here are the finest eagles in the world ; also victuals of every kind in abundance.								Here are the finest eagles in the world ; also victuals of every kind in abundance.
1	PART 1	4	On Georgia and its Productions	45	The province is full of great mountains, and of narrow passes, so that I can tell you the Tartars could never obtain the entire sovereignty of it.								The province is full of great mountains, and of narrow passes, so that I can tell you the Tartars could never obtain the entire sovereignty of it.
1	PART 1	4	On Georgia and its Productions	46	There is a monastery called St Leonard, containing a great wonder, which I will now relate.								There is a monastery called St Leonard, containing a great wonder, which I will now relate.
1	PART 1	4	On Georgia and its Productions	47	A large lake of water issues from a neighbouring mountain, in which, during the whole year, there is not found a fish great or small, except from the day before Lent down to the evening of Easter Sunday ; 								A large lake of water issues from a neighbouring mountain, in which, during the whole year, there is not found a fish great or small, except from the day before Lent down to the evening of Easter Sunday ; 
1	PART 1	4	On Georgia and its Productions	48	and during the whole of that time fishes are taken in great abundance, but none at any other.								and during the whole of that time fishes are taken in great abundance, but none at any other.
1	PART 1	4	On Georgia and its Productions	49	And know that this sea of which I have spoken is seven hundred miles in circuit, and receives the Euphrates, one of the delights of paradise, and many other great rivers.			Euphrates					And know that this sea of which I have spoken is seven hundred miles in circuit, and receives the Euphrates, one of the delights of paradise, and many other great rivers.
1	PART 1	4	On Georgia and its Productions	50	It is all surrounded by mountain and land; 								It is all surrounded by mountain and land; 
1	PART 1	4	On Georgia and its Productions	51	and lately the merchants of Genoa, who have built ships, navigate it, bringing silk, which is called gelle.			Genoa	navigate	merchants	it		"and lately the merchants of Genoa, who have built ships, <motion-vb fn-frame="" "">navigate</motion-vb> it, bringing silk, which is called gelle."
1	PART 1	4	On Georgia and its Productions	52	Into this sea the great rivers Herdil,Geihon, Kur, and Aras enter.			Herdil,Geihon, Kur,Aras					Into this sea the great rivers Herdil,Geihon, Kur, and Aras enter.
1	PART 1	4	On Georgia and its Productions	53	In that province there is a grand city named Teflis, with suburbs and fortified posts around it.			Teflis					In that province there is a grand city named Teflis, with suburbs and fortified posts around it.
1	PART 1	4	On Georgia and its Productions	54	The inhabitants are Armenian and Georgian Christians, with some few Mohammedans and Jews.								The inhabitants are Armenian and Georgian Christians, with some few Mohammedans and Jews.
1	PART 1	4	On Georgia and its Productions	55	There are manufactures of silk and other articles.								There are manufactures of silk and other articles.
1	PART 1	4	On Georgia and its Productions	56	Now, having told you of the boundaries of Armenia to the north, I will describe those to the south and east.			Armenia					Now, having told you of the boundaries of Armenia to the north, I will describe those to the south and east.
1	PART 1	5	On the Kingdom of Mosul	57	Mosul is a great kingdom on the eastern border of Armenia, and inhabited by various denominations of men, whom I will now describe.	Mosul		Mosul,Armenia					Mosul is a great kingdom on the eastern border of Armenia, and inhabited by various denominations of men, whom I will now describe.
1	PART 1	5	On the Kingdom of Mosul	58	There is a race called Arabic, who adore Mohammed ; 		Mohammed						There is a race called Arabic, who adore Mohammed ; 
1	PART 1	5	On the Kingdom of Mosul	59	also another who hold the christian law, but not as the church of Rome commands ; 			Rome					also another who hold the christian law, but not as the church of Rome commands ; 
1	PART 1	5	On the Kingdom of Mosul	60	they err in many things.								they err in many things.
1	PART 1	5	On the Kingdom of Mosul	61	They are denominated Nestorian and Jacobite, and have a patriarch named Jatolior, who makes archbishops, bishops, abbots, and other clergy, and sends them to all parts of Bagdad, India, and Cathay, as the pope does from Rome.		Jatolior	Bagdad, India,Cathay,Rome					They are denominated Nestorian and Jacobite, and have a patriarch named Jatolior, who makes archbishops, bishops, abbots, and other clergy, and sends them to all parts of Bagdad, India, and Cathay, as the pope does from Rome.
1	PART 1	5	On the Kingdom of Mosul	62	All the Christians who are in those parts are of this sect ;								All the Christians who are in those parts are of this sect ;
1	PART 1	5	On the Kingdom of Mosul	63	and all the cloths of silk and gold, which are called mosulin, are made there.								and all the cloths of silk and gold, which are called mosulin, are made there.
1	PART 1	5	On the Kingdom of Mosul	64	I tell you, too, that the great merchants who are called mosulin, and bring the largest quantity of all costly spices, are of this kingdom.								I tell you, too, that the great merchants who are called mosulin, and bring the largest quantity of all costly spices, are of this kingdom.
1	PART 1	5	On the Kingdom of Mosul	65	Among its mountains are people called Kurds, who are Nestorian and Jacobite Christians, but some are Saracens, and reverence Mohammed.		Mohammed						Among its mountains are people called Kurds, who are Nestorian and Jacobite Christians, but some are Saracens, and reverence Mohammed.
1	PART 1	5	On the Kingdom of Mosul	66	They are an overbearing and wicked people, ever ready to rob the merchants.								They are an overbearing and wicked people, ever ready to rob the merchants.
1	PART 1	5	On the Kingdom of Mosul	67	Now let us leave Mosul, and speak of the great city of Baldach.			Mosul,Baldach	leave	us	Mosul		"Now let us <motion-vb fn-frame=""Departing"">leave</motion-vb> <loc fe=”source”>Mosul</loc>, and speak of the great city of Baldach."
1	PART 1	6	On Baldach	68	At this place dwelt the caliph, chief prelate of all the Saracens in the world, as the pope is at Rome.	Baldach		Rome					At this place dwelt the caliph, chief prelate of all the Saracens in the world, as the pope is at Rome.
1	PART 1	6	On Baldach	69	Through the middle of it flows a very large river, by which you can proceed to the sea of India, whence merchants go and come with their goods.			India	proceed	you			"Through the middle of it flows a very large <loc fe=”source”>river</loc>, by which you can <motion-vb fn-frame=""Self_motion"">proceed</motion-vb> to the <loc fe=”goal”>sea of India</loc>, whence merchants go and come with their goods."
1	PART 1	6	On Baldach	70	From Baldach to the ocean by the stream is a voyage of eighteen days.			Baldach					From Baldach to the ocean by the stream is a voyage of eighteen days.
1	PART 1	6	On Baldach	71	The merchants going to India sail down that river to a place named Chisi, and then enter the Indian sea.			India,Chisi,Indian sea	going,sail,enter	,merchants,merchants	,river,sea	,,	The merchants <motion-vb fn-frame=”Motion”>going</motion-vb> to <loc fe=”goal”>India</loc> <motion-vb fn-frame=”Operate_vehicle”>sail down</motion-vb> that river to a place named <loc fe=”goal”>Chisi</loc>, and then <motion-vb fn-frame=”Arrive”>enter</motin-vb> the <loc fe=”goal”>Indian sea</loc>.
1	PART 1	6	On Baldach	72	Between Baldach and Chisi is a great city named Bascra ; 			Baldach,Chisi,Bascra					Between Baldach and Chisi is a great city named Bascra ; 
1	PART 1	6	On Baldach	73	and the woods around that city yield the finest dates in the world.								and the woods around that city yield the finest dates in the world.
1	PART 1	6	On Baldach	74	In Baldach are many rich cloths of silk and gold, on which birds and beasts are represented ; 			Baldach					In Baldach are many rich cloths of silk and gold, on which birds and beasts are represented ; 
1	PART 1	6	On Baldach	75	and it is the greatest and noblest city in all these regions.								and it is the greatest and noblest city in all these regions.
1	PART 1	6	On Baldach	76	And know, assuredly, that the caliph was found to possess the most abundant treasure in gold, silver, and precious stones that ever was in the possession of man ; 								And know, assuredly, that the caliph was found to possess the most abundant treasure in gold, silver, and precious stones that ever was in the possession of man ; 
1	PART 1	6	On Baldach	77	and I will tell you how it happened.								and I will tell you how it happened.
1	PART 1	6	On Baldach	78	In the year of our Lord, 1255,the great sire of the Tartars, who is named Alau,brother to the great sire that now reigns, assembled a very large army, and marched upon Baldach and took it by force, which was a glorious exploit ; 		Alau	Baldach	marched	sire			"In the year of our Lord, 1255,the great sire of the Tartars, who is named Alau,brother to the great sire that now reigns, assembled a very large army, and <motion-vb fn-frame=""Self_motion"">marched</motion-vb> upon <loc fe=”goal”>Baldach</loc> and took it by force, which was a glorious exploit ; "
1	PART 1	6	On Baldach	79	for it contained more than 100,000 horsemen besides foot soldiers ;								for it contained more than 100,000 horsemen besides foot soldiers ;
1	PART 1	6	On Baldach	80	and when it was taken, he found the caliph in possession of a tower full of gold, silver, and other treasure, such as never was seen at once in one place.								and when it was taken, he found the caliph in possession of a tower full of gold, silver, and other treasure, such as never was seen at once in one place.
1	PART 1	6	On Baldach	81	"When he discovered it he sent for the monarch and said : ""Caliph, why have you amassed such a treasure, and what do you mean to do with it?"								"When he discovered it he sent for the monarch and said : ""Caliph, why have you amassed such a treasure, and what do you mean to do with it?"
1	PART 1	6	On Baldach	82	Did you not know that I was your enemy, and coming to attack you with this mighty host?				coming	you			"Did you not know that I was your enemy, and <motion-vb fn-frame=""Arriving"">coming</motion-vb> to attack you with this mighty host?"
1	PART 1	6	On Baldach	83	"Knowing this, why did you not take your treasure, and give it to knights and soldiers to defend you and your city?"""								"Knowing this, why did you not take your treasure, and give it to knights and soldiers to defend you and your city?"""
1	PART 1	6	On Baldach	84	The caliph replied nothing, because he knew not what to say.								The caliph replied nothing, because he knew not what to say.
1	PART 1	6	On Baldach	85	"Then, said Alau: ""Caliph, since I see you love so much your treasure, I will give it you to eat."""		Alau						"Then, said Alau: ""Caliph, since I see you love so much your treasure, I will give it you to eat."""
1	PART 1	6	On Baldach	86	He then commanded that he should be shut up in the tower with the treasure, and that nothing should be given to him to eat or drink.								He then commanded that he should be shut up in the tower with the treasure, and that nothing should be given to him to eat or drink.
1	PART 1	6	On Baldach	87	"Then he said to him: ""Caliph, eat your treasure as heartily as you please, for you will never eat any thing else."""								"Then he said to him: ""Caliph, eat your treasure as heartily as you please, for you will never eat any thing else."""
1	PART 1	6	On Baldach	88	He was then immured in the tower, where he died at the end of four days.								He was then immured in the tower, where he died at the end of four days.
1	PART 1	6	On Baldach	89	And after him there never was any other caliph.								And after him there never was any other caliph.
1	PART 1	7	On Toris or Tauris	90	Toris is a great city, in a province called Yrac, containing many towns and castles ; 	Yrac,Toris		Toris,Yrac					Toris is a great city, in a province called Yrac, containing many towns and castles ; 
1	PART 1	7	On Toris or Tauris	91	but as this is the chief, I will tell you about it.								but as this is the chief, I will tell you about it.
1	PART 1	7	On Toris or Tauris	92	The men live by merchandise, and by fabricating fine cloths of silk and gold.								The men live by merchandise, and by fabricating fine cloths of silk and gold.
1	PART 1	7	On Toris or Tauris	93	The place is so well situated that merchants proceed hither from India, Baldach, Mosul, Cremosor, and many other places.			India, Baldach, Mosul, Cremosor					The place is so well situated that merchants proceed hither from India, Baldach, Mosul, Cremosor, and many other places.
1	PART 1	7	On Toris or Tauris	94	The Latin traffickers come to meet those from strange countries, from whom they purchase precious pearls and other valuable articles.				come	traffickers			"The Latin traffickers <motion-vb fn-frame=""Arriving"">come</motion-vb> to meet those from strange countries, from whom they purchase precious pearls and other valuable articles."
1	PART 1	7	On Toris or Tauris	95	The men are of indifferent character and very mixed origin, Armenians, Nestorians, Jacobites, Georgians, and Persians, and some who adore Mohammed.		Mohammed						The men are of indifferent character and very mixed origin, Armenians, Nestorians, Jacobites, Georgians, and Persians, and some who adore Mohammed.
1	PART 1	7	On Toris or Tauris	96	The inhabitants of the city are called Taurisians.								The inhabitants of the city are called Taurisians.
1	PART 1	7	On Toris or Tauris	97	Around it are very fine gardens, full of fruits and vegetables.								Around it are very fine gardens, full of fruits and vegetables.
1	PART 1	7	On Toris or Tauris	98	The Saracens here are most wicked and disloyal.								The Saracens here are most wicked and disloyal.
1	PART 1	7	On Toris or Tauris	99	They maintain that whatever is robbed or plundered from men of a different creed is justly acquired ; 								They maintain that whatever is robbed or plundered from men of a different creed is justly acquired ; 
1	PART 1	7	On Toris or Tauris	100	while they regard as martyrs those of their own sect who die by the hands of Christians.								while they regard as martyrs those of their own sect who die by the hands of Christians.
1	PART 1	7	On Toris or Tauris	101	If, therefore, they were not checked by their present rulers, they would break out into many outrages.								If, therefore, they were not checked by their present rulers, they would break out into many outrages.
1	PART 1	7	On Toris or Tauris	102	These principles are common to them all.								These principles are common to them all.
1	PART 1	7	On Toris or Tauris	103	At the point of death, the priest comes and demands whether they believe that Mohammed was the prophet of God.		Mohammed						At the point of death, the priest comes and demands whether they believe that Mohammed was the prophet of God.
1	PART 1	7	On Toris or Tauris	104	If they profess this belief, they are assured of salvation ;								If they profess this belief, they are assured of salvation ;
1	PART 1	7	On Toris or Tauris	105	and through this easy absolution, which leaves scope for the perpetration of every crime, they have succeeded in converting many of the Tartars, who feel thus at liberty to indulge their worst propensities.								and through this easy absolution, which leaves scope for the perpetration of every crime, they have succeeded in converting many of the Tartars, who feel thus at liberty to indulge their worst propensities.
1	PART 1	7	On Toris or Tauris	106	Near Toris is a monastery named after St Barsamo, and famous for sanctity.			Toris					Near Toris is a monastery named after St Barsamo, and famous for sanctity.
1	PART 1	7	On Toris or Tauris	107	It contains an abbot and many monks, who dress like the Carmelites.								It contains an abbot and many monks, who dress like the Carmelites.
1	PART 1	7	On Toris or Tauris	108	Unwilling to lead an idle life, they are constantly weaving woollen girdles, which they place on the altar of their saint during divine service ;								Unwilling to lead an idle life, they are constantly weaving woollen girdles, which they place on the altar of their saint during divine service ;
1	PART 1	7	On Toris or Tauris	109	and while going round the province to ask alms (as do their brethren of the Holy Ghost), they present these to their friends and persons of distinction, who value them as beneficial in the cure of rheumatism.				going		province		"and while <motion-vb fn-frame=""Motion"">going</motion-vb> round the <loc fe=""destination"">province</loc> to ask alms (as do their brethren of the Holy Ghost), they present these to their friends and persons of distinction, who value them as beneficial in the cure of rheumatism."
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	110	Now I am to tell you of a great miracle which happened between Baldach and Mosul in the year 1225.	Yrac,Toris		Baldach,Mosul					Now I am to tell you of a great miracle which happened between Baldach and Mosul in the year 1225.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	111	There was a caliph in the former who held the Christians in great hatred, as it is natural for all the Saracens in the world to do.								There was a caliph in the former who held the Christians in great hatred, as it is natural for all the Saracens in the world to do.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	112	 He thought day and night how he might compel all those in his country to become converts, or else kill them.								 He thought day and night how he might compel all those in his country to become converts, or else kill them.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	113	Many others concurred in that wicked purpose, and they agreed upon this plan : They found in the gospel a text saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God, he would be able to join two mountains together.								Many others concurred in that wicked purpose, and they agreed upon this plan : They found in the gospel a text saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God, he would be able to join two mountains together.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	114	On finding this text, they felt great joy, thinking they had thus either a means of converting them, or a pretext for killing them outright.								On finding this text, they felt great joy, thinking they had thus either a means of converting them, or a pretext for killing them outright.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	115	He therefore sent for all the Jacobite and Nestorian believers in his country, who were very numerous; 								He therefore sent for all the Jacobite and Nestorian believers in his country, who were very numerous; 
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	116	and when they came before him, he showed them this gospel, made them read it, and asked if it were true.				came	they			"and when they <motion-vb fn-frame=""Arriving"">came</motion-vb> before him, he showed them this gospel, made them read it, and asked if it were true."
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	117	They replied that it was so.								They replied that it was so.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	118	Then, continued the caliph, since so many Christians are here, there surely must be among you this small measure of faith ; 								Then, continued the caliph, since so many Christians are here, there surely must be among you this small measure of faith ; 
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	119	therefore, said he, pointing to a large hill in view, you must remove that mountain, or I will put you all to death, because otherwise you must be wholly destitute of faith, and on that account deserve to die.								therefore, said he, pointing to a large hill in view, you must remove that mountain, or I will put you all to death, because otherwise you must be wholly destitute of faith, and on that account deserve to die.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	120	If, however, you will turn to our good law of Mohammed, you shall be forgiven; 		Mohammed						If, however, you will turn to our good law of Mohammed, you shall be forgiven; 
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	121	and, in the mean time, I allow you ten days to do what is required.								and, in the mean time, I allow you ten days to do what is required.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	122	He then dismissed them.								He then dismissed them.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	123	On hearing what the caliph had said, they were in great fear, and knew not what to resolve.								On hearing what the caliph had said, they were in great fear, and knew not what to resolve.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	124	Then they all assembled, small and great, men and women, the bishop, archbishop, and priests of whom there were a considerable number, and they remained eight days and eight nights in prayer, that God, in his mercy, and for the diffusion of his faith, would come to their aid, and enable them to escape this cruel death with which they were threatened.				come,escape	God,	,death	,	Then they all assembled, small and great, men and women, the bishop, archbishop, and priests of whom there were a considerable number, and they remained eight days and eight nights in prayer, that God, in his mercy, and for the diffusion of his faith, would <motion-vb fn-frame=”Arriving”>come</motion-vb> to their aid, and enable them to <motion-vb fn-frame=”Escaping”>escape</motion-vb> this cruel death with which they were threatened.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	125	But what have I now to tell you?								But what have I now to tell you?
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	126	While they were thus deeply engaged in prayer, an angel, by the message of God, appeared to a bishop who was a man of very holy life.								While they were thus deeply engaged in prayer, an angel, by the message of God, appeared to a bishop who was a man of very holy life.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	127	"He said, ""Oh, bishop!"								"He said, ""Oh, bishop!"
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	128	"do you now go to a certain shoemaker with one eye, and tell him that at his prayer the mountain will be moved""?."				moved				do you now go to a certain shoemaker with one eye, and tell him that at his prayer the mountain will be <motion-vb fn-frame=”Cause_motion”>moved</motion-vb>?.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	129	Now this shoemaker was a very honest and chaste man ; 								Now this shoemaker was a very honest and chaste man ; 
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	130	he fasted and went regularly to mass, and gave every day bread to the poor.				went	he			"he fasted and <motion-vb fn-frame=""Motion"">went</motion-vb> regularly to <loc fe=goal>mass</loc>, and gave every day bread to the poor."
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	131	I will tell you a thing that he did, to prove his good faith and life.								I will tell you a thing that he did, to prove his good faith and life.
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	132	It happened one day that a very beautiful woman came to his shop to purchase a pair of shoes, and in order to make them fit, he was obliged to look at her foot and ankle, and they were so finely shaped that he felt his eye take an undue pleasure in viewing them.				came	woman			"It happened one day that a very beautiful woman <motion-vb fn-frame=”Arriving"">came</motion-vb> to <loc fe=goal>his shop</loc> to purchase a pair of shoes, and in order to make them fit, he was obliged to look at her foot and ankle, and they were so finely shaped that he felt his eye take an undue pleasure in viewing them."
1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	133	"As soon as she was gone, he began bitterly to reproach himself, and remembered the text, ""if thine eye offend thee, pluck it out, and cast it from thee""?."				gone				"As soon as she was <motion-vb fn-frame=”Motion”>gone</motion-vb>, he began bitterly to reproach himself, and remembered the text, ""if thine eye offend thee, pluck it out, and cast it from thee""?."
