chapter No	chapter Title	section No	section Title	sentence No	sentence
1	part1	11	Description of the City of Kambalu	32	It is surrounded by walls of earth, ten paces thick and twenty in height; yet the upper part becomes gradually thinner, so that at top the breadth is only three paces.
1	part1	11	Description of the City of Kambalu	33	There are twelve gates, each containing an edifice, making one in each square of that wall, and filled with men, who guard the place.
1	part1	11	Description of the City of Kambalu	34	The streets are so broad and so straight that from one gate another is visible.
1	part1	11	Description of the City of Kambalu	35	It contains many beautiful houses and palaces, and a very large one in the midst, containing a steeple with a large bell, which at night sounds three times ; after which no man must leave the city without some urgent necessity, as of sickness, or a woman about to beara child.
1	part1	11	Description of the City of Kambalu	36	At each gate a thousand men keep guard, not from dread of any enemy, but in reverence of the monarch who dwells within it, and to prevent injury by robbers.
1	part1	12	The Suburbs—Merchants	37	When the monarch comes to his chief city, he remains in his noble palace three days and no more, when he holds a great court, making high festival and Tejoicing with his ladies.
1	part1	12	The Suburbs—Merchants	38	There is a vast abundance of people through all the suburbs of Kambalu, which are twelve in number, one corresponding to each gate ; no one can count the number of residents ; and they contain as stately edifices as any in the city, except the king’s Palace.
1	part1	12	The Suburbs—Merchants	39	No one is allowed to be buried within the city ; and no females of bad character can reside there, but must have their dwellings in the suburbs, where there are said to be no fewer than 20,000.
1	part1	12	The Suburbs—Merchants	40	There are brought also to Kambalu the most costly articles in the world, the finest productions of India, as precious stones and pearls, with all the produce of Cathay and the surrounding countries, in order to supply the lords and the barons and ladies who reside there.
1	part1	12	The Suburbs—Merchants	41	Numerous merchants, likewise, bring more than a thousand wagons laden with grain; and all who are within a hundred miles of the city come thither to purchase what they want.
1	part1	13	Wicked Administration of Achmac—Insurrection	42	I will hereafter particularly mention a council of twelve persons, having power to dispose at will of the lands, governments, and all things belonging to the state.
1	part1	13	Wicked Administration of Achmac—Insurrection	43	One of these, a Saracen, named Achmac, had acquired an extraordinary influence with the great khan ; indeed his master was so infatuated with him that he allowed him the most uncontrolled license.
1	part1	13	Wicked Administration of Achmac—Insurrection	44	It was even discovered after his death that he had employed spells to fascinate the khan, and compel him to give full credit to what was told him by his favourite, who was thus enabled to conduct public affairs according to his pleasure.
1	part1	13	Wicked Administration of Achmac—Insurrection	45	He disposed of all the commands and public offices; passed sentence upon offenders; and when desirous to inflict an injury on any one whom he hated, needed only to go to the emperor and say, “such a man has been guilty of an offence against your majesty, and deserves death”.
1	part1	13	Wicked Administration of Achmac—Insurrection	46	The monarch usually replied, do as you judge best, and Achmac then ordered him to be immediately executed.
1	part1	13	Wicked Administration of Achmac—Insurrection	47	So manifest were the proofs of his influence, and of the sovereign’s implicit reliance on his statements, that no one dared to contradict him on any occasion ; even those highest in office stood in awe of him.
1	part1	13	Wicked Administration of Achmac—Insurrection	48	Any one charged by him with a capital offence, whatever means he might employ to justify himself and refute the accusation, could not find an advocate ; for none dared to oppose the purpose of Achmac.
1	part1	13	Wicked Administration of Achmac—Insurrection	49	Thus  he caused unjustly the death of many, and was also enabled to indulge his unlawful propensities.
1	part1	13	Wicked Administration of Achmac—Insurrection	50	Whenever he saw a woman who pleased him, he contrived either to add her to the number of his wives, or to lead her into a criminal intimacy.
1	part1	13	Wicked Administration of Achmac—Insurrection	51	On receiving information of any man having a beautiful daughter, he despatched emissaries with instructions to say to him, “ what are your views with regard to this handsome girl?
1	part1	13	Wicked Administration of Achmac—Insurrection	52	the best thing you can do is to give her to the lord-vicegerent ;” for so they termed Achmac, implying that he was his majesty’s representative ; “we will induce him to appoint you to a certain government or office for three years”.
1	part1	13	Wicked Administration of Achmac—Insurrection	53	The father was thus tempted to give away his child ; and as soon as the affair was arranged, the other went and informed the emperor that a government was vacant, or would become so on a particular day, and recommended the parent as well qualified to discharge its duties.
1	part1	13	Wicked Administration of Achmac—Insurrection	54	His majesty consented; and the appointment was immediately made.
1	part1	13	Wicked Administration of Achmac—Insurrection	55	Thus, either through ambition to hold high office, or dread of his power, he obtained possession of the fairest females, under the denomination of wives or of concubines.
1	part1	13	Wicked Administration of Achmac—Insurrection	56	Besides, he had twentyfive sons, who held the highest offices in the state, and, availing themselves of his authority, were guilty of similar violent and licentious proceedings.
1	part1	13	Wicked Administration of Achmac—Insurrection	57	He had likewise accumulated great wealth, since every one who obtained an appointment found it requisite to make him a liberal present.
1	part1	13	Wicked Administration of Achmac—Insurrection	58	During a period of twenty-two years, he exercised this absolute authority.
1	part1	13	Wicked Administration of Achmac—Insurrection	59	At length the Kataians, natives of the country, unable to endure longer his multiplied acts of injustice and violation of domestic rights, began to devise means of bringing about his death and the overthrow of the government.
1	part1	13	Wicked Administration of Achmac—Insurrection	60	Among the leading persons in this plot wasChenku, a commander of 6000 men, in whose family his dissolute conduct had spread dishonour.
1	part1	13	Wicked Administration of Achmac—Insurrection	61	He proposed the measure to one of his nation, named Vanku, who commanded 10,000 men, and suggested for its execution the period when the great khan, having completed his three months’ residence in Kambalu, should have departed for his palace at Shandu, while his son Gengis had also retired to the place usually visited by him at that season.
1	part1	13	Wicked Administration of Achmac—Insurrection	62	The charge of the city was then intrusted.
1	part1	13	Wicked Administration of Achmac—Insurrection	63	to Achmac, who communicated all affairs that occurred.
1	part1	13	Wicked Administration of Achmac—Insurrection	64	during his master’s absence, and received the necessary instructions.
1	part1	13	Wicked Administration of Achmac—Insurrection	65	Vanku and Chenku, having thus consulted together, imparted the design to some leading persons among the Kataians, and also to their friends in various other cities.
1	part1	13	Wicked Administration of Achmac—Insurrection	66	They formed an agreement, that on a certain day, immediately on perceiving a signal made by fire, they should rise and put to death all persons wearing beards, This distinction was made because they themselves naturally wanted this appendage, which characterized the Tartars, the Saracens, and the Christians.
1	part1	13	Wicked Administration of Achmac—Insurrection	67	The grand khan, having acquired the sovereignty of Kataia, not by any legitimate right, but solely by force of arms, placed no confidence in the natives, and therefore intrusted ail the provincial governments to Tartars, Saracens, Christians, and other foreigners belonging to his household.
1	part1	13	Wicked Administration of Achmac—Insurrection	68	From this cause his reign was universally detested by the people, who found themselves treated as slaves by the Tartars, and still worse by the Saracens.
1	part1	13	Wicked Administration of Achmac—Insurrection	69	Vanku and Chenku, having thus arranged their plans, succeeded at night in entering the palace; when the former placed himself on one of the royal seats, made the apartment be lighted up, and sent a messenger to Achmac, then residing in the old city.
1	part1	13	Wicked Administration of Achmac—Insurrection	70	He professed to come from Gengis, the emperor’s son, who, he said, had unexpectedly arrived, and required his immediate attendance.
1	part1	13	Wicked Administration of Achmac—Insurrection	71	The viceroy was much surprised by this intelligence ; but, as he stood in awe of the prince, he presently obeyed.
1	part1	13	Wicked Administration of Achmac—Insurrection	72	On passing the gate of the new city, he met the Tartar officer named Kogatai, who commanded the guard of 12,000 men, and who asked him whither he ‘was going at that late hour.
1	part1	13	Wicked Administration of Achmac—Insurrection	73	He stated his intention of waiting upon Gengis, whose arrival had just been announced to him.
1	part1	13	Wicked Administration of Achmac—Insurrection	74	“It is very surprising,” said the officer, “how he should have come so secretly that I was not apprized of it, 0 as to send a party of guards to attend him”.
1	part1	13	Wicked Administration of Achmac—Insurrection	75	The two Kataians, meantime, felt confident, that if they could succeed in despatching Achmac, they had nothing farther to fear.
1	part1	13	Wicked Administration of Achmac—Insurrection	76	On entering the palace, and seeing so many lights blazing, he prostrated himself before Vanku, whom he supposed to be the prince, when Chenku, who held a sword ready in his hand, severed his head from his body.
1	part1	13	Wicked Administration of Achmac—Insurrection	77	Kogatai had stopped at the door ; but, seeing this catastrophe, he exclaimed that treason was at work, and presently discharged an arrow, which slew Vanku as he sat upon the throne.
1	part1	13	Wicked Administration of Achmac—Insurrection	78	He then caused his men to seize the other, and despatched an order to the city to kill every one who should be found abroad.
1	part1	13	Wicked Administration of Achmac—Insurrection	79	The Kataians, however, seeing the conspiracy discovered, one of their chiefs killed, and the survivor a prisoner, remained in their houses, and could not make the concerted signals to the other towns.
1	part1	13	Wicked Administration of Achmac—Insurrection	80	Kogatai lost no time in sending messengers with a particular relation of these events to the khan, who, in reply, ordered him diligently to investigate the conspiracy, and to punish according to the degree of their guilt those found implicated in it.
1	part1	13	Wicked Administration of Achmac—Insurrection	81	Next day, after receiving this command, he examined all the Kataians, and inflicted the punishment of death on the Tingleaders.
1	part1	13	Wicked Administration of Achmac—Insurrection	82	Other cities known to have participated in the guilt suffered similar inflictions.
1	part1	13	Wicked Administration of Achmac—Insurrection	83	When his majesty returned to Kambalu, he inquired eagerly into the cause of this disturbance, and learned that the infamous Achmac and seven of his sons (the others being less culpable) had committed several enormities, He gave orders that the treasure, which he had accumulated to an incredible amount, should be removed from his place of residence to the new city, where it was lodged in his own treasury.
1	part1	13	Wicked Administration of Achmac—Insurrection	84	He directed even that his corpse should be disinterred, and thrown into the street, where the dogs might tear it in pieces.
1	part1	13	Wicked Administration of Achmac—Insurrection	85	The sons, who had pursued the same criminal course with their father, were ordered to be flayed alive.
1	part1	13	Wicked Administration of Achmac—Insurrection	86	Considering also the principles of the accursed sect of the Saracens, which allow them to indulge in the commission of every crime, and even to murder those who differ from them on points of belief, whence even the detestable Achmac and his sons might have imagined themselves guiltless, he regarded the whole body with contempt and abomination.
1	part1	13	Wicked Administration of Achmac—Insurrection	87	Summoning them to his presence, he forbade the continuance of many practices enjoined in their law, ordering that in future their marriages should be arranged according to the Tartar custom ; and that, in killing animals for food, instead of cutting their throats, they should rip open the stomach.
1	part1	13	Wicked Administration of Achmac—Insurrection	88	Marco Polo was on the spot when these events took place.
1	part1	14	Guards of the Great Khan	89	When the great khan holds a court, he is guarded, on account of his excellency and honour, by 12,000 horsemen, who are called quiesitan, that is, faithful servants of their lord; and this he does not from fear but regard to his high dignity.
1	part1	14	Guards of the Great Khan	90	Over these 12,000 are four captains, so that each commands 3000; and they keep guard in turn three days and three nights, eating and drinking at the expense of the prince.
1	part1	14	Guards of the Great Khan	91	Then they go away, and another party comes ; and so they proceed throughout the whole year.
1	part1	15	The Magnificence of his Festivals	92	When the khan wishes to celebrate a splendid festival, the tables are so arranged that his is much higher than the others, and he sits on the north, with his face toward the south.
1	part1	15	The Magnificence of his Festivals	93	His first wife is seated beside him on the left, while, on the right, are his sons and nephews, and all those of imperial lineage, who are so stationed that their head is on a level with the feet of the monarch.
1	part1	15	The Magnificence of his Festivals	94	The barons sit still lower; while the ladies, daughters, and female relations of the khan are placed beneath the queen on the left side, and under them all the wives of the barons ; every class knows the spot where they ought to sit.
1	part1	15	The Magnificence of his Festivals	95	The tables are so arranged that the monarch can see all the company, who are very numerous ; and outside of that hall there eat more than 40,000 persons, who have come with presents or remarkable objects from foreign parts, and attend on the days when he holds a court or celebrates a marriage.
1	part1	15	The Magnificence of his Festivals	96	In the midst of this hall is a very large vessel of fine gold, containing wine, and on each side two smaller ones, whence the liquor is poured out into flagons, each containing fully enough for eight men ; and one of these is placed between every two guests, who have besides separate cups of gold to drink out of.
1	part1	15	The Magnificence of his Festivals	97	This supply of plate is of very great value, and indeed the khan has so many vessels of gold and silver that none without seeing could possibly believe it.
1	part1	15	The Magnificence of his Festivals	98	At each door of the great hall, or of any part of the palace occupied by his majesty, stand two officers of gigantic height, holding in their hands staves, to prevent persons who enter from touching the threshold.
1	part1	15	The Magnificence of his Festivals	99	If any one chances to commit this offence, they take from him his garment, which he must redeem by a payment, or if they spare his dress, inflict at least a number of blows fixed by authority.
1	part1	15	The Magnificence of his Festivals	100	As strangers may not be aware of this prohibition, officers are appointed to warn them of it at the time of introduction.
1	part1	15	The Magnificence of his Festivals	101	Since, however, some of the company, on leaving the hall, may be so affected with liquor as to be unable to guard against the accident, it is not then severely punished.
1	part1	15	The Magnificence of his Festivals	102	Those who serve the khan at table are great barons, who hold their mouths carefully wrapped in rich towels of silk and gold, that their breath may not blow upon the dishes.
1	part1	15	The Magnificence of his Festivals	103	When he begins to drink, all the instruments, which are very numerous, are sounded, and while the cup is in his hand, the barons and others present fall on their knees, and make signs of great humility ; this is done every time he drinks, or when new viands are brought in.
1	part1	15	The Magnificence of his Festivals	104	These I shall not attempt to recount, since any one may believe that he will have the greatest variety of beasts and birds, wild and domestic, and of fishes in their season, and in the greatest abundance, prepared most delicately in various modes suitable to his magnificence and dignity.
1	part1	15	The Magnificence of his Festivals	105	Every baron or knight brings his wife, and she sits at table along with the other ladies, When the great sire has eaten, and the tables are removed, a number of jesters, players, and other witty persons perform various pieces, exciting much mirth and pleasure among the company, who then all depart and go to their homes.
1	part1	16	Great Festival at the King’s Birthday	106	The Tartars celebrate a festival on the day of their nativity.
1	part1	16	Great Festival at the King’s Birthday	107	The birthday of the khan is on the 28th September, and is the greatest of all, except that at the beginning of the year.
1	part1	16	Great Festival at the King’s Birthday	108	On this occasion he clothes himself in robes of beaten gold, and his twelve barons and 12,000 soldiers wear like him dresses of a uniform colour and shape ; not that they are so costly, but similarly made of silk, gilded, and bound by a cincture of gold.
1	part1	16	Great Festival at the King’s Birthday	109	Many have these robes adorned with precious stones and pearls, so as to be worth 10,000 golden bezants.
1	part1	16	Great Festival at the King’s Birthday	110	The great khan, twelve times in the year, presents to those barons and knights robes of the same colour with his own; and this is what no lord in the world can do.
1	part1	16	Great Festival at the King’s Birthday	111	On the day of his nativity, all the Tartars from every province of the world, who hold lands under him, celebrate a festival, and bring presents suited to their station.
1	part1	16	Great Festival at the King’s Birthday	112	The same is done by every individual who asks from him any favour or office.
1	part1	16	Great Festival at the King’s Birthday	113	He has twelve barons who bestow commands on such persons as they think proper.
1	part1	16	Great Festival at the King’s Birthday	114	On that day, the Christians, Saracens, and all the races of men who are subject to him, make prayers to their gods that they will preserve, and grant him a long, healthy, and happy life.
1	part1	16	Great Festival at the King’s Birthday	115	I will tell you no more of this festival, but of another which they celebrate at the beginning of the year, called the White Feast.
1	part1	17	Festival of the New Year	116	The Tartars begin their year in February,when the khan and his people celebrate a feast, where all, both men and women, are clothed in white robes.
1	part1	17	Festival of the New Year	117	‘They consider these as signifying joy and good fortune, and that hence all prosperity will happen to them throughout the year.
1	part1	17	Festival of the New Year	118	On that day, all who hold land or any dominion under him, make the most magnificent presents in their power, consisting of gold, silver, pearls, precious stones, and rich white cloths; so that, during the whole year, he may have abundance of treasures, and of the means of enjoying himself.
1	part1	17	Festival of the New Year	119	They present also more than 6000 camels, with about 100,000 beautiful white horses.
1	part1	17	Festival of the New Year	120	On that day, too, he is gratified with at least 5000 elephants covered with cloths of silk and gold, finely wrought with figures of beasts and birds, and each having on his back a box filled with vessels of gold and silver, and other things necessary for the feast.
1	part1	17	Festival of the New Year	121	They all pass before the great khan, and form the most brilliant spectacle ever seen in this world.
1	part1	17	Festival of the New Year	122	In the morning of that festal day, before the tables are spread, the kings, generals, counts, astrologers, physicians, falconers, and many other officers and rulers, repair to the hall of the sovereign, and those who are not admitted remain without the palace in a place where the monarch can fully see them.
1	part1	17	Festival of the New Year	123	They are in the following order :—Foremost, his sons, nephews, and others of his lineage, then kings, generals, and others according to their rank.
1	part1	17	Festival of the New Year	124	As soon as each has taken his place, a great prelate rises and says, with a loud voice, “incline and adore ;” and presently all bend down, strike their foreheads on the earth, and make prayers to their master, adoring him as a god.
1	part1	17	Festival of the New Year	125	This they do four times, and then go to an altar, on which is written the name of the great khan, Then, out of a beautiful box, they pour incense on that table in reverence of him, and return to their place ; they next make those rich and valuable presents which I have described.
1	part1	17	Festival of the New Year	126	When all these things have been done, and the prince has seen them all, the tables are placed, and they sit down, when the feast is ordered and celebrated in the manner already explained.
1	part1	17	Festival of the New Year	127	Now that I have described to you the joy of the White Feast, I will tell you of a most noble thing done by this monarch ; for he has ordered vestments to be bestowed upon the barons there present.
1	part1	18	Robes bestowed by the Great Khan	128	He has twelve barons, who are called quiesitan, or the faithful men of the supreme lord.
1	part1	18	Robes bestowed by the Great Khan	129	He gives to each thirteen vestments, differing in colour, and adorned with precious stones, pearls, and other great and most valuable articles ; also a golden girdle, and sandals worked with threads of silver, so that each, in these several dresses, appears like a king; and there is a regulation what dress ought to be worn at each of the feasts.
1	part1	18	Robes bestowed by the Great Khan	130	The monarch has thirteen robes of the same colour with those of his barons, but more costly.
1	part1	18	Robes bestowed by the Great Khan	131	And now I will relate a most wonderful thing, namely, that a large lion is led into his presence, which, as soon as it sees him, drops down, and makes a sign of deep humility, owning him for its lord, and moving about without any chain.
1	part1	18	Robes bestowed by the Great Khan	132	Now you shall hear of the great huntings made by this powerful ruler.
1	part1	19	Profusion of Game supplied to his Court	133	He resides in the city of Cathay, that is Kambalu, three months, December, January, and February, and has commanded that, for forty days’ journey round, all the people should engage in hunting and falconry.
1	part1	19	Profusion of Game supplied to his Court	134	The various lords of nations and lands are ordered to bring to him large beasts, stags, boars, wild-goats, and other animals.
1	part1	19	Profusion of Game supplied to his Court	135	Those at the distance of thirty days’ journey send the bodies preserved with the entrails taken out, while those at forty send only the skins, which are employed as furniture for his army.
1	part1	2	Insurrection raised by Nayan	136	You must understand that a certain cousin of his, named Nayan, who, like his ancestors, was his vassal, yet had many lands and provinces of his own, and could raise 400,000 horsemen, being thirty years old,refused to remain longer in subjection, and assumed the whole sovereignty to himself.
1	part1	2	Insurrection raised by Nayan	137	He sent to a certain great lord, named Kaidu, a nephew of that monarch, but in rebellion against him, and desirous of doing him the greatest injury.
1	part1	2	Insurrection raised by Nayan	138	To him Nayan proposed to attack the monarch on one side, while he himself advanced on another, so that they might acquire the dominion over his whole territory.
1	part1	2	Insurrection raised by Nayan	139	Kaidu declared himself well pleased, and promised to be ready at the time appointed.
1	part1	2	Insurrection raised by Nayan	140	He could bring into the field 100,000 cavalry ; and those two assembled a mighty army on horseback and foot, and marched against the great khan.
1	part1	20	Leopards and other wild Animals kept for Hunting	141	Now let us tell of the beasts which his majesty keeps for hunting.
1	part1	20	Leopards and other wild Animals kept for Hunting	142	Among these are leopards and lynxes, or stag-wolves, well fitted for that purpose.
1	part1	20	Leopards and other wild Animals kept for Hunting	143	He has also many lions larger than those of Babylon, of a beautiful hair and colour, striped lengthways, black, red, and white, and trained to catch stags, wild-oxen, hogs, wild-goats, and asses ; and it is delightful to see one of these chases, where the hunters go out, carrying the lion in a cage, and with him a amall dog.
1	part1	20	Leopards and other wild Animals kept for Hunting	144	They have likewise abundance of eagles, with which they capture hares, foxes, and even wolves; those which are trained to catch these last are very large, and of great weight, so that no wolf can escape them.
1	part1	21	His numerous Dogs and splendid Hunting Expeditions	145	Now let us speak of the dogs kept by this monarch.
1	part1	21	His numerous Dogs and splendid Hunting Expeditions	146	He has two barons who are brothers, named Bayam and Migam ; they are called cinuci, that is, the keepers of mastiff dogs, and each commands a party of 10,000 men, one clothed in vermilion, and the other in blue; whenever they go out with the monarch they are dressed in these vestments.
1	part1	21	His numerous Dogs and splendid Hunting Expeditions	147	In each party there are 2000 of the men, who guide respectively one, two, or more large mastiffs, making altogether a vast multitude.
1	part1	21	His numerous Dogs and splendid Hunting Expeditions	148	When his majesty goes to hunt, these two brothers attend him on opposite sides, each with 10,000 men and 5000 dogs; and they hunt thus a day’s journey distant from each other, and never pursue any animal which is not captured.
1	part1	21	His numerous Dogs and splendid Hunting Expeditions	149	It is indeed beautiful to see the speed of these dogs and the hunters, for when the prince goes out with his barons, boars and other animals are running on every side, and the dogs pursuing.
1	part1	22	Falconry and the Chase after Birds	150	When the monarch has remained in Kambalu these three months, he departs and goes southward to the ocean two days’ journey distant.
1	part1	22	Falconry and the Chase after Birds	151	He leads with him 10,000 falconers, conveying full 5000 gerfalcons, peregrine falcons in abundance, and also many vultures; but do not imagine that these are all kept in one place ; there are 200 here, 300 there, and so on.
1	part1	22	Falconry and the Chase after Birds	152	The birds caught are mostly presented to the great sire, and when he goes to hunt with his gerfalcons, vultures, and falcons, 10,000 men are ranged, two together, so as to enclose much ground ; these are called toscaor, meaning in our language men who remain on the watch, and each has a call and a hood to invite the birds.
1	part1	22	Falconry and the Chase after Birds	153	And when any falconer, by order of his majesty, sends forth u falcon, he has no need to follow it, because wherever it may go, it is watched by the men ranged in double order, who can either catch it again, or if necessary afford it succour.
1	part1	22	Falconry and the Chase after Birds	154	Each of the birds belonging to the sovereign and barons has a tablet of silver on its feet, with its name and that of the owner inscribed, so that wherever caught, it can be returned to him.
1	part1	22	Falconry and the Chase after Birds	155	If he is unknown, the animal must be carried to a chief named bulangazi, or guardian of things that are lost, who stands with his flag on an elevated spot, and all who have missed any thing go to him and recover it.
1	part1	22	Falconry and the Chase after Birds	156	Whoever finds a horse, a bird, a sword, or any thing else, and does not carry it to the owner or to this officer, is treated as a robber; thus scarcely any thing is ever lost.
1	part1	22	Falconry and the Chase after Birds	157	When the monarch goes upon these excursions, he has with him four elephants, and a chamber prepared, covered within with cloth of beaten gold, and outwardly with lions’ skins, where he keeps twelve of his very best gerfalcons, with twelve barons to amuse him by their society.
1	part1	22	Falconry and the Chase after Birds	158	As the falconers ride by, they call, “Sire, the birds are passing,” when he throws open the chamber, and seeing the object, selects the gerfalcons that please him, and sends them forth against the birds, few of which ever escape.
1	part1	22	Falconry and the Chase after Birds	159	Lying on his couch, he can view and enjoy the chase.
1	part1	22	Falconry and the Chase after Birds	160	Thus, I think, there is not, and never will be, any lord in the world, who has or can have so much diversion as the great khan.
1	part1	23	Magnificent Tents of the Great Khan	161	When this mighty monarch comes to one of his places, named Chaccia, he causes his tents to be pitched, with those of his sons and barons.
1	part1	23	Magnificent Tents of the Great Khan	162	These exceed 10,000 in number, and are very beautiful and rich.
1	part1	23	Magnificent Tents of the Great Khan	163	That in which he keeps his court is so large that 1000 knights can dwell in it; this is for his nobles and other attendants.
1	part1	23	Magnificent Tents of the Great Khan	164	He himself resides in another, looking westward, where those to whom he wishes to speak are introduced ; while there is an interior chamber in which he sleeps.
1	part1	23	Magnificent Tents of the Great Khan	165	The two halls have each three fine columns of aromatic wood, and are covered outwardly with beautiful lions’ hides, all striped with black, white, and vermilion, so that water cannot enter.
1	part1	23	Magnificent Tents of the Great Khan	166	The inside is lined with skins of ermine and zibelline, of the highest value, especially the latter, of which a robe suitable for a man would be worth 2000 golden bezants, while a common one would be worth 1000.
1	part1	23	Magnificent Tents of the Great Khan	167	The Tartars call them royal skins, and they are as large as those of a fawn; the whole hall is covered with them, worked most delicately in intaglio.
1	part1	23	Magnificent Tents of the Great Khan	168	These apartments contain furniture of such value that a little king could not purchase them.
1	part1	23	Magnificent Tents of the Great Khan	169	Around are large tents for his ladies, and for his gerfalcons and other beasts and birds; for he brings all his train, doctors, astronomers, hunters, and other officials, so that the whole appears a large and crowded city.
1	part1	23	Magnificent Tents of the Great Khan	170	He remains there till the feast of the Resurrection, during which time he does nothing but chase cranes, swans, and other birds, when those who catch any bring them to him, and thus the sport is beyond what any one can describe.
1	part1	23	Magnificent Tents of the Great Khan	171	No baron, nor lord, nor husbandman, can keep a dog or falcon for twenty days’ journey round his residence ; beyond that distance they may do what they please.
1	part1	23	Magnificent Tents of the Great Khan	172	No person, too, of whatever condition, must, from March to October, take any game, but leave them to multiply their kind ; so that hares and stags become so fearless as frequently to come up to men, yet are not taken.
1	part1	23	Magnificent Tents of the Great Khan	173	The great khan then returns to the city of Kambalu by the same road, hawking and sporting.
1	part1	24	Hunting Palace at Shandu in Tartary	174	At Shandu in Tartary, near the western frontier of China, he has built a very large palace of marble and other valuable stones.
1	part1	24	Hunting Palace at Shandu in Tartary	175	The halls are gilded all over and wonderfully beautiful, and a space sixteen miles in circuit is surrounded by a wall, within which are fountains, rivers, and meadows.
1	part1	24	Hunting Palace at Shandu in Tartary	176	Here he finds stags, deer, and wild-goats to give for food to the falcons and gerfalcons, which he keeps in cages, and goes out once a-week to sport with them.
