chapterNo	chapterTitle	sectionNo	SentenceNo	sectionTitle	sentence	Marco Location	Person	Location	Travel verbs	VerbNet Travel	Narrate verbs	VerbNet Narrate	WordNet Narrate	FrameNet Narrate	WordNet Travel	FrameNet Travel	Voted Narrate	Voted Travel	Paper Narrate	Paper Travel
1	PART 1	4	25	Description of the Battle	Kublai then advanced, having a tower fixed upon four elephants, whereon were placed his ensigns, so that he could be seen by the whole army.	Kambalu	Kublai		advanced	advanced			advanced,having,were,placed,be,seen	were,be	advanced,seen	were,be	be ,were	advanced		seen
1	PART 1	4	26	Description of the Battle	His men, divided into bands of twenty thousand, surrounded in a moment the adverse force, each soldier having a footman on the crupper behind him, with a bow in his hand.	Kambalu							having							
1	PART 1	4	27	Description of the Battle	When Nayan and his men saw their camp thus encircled by the khan and his host, they were seized with amaze ; 	Kambalu	Nayan,Khan						saw,were	were	saw	were	were			
1	PART 1	4	28	Description of the Battle	yet they ran to arms, formed themselves in order of battle, and were soon prepared to strike.	Kambalu			ran	ran			ran,were,prepared,strike	were	ran	ran,were	were	ran		ran
1	PART 1	4	29	Description of the Battle	Then began the beating on many instruments, and singing with loud voices;	Kambalu							began							
1	PART 1	4	30	Description of the Battle	 for it is the custom of the Tartars, that until the horn termed naccar is winded the troops do not engage.	Kambalu				winded					winded	winded		winded		
1	PART 1	4	31	Description of the Battle	But when that grand trumpet of the great khan was sounded, all the other performers began playing, and raising their voices very loud, making a noise that was truly most wonderful.	Kambalu	Khan			making			was,sounded,began,raising,was	was,was	playing	was,making,was	was ,was	making		making
1	PART 1	4	32	Description of the Battle	Then the two armies rushed against each other with sword, spear, and lance, while the footmen were prepared with bow and quiver.	Kambalu			rushed	rushed			rushed,were,prepared	were	rushed	were	were	rushed		
1	PART 1	4	33	Description of the Battle	The battle was fierce and cruel; 	Kambalu							was	was		was	was			
1	PART 1	4	34	Description of the Battle	the arrows filled the air like rain ; 	Kambalu														
1	PART 1	4	35	Description of the Battle	horses and horsemen were seen falling to the ground; 	Kambalu				falling			were,seen	were	seen,falling	were	were	falling		seen
1	PART 1	4	36	Description of the Battle	and the tumult was such, that if Jove had thundered, he could not have been heard.	Kambalu	Jove					thundered	was,had,thundered,have,been	was,been		was,been	been ,thundered ,was			
1	PART 1	4	37	Description of the Battle	Nayan was a baptized Christian, and therefore had the cross upon his standard.	Kambalu	Nayan						was,had	was		was	was			
1	PART 1	4	38	Description of the Battle	Never, in our day, was there so hard and terrible a combat, nor so many assembled on one field, especially of horsemen ;	Kambalu							was,assembled	was		was	was			
1	PART 1	4	39	Description of the Battle	 and the number who fell on both sides was fearful to behold.	Kambalu							was	was	fell	was	was			fell
1	PART 1	4	40	Description of the Battle	The battle continued from nine in the morning till midday ; 	Kambalu							continued		continued					
1	PART 1	4	41	Description of the Battle	but the great khan at last remained master of the field.	Kambalu	Khan													
1	PART 1	4	42	Description of the Battle	When Nayan and his men saw that they could hold out no longer, they betook themselves to flight ; 	Kambalu	Nayan						saw,hold	hold	saw		hold			
1	PART 1	4	43	Description of the Battle	but it availed them nothing; 	Kambalu														
1	PART 1	4	44	Description of the Battle	he was taken, and all his troops surrendered.	Kambalu							was,taken	was		was,taken	was			
1	PART 1	5	45	The Death of Nayan	When that great monarch heard that Nayan was taken, he ordered him to be put to death in the manner I am now to tell you.	Kambalu	Nayan				tell	tell	was,taken,ordered,be,put,tell	was,be,tell		was,taken,be	be ,tell ,was		tell	
1	PART 1	5	46	The Death of Nayan	He was wrapped in a carpet, and violently tossed to and fro till he died.	Kambalu							was	was	tossed	was	was			
1	PART 1	5	47	The Death of Nayan	This mode was adopted, that, being of imperial lineage, his blood might not be shed on the ground, nor his cries ascend into the air.	Kambalu							was,being,be	was,being,be		was,being,be	be ,being ,was			
1	PART 1	5	48	The Death of Nayan	When that battle was gained, four of his provinces paid tribute and homage to the great khan.	Kambalu	Khan						was,paid	was		was	was			gained
1	PART 1	5	49	The Death of Nayan	These were Cicorcia, Cauli, Bastol, and Suchintin.	Kambalu		Cicorcia, Cauli, Bastol,Suchintin					were	were		were	were			
1	PART 1	6	50	Kublai silences the Mockery of the Jews and Saracens	"When themonarch had achieved this triumph, the Saracens, Pagans, Jews, and other generations of men who believe not in God, expressed wonder at the cross which the vanquished leader had carried on his standard, and said in derision of the Christians,-""see how the cross of your God has aided Nayan and his people."""	Kambalu	Nayan				expressed,said	said	had,expressed,had,carried,said,see	said	carried,see		said		expressed,carried,said	see
1	PART 1	6	51	Kublai silences the Mockery of the Jews and Saracens	"They made such a noise on this subject, that it came to the ears of the prince, who was much displeased, and sending for the Christians, said to them,-""if your God did not assist Nayan, he acted with great justice, because he is a good and righteous God. Nayan was a traitor and rebel against his lord, and therefore God did well in not assisting him�."""	Kambalu	Nayan,Nayan		came	made,came	said	said	was,sending,said,was	was,said,was	came,did,did	made,came,was,was	said ,was ,was	came ,made	said	made,came
1	PART 1	6	52	Kublai silences the Mockery of the Jews and Saracens	"Then the Christians replied,-""O, great sire! thou hast spoken the truth, for the cross will aid nothing unjust, and he met only what he well deserved."""	Kambalu					spoken	replied,spoken	replied,spoken,met	spoken			replied ,spoken		spoken	
1	PART 1	6	53	Kublai silences the Mockery of the Jews and Saracens	Having gained this victory, the great khan returned to his capital, Kambalu, with much festival and rejoicing.	Kambalu	Khan 	Kambalu	returned	returned			Having,returned		returned	returned		returned		gained,returned
1	PART 1	6	54	Kublai silences the Mockery of the Jews and Saracens	When the other king, named Kaidu, heard how his ally had been worsted, he was struck with fear, and did not attempt to lead his army against the monarch.	Kambalu	Kaidu		lead	lead	named		named,had,been,was,struck,lead	been,was	did,lead	been,was	been ,was	lead	named	
1	PART 1	6	55	Kublai silences the Mockery of the Jews and Saracens	Now you have seen how that prince went to battle,and for what cause, while on all other occasions he sent his son and his barons;	Kambalu			went	went			seen,sent	went	seen,went	went		went		seen,went
1	PART 1	6	56	Kublai silences the Mockery of the Jews and Saracens	but this war was of such magnitude that it seemed to deserve his own immediate presence. 	Kambalu							was	was		was	was			
1	PART 1	7	57	His Opinions as to the Christian Religion	The grand khan, having obtained this splendid victory, returned with great pomp and triumph to his capital of Kambalu.	Kambalu	Khan	Kambalu	returned	returned			having,returned		returned	returned		returned		returned
1	PART 1	7	58	His Opinions as to the Christian Religion	He arrived there in November, and remained till after March, in which month our festival of Easter occurred.	Kambalu			arrived	arrived					arrived	arrived		arrived		arrived
1	PART 1	7	59	His Opinions as to the Christian Religion	Aware that this was one of our most solemn periods, he commanded all the Christians to attend him, bringing with them their book containing the four gospels.	Kambalu							was,commanded	was		was	was			
1	PART 1	7	60	His Opinions as to the Christian Religion	He caused it, in a very respectful manner, to be repeatedly perfumed with incense, ordering all his nobles present to do the same.	Kambalu							be,ordering	be	do	be	be			
1	PART 1	7	61	His Opinions as to the Christian Religion	Such was the custom upon each of the two great festivals of Easter and Christmas; 	Kambalu							was	was		was	was			
1	PART 1	7	62	His Opinions as to the Christian Religion	and he followed the same course as that pursued by the Saracens, Jews, and idolaters.	Kambalu				followed,pursued					followed,pursued			followed ,pursued		
1	PART 1	7	63	His Opinions as to the Christian Religion	"Being asked the reason of this conduct, he replied,-""there are four great prophets revered and worshipped by different classes of mankind. The Christians hold Christ as their divinity ; the Saracens, Mohammed ; the Jews, Moses; and the idolaters, Sogomombar Khan, their most distinguished idol. I honour and respect all the four, and seek aid from them, as any one of them may really be supreme in heaven�."""	Kambalu	Christ,Mohammed,Moses,Sogomombar Khan					asked,replied	Being,asked,replied,be	be	seek	be	asked ,be ,replied			
1	PART 1	7	64	His Opinions as to the Christian Religion	Yet, from the behaviour of his majesty towards the Christians, he evidently believed their faith the best and truest ; 	Kambalu														
1	PART 1	7	65	His Opinions as to the Christian Religion	observing, that it enjoined nothing on its professors that was not full of virtue and holiness.	Kambalu						observing	observing,enjoined,was	observing,was		was	observing ,was		observing	
1	PART 1	7	66	His Opinions as to the Christian Religion	He would not indeed allow the cross to be borne before them in processions, because, as he said, on it so exalted a person had been nailed and put to death.	Kambalu					said	said	be,said,had,been,put	allow,be,said,been		be,borne,been	be ,been ,said		said	
1	PART 1	7	67	His Opinions as to the Christian Religion	Some may ask, why if thus partial to the true faith, he did not openly embrace it?	Kambalu						ask	ask		did		ask			
1	PART 1	7	68	His Opinions as to the Christian Religion	He stated his reason to Nicolo and Maffio Polo, when, on his sending them ambassadors to the Pope, they ventured to address to him a few words on the subject.	Kambalu	Nicolo,Maffio Polo				stated,address	stated	stated,sending,address	stated,ventured,address			address ,stated		stated,ventured,address	
1	PART 1	7	69	His Opinions as to the Christian Religion	""" Why,� ""said he, ""should I become a Christian?"""	Kambalu					said	said	said	said			said		said	
1	PART 1	7	70	His Opinions as to the Christian Religion	You must yourselves see that the professors of that faith now in this country are ignorant and weak, unable to do any thing extraordinary, while the idolaters have power to do whatever they please.	Kambalu							see		see,do,do					see
1	PART 1	7	71	His Opinions as to the Christian Religion	While I am seated at table, the cups, filled with wine or other beverage, come to me from the middle of the hall spontaneously, without being touched by any human hand.	Kambalu			come	come			being,touched	being	come	come,being	being	come		come
1	PART 1	7	72	His Opinions as to the Christian Religion	They are able to control bad weather, and force it to retire to any quarter of the heavens; 	Kambalu							control		retire					retire
1	PART 1	7	73	His Opinions as to the Christian Religion	they can perform other wonderful things of the same nature.	Kambalu														
1	PART 1	7	74	His Opinions as to the Christian Religion	You have witnessed their idols exercising the faculty of speech, and predicting whatever events are inquired into.	Kambalu						inquired	predicting,inquired				inquired			
1	PART 1	7	75	His Opinions as to the Christian Religion	Should I become a convert and profess Christianity, the nobles of my court, and others disinclined to the faith, will ask what adequate motives have induced me to be baptized.	Kambalu					profess	ask	profess,ask,be	profess,be		be	ask ,be ,profess		profess	
1	PART 1	7	76	His Opinions as to the Christian Religion	What wonders, what miracles, they will say, have its ministers performed?	Kambalu					say	say	say,have	say			say		say	
1	PART 1	7	77	His Opinions as to the Christian Religion	But the idolaters declare, that their exhibitions are made through their own holiness and the might of their idols.	Kambalu				made						made		made		made
1	PART 1	7	78	His Opinions as to the Christian Religion	To this I shall be unable to make any answer, and be considered as labouring under a grievous mistake, while the heathen teachers, by the profound art which they display, may easily accomplish my death.	Kambalu				make			be,be,considered	be,be		be,make,be	be ,be	make		make
1	PART 1	7	79	His Opinions as to the Christian Religion	Return, however, to your pontiff, and present to him my request, that he would send a hundred persons learned in your law, who, when confronted with the others, will be able to control them, and while proving themselves endowed with similar skill, shall render their antagonists unable in their presence to carry on these practices.	Kambalu							send,learned,be,control,proving,render,carry	be	carry	be	be		render,carry	
1	PART 1	7	80	His Opinions as to the Christian Religion	On witnessing this, I will interdict the exercise of their religion, and suffer myself to be baptized.	Kambalu							interdict,be	be		be	be			
1	PART 1	7	81	His Opinions as to the Christian Religion	This example will be followed by all my nobility, and by my subjects in general ;	Kambalu				followed			be	be	followed	be	be	followed		
1	PART 1	7	82	His Opinions as to the Christian Religion	 so that the Christians in these regions will become more numerous than those inhabiting your own country�.	Kambalu														
1	PART 1	7	83	His Opinions as to the Christian Religion	From this language it evidently appears that had the pope sent out persons duly qualified to preach the gospel, the great khan would have embraced that faith, for which he certainly entertained a strong predilection.	Kambalu	Khan				preach	preach	had,sent,qualified,preach,have	preach			preach		preach	
1	PART 1	8	84	Rewards bestowed on his Soldiers	Now let us tell of the officers and barons of the great khan, and how he rewarded those who fought with him in the battle against Nayan.	Kambalu	Khan,Nayan				tell	tell	tell,rewarded	tell			tell		tell	
1	PART 1	8	85	Rewards bestowed on his Soldiers	To those who commanded 100 men, he gave the command of 1000, and to those of 1000 that of 10,000 ; 	Kambalu							commanded,gave							
1	PART 1	8	86	Rewards bestowed on his Soldiers	"and he bestowed, according to their rank, tablets of gold or of silver, on all of which was written,-""By the might of the great God, and by the favour which he gave to our emperor : may that prince be blessed, and may all those who do not obey him die and be destroyed�."""	Kambalu						written	was,written,gave,be,blessed,be	was,written,be,be		was,be,be	be ,be ,was ,written		written	
1	PART 1	8	87	Rewards bestowed on his Soldiers	Those who hold these documents enjoy certain privileges, with written instructions how they are to exercise their authority.	Kambalu						written	written	written			written		written	
1	PART 1	8	88	Rewards bestowed on his Soldiers	He who commands 100,000 men receives a golden one, weighing 300 saggi, under which is sculptured a lion on one side, and on the other the sun and moon.	Kambalu							weighing							
1	PART 1	8	89	Rewards bestowed on his Soldiers	Those who bear these noble tablets have instructions, that whenever they ride they should bear above their head an umbrella of gold, and as often as they are seated, it should be upon silver.	Kambalu							be	be		bear,be	be			
1	PART 1	8	90	Rewards bestowed on his Soldiers	There are also tablets whereon is sculptured a gerfalcon, which he gives to three great barons, who have then equal authority with himself.	Kambalu														
1	PART 1	8	91	Rewards bestowed on his Soldiers	They can take, whenever they please, and lead from place to place, the troops and horses of any prince or king; 	Kambalu			lead	lead			take,lead		lead	take		lead		
1	PART 1	8	92	Rewards bestowed on his Soldiers	and whoever dares to disobey in any thing their will and mandate, must die as a rebel to the sovereign.	Kambalu							mandate							
1	PART 1	8	93	Rewards bestowed on his Soldiers	Now let us speak of the outward form and manners of this mighty prince.	Kambalu					speak	speak	speak	speak			speak		speak	
1	PART 1	9	94	The Person of Kublai-His Wives, Concubines, and Sons	The great khan, lord of lords, named Kublai, is of a fine middle size, neither too tall nor too short; 	Kambalu	Khan,Kublai				named		named						named	
1	PART 1	9	95	The Person of Kublai-His Wives, Concubines, and Sons	he has a beautiful fresh complexion, and well-proportioned limbs.	Kambalu														
1	PART 1	9	96	The Person of Kublai-His Wives, Concubines, and Sons	His colour is fair and vermeil like the rose, his eyes dark and fine, his nose well formed and placed.	Kambalu							placed							
1	PART 1	9	97	The Person of Kublai-His Wives, Concubines, and Sons	He has four ladies, who always rank as his wives ; 	Kambalu														
1	PART 1	9	98	The Person of Kublai-His Wives, Concubines, and Sons	and the eldest son, born to him by one of them, succeeds as the rightful heir of the empire.	Kambalu										born				
1	PART 1	9	99	The Person of Kublai-His Wives, Concubines, and Sons	They are named empresses ; 	Kambalu					named		named						named	
1	PART 1	9	100	The Person of Kublai-His Wives, Concubines, and Sons	each bears his name, and holds a court of her own; 	Kambalu														
1	PART 1	9	101	The Person of Kublai-His Wives, Concubines, and Sons	there is not one who has not 300 beautiful maidens, with eunuchs, and many other male and female attendants, so that some of the courts of these ladies contain 10,000 persons; 	Kambalu														
1	PART 1	9	102	The Person of Kublai-His Wives, Concubines, and Sons	and when he wishes to visit any one, he makes her come to his apartment, or sometimes goes to hers.	Kambalu			visit,come	come	visit,come		visit		visit,come	visit,come		come ,visit		visit,come
1	PART 1	9	103	The Person of Kublai-His Wives, Concubines, and Sons	He maintains also a number of concubines.	Kambalu														
1	PART 1	9	104	The Person of Kublai-His Wives, Concubines, and Sons	There is a race of Tartars who are called Migrat or Ungrat,and are a very handsome people.	Kambalu						called	called				called			
1	PART 1	9	105	The Person of Kublai-His Wives, Concubines, and Sons	From them are selected 100 girls,the most beautiful in all their country, who are conducted to court.	Kambalu				conducted										
1	PART 1	9	106	The Person of Kublai-His Wives, Concubines, and Sons	He makes them be guarded by the ladies of the palace ; 	Kambalu							be	be		be	be			
1	PART 1	9	107	The Person of Kublai-His Wives, Concubines, and Sons	and they are examined if they have a sweet breath, and be sound in all their limbs.	Kambalu							examined,be	be		be	be			
1	PART 1	9	108	The Person of Kublai-His Wives, Concubines, and Sons	Those that are approved in every respect wait upon their great lord in the following order: six of them attend every three days, then other six come in their place, and so on throughout the year.	Kambalu			come	following,come					following,come	come		come ,following		come
1	PART 1	9	109	The Person of Kublai-His Wives, Concubines, and Sons	It may be asked, if the people of this province do not feel aggrieved by having their children thus forcibly taken away.	Kambalu						asked	be,asked,having,taken	be		be,taken	asked ,be			
1	PART 1	9	110	The Person of Kublai-His Wives, Concubines, and Sons	Assuredly not: on the contrary, they regard it as a favour and an honour; 	Kambalu														
1	PART 1	9	111	The Person of Kublai-His Wives, Concubines, and Sons	and the fathers feel highly gratified when their daughters are thus selected.	Kambalu														
1	PART 1	9	112	The Person of Kublai-His Wives, Concubines, and Sons	If, says one, my daughter is born under an auspicious planet, his majesty can best fulfil her destiny by marrying her more nobly than I can do.	Kambalu									do	born				
1	PART 1	9	113	The Person of Kublai-His Wives, Concubines, and Sons	On the contrary, if the young lady, by bad conduct or any misfortune, be found disqualified, he attributes the disappointment to her malignant stars.	Kambalu							be	be		be,found	be			
1	PART 1	9	114	The Person of Kublai-His Wives, Concubines, and Sons	Know, too, that the great khan has by his wives twenty-two sons ; 	Kambalu	Khan													
1	PART 1	9	115	The Person of Kublai-His Wives, Concubines, and Sons	the elder was named Gyngym Khan, and was to be lord of all the empire after his father ; 	Kambalu	Gyngym Khan				named		was,named,was,be	was,was,be		was,was,be	be ,was ,was		named	
1	PART 1	9	116	The Person of Kublai-His Wives, Concubines, and Sons	but he died, leaving a son named Temur, who in time will succeed ; 	Kambalu	Temur		leaving	leaving	named		leaving,named		leaving	leaving		leaving	named	leaving
1	PART 1	9	117	The Person of Kublai-His Wives, Concubines, and Sons	he is a wise and good man, tried in many battles.	Kambalu										tried				
1	PART 1	9	118	The Person of Kublai-His Wives, Concubines, and Sons	The monarch has also twenty-five sons by his concubines; 	Kambalu														
1	PART 1	9	119	The Person of Kublai-His Wives, Concubines, and Sons	and each is a great baron; 	Kambalu														
1	PART 1	9	120	The Person of Kublai-His Wives, Concubines, and Sons	and of the twenty-two sons by his four wives, seven reign over large kingdoms, like wise and good men, because they resemble their father,- and he is the best ruler of nations and conductor of wars in the world.	Kambalu														
1	PART 1	9	121	The Person of Kublai-His Wives, Concubines, and Sons	Now Ihave told you about himself, his wives, sons, and concubines ;	Kambalu					told	told	told	told			told		told	
1	PART 1	9	122	The Person of Kublai-His Wives, Concubines, and Sons	 next I will relate how he holds his court.	Kambalu					relate	relate	relate	relate			relate		relate	
1	PART 1	10	123	His magnificent Palace in Kambalu	He resides in the vast city of Kambalu, three months in the year, December, January, and February, and has here his great palace, which I will now describe.	Kambalu		Kambalu			describe		describe	describe			describe		describe	
1	PART 1	10	124	His magnificent Palace in Kambalu	It is a complete square, a mile long on every side, so that the whole is four miles in circuit ; 	Kambalu														
1	PART 1	10	125	His magnificent Palace in Kambalu	and in each angle is a very fine edifice, containing bows, arrows, cords, saddles, bridles, and all other implements of war.	Kambalu														
1	PART 1	10	126	His magnificent Palace in Kambalu	In the middle of the wall between these four edifices are others, making altogether eight, filled with stores, and each containing only a single article.	Kambalu				making						making		making		making
1	PART 1	10	127	His magnificent Palace in Kambalu	Towards the south are five gates, the middle one very large, never opened nor shut unless when the great khan is to pass through ; 	Kambalu	Khan		pass				pass		pass	pass		pass		
1	PART 1	10	128	His magnificent Palace in Kambalu	while on the other side is one by which all enter in common.	Kambalu														
1	PART 1	10	129	His magnificent Palace in Kambalu	Within that wall is another, containing eight edifices similarly constructed ; 	Kambalu							constructed							
1	PART 1	10	130	His magnificent Palace in Kambalu	in which is lodged the wardrobe of the sovereign.	Kambalu														
1	PART 1	10	131	His magnificent Palace in Kambalu	These walls enclose the palace of that mighty lord, which is the greatest that ever was seen.	Kambalu							was,seen	was	seen	was	was			seen
1	PART 1	10	132	His magnificent Palace in Kambalu	The floor rises ten palms above the ground, and the roof is exceedingly lofty.	Kambalu														
1	PART 1	10	133	His magnificent Palace in Kambalu	The walls of the chambers and stairs are all covered with gold and silver, and adorned with pictures of dragons, horses, and other races of animals.	Kambalu							covered						covered	
1	PART 1	10	134	His magnificent Palace in Kambalu	The hall is so spacious that 6000 can sit down to banquet ; 	Kambalu								sit	sit	sit		sit		
1	PART 1	10	135	His magnificent Palace in Kambalu	and the numberof apartmentais incredible.	Kambalu														
1	PART 1	10	136	His magnificent Palace in Kambalu	The roof is externally painted with red, blue, green, and other colours, and is so varnished that it shines like crystal, and is seen to a great distance around.	Kambalu							seen		seen					seen
1	PART 1	10	137	His magnificent Palace in Kambalu	It is also very strongly and durably built.	Kambalu														
1	PART 1	10	138	His magnificent Palace in Kambalu	Between the walls are pleasant meadows filled with various living creatures, as white stags, the musk animal, deer, wild goats, ermines, and other beautiful creatures.	Kambalu														
1	PART 1	10	139	His magnificent Palace in Kambalu	The whole enclosure is full of animals, except the path by which men pass.	Kambalu														
1	PART 1	10	140	His magnificent Palace in Kambalu	On the other side, towards the south, is a magnificent lake, whither many kinds of fish are brought and nourished.	Kambalu														
1	PART 1	10	141	His magnificent Palace in Kambalu	A river enters and flows out ; 	Kambalu														
1	PART 1	10	142	His magnificent Palace in Kambalu	but the fish are retained by iron gratings.	Kambalu														
1	PART 1	10	143	His magnificent Palace in Kambalu	Towards the north, about a bowshot from the palace, Kublai has constructed a mound, full a hundred paces high and a mile in circuit, all covered with evergreen trees which never shed their leaves.	Kambalu	Kublai						constructed,covered						covered	
1	PART 1	10	144	His magnificent Palace in Kambalu	When he hears of a beautiful tree, he causes it to be dug up, with all the roots and the earth round it, and to be conveyed to him on the backs of elephants, whence the eminence has been made verdant all over, and is called the green mountain.	Kambalu				made		conveyed,called	be,be,conveyed,been,called	be,be,been		be,be,been,made	be ,be ,been ,called ,conveyed	made	conveyed	made
1	PART 1	10	145	His magnificent Palace in Kambalu	On the top is a palace, also covered with verdure ; 	Kambalu							covered						covered	
1	PART 1	10	146	His magnificent Palace in Kambalu	it and the trees are so lovely that all who look upon them feel delight and joy.	Kambalu														
1	PART 1	10	147	His magnificent Palace in Kambalu	In the vicinity is another palace, where resides the grandson of the great khan, Temur, who is to reign after him, and who follows the same life and customs as his grandsire.	Kambalu	Khan,Temur													
1	PART 1	10	148	His magnificent Palace in Kambalu	He has already a golden bull and the imperial seal ;	Kambalu														
1	PART 1	10	149	His magnificent Palace in Kambalu	 but he has no authority while his grandfather lives.	Kambalu														
1	PART 1	11	150	Description of the City of Kambalu	Having described to you the palaces, I will tell you of the great city of Cathay, which contains them.	Kambalu		Cathay			described,tell	tell	Having,described,tell	described,tell			described ,tell		described,tell	
1	PART 1	11	151	Description of the City of Kambalu	Near it is another large and splendid one, also named Kambalu, which means in our language city of the lord; 	Kambalu		 Kambalu			named		named						named	
1	PART 1	11	152	Description of the City of Kambalu	but the monarch, finding by astrology that this town would rebel, built another near it, divided only by a river, and bearing the same name, to which its inhabitants were compelled to remove.	Kambalu							were	were		bearing,were	were			
1	PART 1	11	153	Description of the City of Kambalu	It forms a regular square, six miles on each side, and thus twenty-four miles in circumference.	Kambalu														
1	PART 1	11	154	Description of the City of Kambalu	It is surrounded by walls of earth, ten paces thick and twenty in height; yet the upper part becomes gradually thinner, so that at top the breadth is only three paces.	Kambalu														
1	PART 1	11	155	Description of the City of Kambalu	There are twelve gates, each containing an edifice, making one in each square of that wall, and filled with men, who guard the place.	Kambalu				making						making		making		making
1	PART 1	11	156	Description of the City of Kambalu	The streets are so broad and so straight that from one gate another is visible.	Kambalu														
1	PART 1	11	157	Description of the City of Kambalu	It contains many beautiful houses and palaces, and a very large one in the midst, containing a steeple with a large bell, which at night sounds three times ; 	Kambalu														
