Unnamed: 0	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	VerbNet Travel	VerbNet Narrate
21	3	PART 1	1	India and the Ships navigating thither	22	and first, of one named Zipangu.			Zipangu	named	named		
22	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	23	This is a very large island, fifteen hundred miles from the continent.	Zipangu						
23	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	24	The people are fair, handsome, and of agreeable manners.							
24	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	25	They are idolaters, and live quite separate, entirely independent of all other nations.				live	live		
25	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	26	Gold is very abundant, and no man being allowed to export it, while no merchant goes thence to the mainland, the people accumulate a vast amount.				being,allowed,export	being,allowed,export		
26	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	27	But I will give you a wonderful account of a very large palace, all covered with that metal, as our churches are with lead.				give,covered	give,covered		
27	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	28	The pavement of the chamber, the halls, windows, and every other part, have it laid on two inches thick,so that the riches of this palace are incalculable.				laid	laid		
28	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	29	Here are also red pearls, large, and of equal value with the white, with many other precious stones.							
29	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	30	Kublai, on hearing of this amazing wealth, desired to conquer the island, and sent two of his barons with a very large fleet containing warriors, both horsemen and on foot.		Kublai		desired,conquer,sent,containing	desired,conquer,sent,containing		
30	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	31	One was named Abatan, the other Vonsanicin, both wise and valiant.		Abatan,Vonsanicin		was,named	was,named		
31	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	32	They sailed from Zai-tun and Kin-sai, reached the isle, landed, and took possession of the plain and of a number of houses ; 			Zai-tun,Kin-sai	sailed,reached,landed,took	sailed,reached,landed,took	sailed	
32	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	33	but they had been unable to take any city or castle, when a sad misadventure occurred.				had,been,take,occurred	had,been,take,occurred		
33	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	34	A mutual jealousy arose amongst them, which prevented their acting in any concert.				arose,prevented	arose,prevented		
34	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	35	One day when the north wind blew very strong, the troops expressed to each other apprehensions, that if they remained, all the vessels would be wrecked.				blew,expressed,remained,be,wrecked	blew,expressed,remained,be,wrecked		
35	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	36	The whole then went on board and set sail.				went,set	went,set	went	
36	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	37	When they had proceeded about four miles, they found another small isle, on which, the storm being violent, a number sought refuge.				had,proceeded,found,being,sought	had,proceeded,found,being,sought		
37	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	38	Others could not reach it, many of whom suffered shipwreck and perished ; 				reach,suffered,perished	reach,suffered,perished		
38	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	39	but some were preserved and sailed for their native country.				were,preserved,sailed	were,preserved,sailed	sailed	
39	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	40	Those who had landed, 30,000 in number, looked on themselves as dead men, seeing no means of ever escaping ; 				had,landed,looked,seeing,escaping	had,landed,looked,seeing,escaping	escaping	
40	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	41	and their anger and grief were increased, when they beheld the other ships making their way homeward.				were,increased,beheld,making	were,increased,beheld,making		
41	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	42	The sovereign and people of the large isle rejoiced greatly when they saw the host thus scattered and many of them cast upon the islet.				rejoiced,saw,scattered,cast	rejoiced,saw,scattered,cast		
42	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	43	As soon as the sea calmed, they assembled a great number of ships, sailed thither and landed, hoping to capture all those refugees.				calmed,assembled,sailed,landed,hoping,capture	calmed,assembled,sailed,landed,hoping,capture	sailed	
43	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	44	But when the latter saw that their enemies had disembarked, leaving the vessels unguarded, they skilfully retreated to another quarter, and continued moving about till they reached the ships, and went on board without any opposition.				had,disembarked,leaving,retreated,continued,moving,reached,went	had,disembarked,leaving,retreated,continued,moving,reached,went	disembarked,leaving,went	
44	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	45	They then sailed direct for the principal island, hoisting its own standards and ensigns.				sailed,hoisting	sailed,hoisting	sailed	
45	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	46	On seeing these, the people believed their own countrymen had returned, and allowed them to enter the city.				seeing,believed,had,returned,allowed,enter	seeing,believed,had,returned,allowed,enter	returned,enter	
46	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	47	The Tartars, finding it defended only by old men, soon drove them out, retaining the women as slaves.				finding,defended,drove,retaining	finding,defended,drove,retaining	drove	
47	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	48	When the king and his warriors saw themselves thus deceived, and their city captured, they were like to die of grief;				saw,deceived,captured,were,die	saw,deceived,captured,were,die		
48	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	49	 but they assembled other ships, and invested it so closely as to prevent all communication.				assembled,invested,prevent	assembled,invested,prevent		
49	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	50	The invaders maintained it seven months, and planned day and night how they might convey tidings to their master of their present condition ; 				maintained,planned,convey	maintained,planned,convey		convey
50	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	51	but finding this impossible, they agreed with the besiegers to surrender, securing only their lives.				finding,agreed,surrender,securing	finding,agreed,surrender,securing		
51	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	52	This took place in the year 1269.				took	took		
52	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	53	The great khan, however, ordered one of the commanders of this host to lose his head, and the other to be sent to the isle where he had caused the loss of so many men, and there put to death.		Khan		ordered,lose,be,sent,had,caused	ordered,lose,be,sent,had,caused		
53	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	54	I have to relate also a very wonderful thing, that these two barons took a number of persons in a castle of Zipangu, and because they had refused to surrender, ordered all their heads to be cut off ; 			Zipangu	relate,took,had,refused,surrender,ordered,be,cut	relate,took,had,refused,surrender,ordered,be,cut		relate
54	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	55	but there were eight on whom they could not execute this sentence, because these wore consecrated stones in the arm between the skin and the flesh, which so enchanted them, that they could not die by steel.				were,execute,wore,enchanted,die	were,execute,wore,enchanted,die		
55	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	56	They were therefore beaten to death with clubs, and the stones, being extracted, were held very precious.				were,beaten,being,extracted,were,held	were,beaten,being,extracted,were,held		
56	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	57	But I must leave this matter and go on with the narrative.				leave,go	leave,go	leave,go	
57	3	PART 1	3	Idolatry and Cruelty of the Japanese	58	The idolaters of Cathay, of Manji, and of these isles, have all a uniform worship ; 	Zipangu		Cathay,Manji				
58	3	PART 1	3	Idolatry and Cruelty of the Japanese	59	their idols have heads respectively of the dog, the hog, the sheep, and various other animals, Some have a head and four faces, others three heads, one in the proper place, and one on each shoulder.							
59	3	PART 1	3	Idolatry and Cruelty of the Japanese	60	Certain images have four, ten, and even a thousand hands, and these last are held in peculiar reverence.				held	held		
60	3	PART 1	3	Idolatry and Cruelty of the Japanese	61	"When the Christians ask them why they form idols in so strange a manner, they reply,-""Our ancestors left them to us, and we will leave them to our childrenù."""				left,leave	left,leave	left,leave	
61	3	PART 1	3	Idolatry and Cruelty of the Japanese	62	The actions of these beings are so various and diabolical, that they must not be mentioned in this book, because it would be a wicked thing in Christians to read them.				be,mentioned,be,read	be,mentioned,be,read		mentioned,read
62	3	PART 1	3	Idolatry and Cruelty of the Japanese	63	I shall only mention, that any idolater of these isles, when he captures an enemy, who cannot procure a ransom in money, invites his friends, who cook and eat the prisoner, reckoning his flesh the most delicate food that can be obtained.				mention,procure,reckoning,be,obtained	mention,procure,reckoning,be,obtained		mention
63	3	PART 1	4	Sea of China, and numerous Islands	64	You must know, that the gulf containing this island is called that of Zin, meaning in their language the sea opposite to Manji.	Zin		Zin,Manji	know,containing,called,meaning	know,containing,called,meaning		
64	3	PART 1	4	Sea of China, and numerous Islands	65	According to skilful and intelligent mariners, who have made the voyage, it contains 7448 isles, mostly inhabited.				According,made,inhabited	According,made,inhabited		
65	3	PART 1	4	Sea of China, and numerous Islands	66	In all these there grows no tree which is not agreeably fragrant, and also useful, being equal or superior in size to the lignum aloes.				being	being		
66	3	PART 1	4	Sea of China, and numerous Islands	67	They produce also many and various spices, including pepper white like snow, as well as the black.				including	including		
67	3	PART 1	4	Sea of China, and numerous Islands	68	They yield also much gold, and various other wonderful and costly productions ;							
68	3	PART 1	4	Sea of China, and numerous Islands	69	but they are very distant and difficult to reach.				reach	reach		
69	3	PART 1	4	Sea of China, and numerous Islands	70	The mariners of Zai-tun and Kin-sai, who visit them, gain indeed great profits; 			Zai-tun,Kin-sai	gain	gain		
70	3	PART 1	4	Sea of China, and numerous Islands	71	but they spend a year on the voyage, going in winter, and returning in the summer ; 				going,returning	going,returning	going,returning	
71	3	PART 1	4	Sea of China, and numerous Islands	72	for the wind in these seasons blows only from two different quarters, one of which carries them thither, and the other brings them back.							
72	3	PART 1	4	Sea of China, and numerous Islands	73	But this country is immensely distant from India.			India				
73	3	PART 1	4	Sea of China, and numerous Islands	74	You may observe, too, that though the sea be called Zin, it is really the ocean, just as we say the sea of England, the sea of Rochelle.			Zin,sea of England,sea of Rochelle	observe,be,called	observe,be,called		observe
74	3	PART 1	4	Sea of China, and numerous Islands	75	The great khan has no power over these islands.		Khan					
75	3	PART 1	4	Sea of China, and numerous Islands	76	Now let us return to Zai-tun, and resume our narrative.			Zai-tun	let,return,resume	let,return,resume	return	
76	3	PART 1	5	Of Cianba, and Expedition thither	77	On leaving that port, and sailing west and somewhat south-west 1500 miles, you reach a country named Cianba,which is very rich and extensive.	Cianba		Cianba	leaving,named	leaving,named	leaving	
77	3	PART 1	5	Of Cianba, and Expedition thither	78	The people are idolaters, have a language of their own, and 9 king, who pays tribute to the great khan, but only in fine elephants peculiar to the country.		Khan					
78	3	PART 1	5	Of Cianba, and Expedition thither	79	That monarch, seeking to subdue him, sent, in 1278, one of his barons with many men, horse and foot, who began to lay waste the country.				seeking,subdue,sent,began,lay	seeking,subdue,sent,began,lay		
79	3	PART 1	5	Of Cianba, and Expedition thither	80	The sovereign, who was very aged and much afraid of such powerful warriors, did not venture to engage them on the open plain, remaining secure in strong cities and fortresses ; 				was,did,engage,remaining	was,did,engage,remaining		
80	3	PART 1	5	Of Cianba, and Expedition thither	81	but all the lands and houses were wasted and destroyed.				were,wasted,destroyed	were,wasted,destroyed		
81	3	PART 1	5	Of Cianba, and Expedition thither	82	"Grieved at the desolation of the territory, he sent messengers, who said to the great khan, "" Sir, the King of Cianba salutes you as his liege lord, and states himself to be a man of great age, who has long preserved his kingdom in peace. He offers to be your vassal, and pay a liberal tribute in elephants, and beseeches that your baron and army will cease to ravage his kingdom."""		Khan	Cianba	Grieved,sent,said,be,preserved,be,pay,cease,ravage	Grieved,sent,said,be,preserved,be,pay,cease,ravage		said
82	3	PART 1	5	Of Cianba, and Expedition thither	83	The khan, having heard this message, took pity upon him, and ordered his general to withdraw, and conquer another country ; 		Khan		having,heard,took,ordered,withdraw,conquer	having,heard,took,ordered,withdraw,conquer		
83	3	PART 1	5	Of Cianba, and Expedition thither	84	and he has ever since received this tribute of the largest and most beautiful elephants.				received	received		
84	3	PART 1	5	Of Cianba, and Expedition thither	85	In this kingdom, no handsome girl can be married till the king sees her, when, if pleased, he takes her to wife ; 				be,married	be,married		
85	3	PART 1	5	Of Cianba, and Expedition thither	86	otherwise, he gives her money, with which she can be married to a nobleman.				be,married	be,married		
86	3	PART 1	5	Of Cianba, and Expedition thither	87	In 1285, when I, Marco Polo, was there, the king had 326 sons and daughters, of whom 150 were men that could carry arms.		Marco Polo		was,had,were,carry	was,had,were,carry		
87	3	PART 1	5	Of Cianba, and Expedition thither	88	Besides elephants, the country abounds in lignum aloes, and the wood called ebony,which is very black, used in making chess-boards and writingdesks.				called,used,making	called,used,making		
88	3	PART 1	5	Of Cianba, and Expedition thither	89	I now proceed to a great island named Java.			Java	named	named		
89	3	PART 1	6	The Island of Java	90	Departing from Cianba, and going south and southeast 1500 miles, you come to this island.	Java		Cianba	Departing,going,southeast	Departing,going,southeast	going	
90	3	PART 1	6	The Island of Java	91	Good mariners, who know it intimately, describe it as the largest in the world, with a circuit of more than 3000 miles.							
91	3	PART 1	6	The Island of Java	92	 The people are subject to a powerful king, are idolaters, and pay no tribute to any other prince.				pay	pay		
92	3	PART 1	6	The Island of Java	93	The territory is very rich, yielding pepper, nutmegs, galanga, cubebs, cloves, and all the richest of spices.				yielding	yielding		
93	3	PART 1	6	The Island of Java	94	Many merchants from Zai-tun and Manji come and carry on a great and profitable traffic.			Zai-tun,Manji	come,carry	come,carry	come	
94	3	PART 1	6	The Island of Java	95	Its treasure also is so immense, that it can scarcely be estimated.				be,estimated	be,estimated		
95	3	PART 1	6	The Island of Java	96	On account of the long and difficult navigation, the great khan never could acquire dominion over it.		Khan		acquire	acquire		
96	3	PART 1	7	Kingdom of Lochac	97	Leaving this island, and sailing between south and south-west 700 miles, you find two isles, a large and a small, called Sondur and Condur.	Sondur,Condur,Lochac		Sondur,Condur	Leaving,called	Leaving,called		
97	3	PART 1	7	Kingdom of Lochac	98	Departing thence, and going south-east still 500 miles, you find a very extensive province named Lochac.			Lochac	Departing,going,named	Departing,going,named	going	
98	3	PART 1	7	Kingdom of Lochac	99	The people are subject only to a native king, are idolaters, with languages of their own.							
99	3	PART 1	7	Kingdom of Lochac	100	They are tributary to no power, being so situated that no invader can reach their land ;				being,situated,reach	being,situated,reach		
100	3	PART 1	7	Kingdom of Lochac	101	 otherwise it would soon be subdued by the great khan.		Khan		be,subdued	be,subdued		
101	3	PART 1	7	Kingdom of Lochac	102	Brazilwood is in abundance, and gold in almost incredible quantities.							
102	3	PART 1	7	Kingdom of Lochac	103	There are elephants and other animals for hunting; 							
103	3	PART 1	7	Kingdom of Lochac	104	and from this place is derived all the porcelain that is circulated as money through the provinces now described.				derived,circulated,described	derived,circulated,described		
104	3	PART 1	7	Kingdom of Lochac	105	I have only to add, that the country is difficult to reach; 				add,reach	add,reach		
105	3	PART 1	7	Kingdom of Lochac	106	the king himself does not wish to be visited by strangers, and thus no one knows his treasure and condition.				wish,be,visited	wish,be,visited		
106	3	PART 1	8	Pentam and other Islands	107	When a man goes 500 miles southward from Lochac, he finds an island named Pentam, very wild, all covered with odoriferous woods.	Pentam,Malauir		Lochac,Pentam	named,covered	named,covered		
107	3	PART 1	8	Pentam and other Islands	108	Thence he navigates between these two islands about sixty miles, drawing only four paces of water, so that large vessels in the passage must remove their rudder.				drawing,remove	drawing,remove		
108	3	PART 1	8	Pentam and other Islands	109	He then goes on south-east about thirty miles, and reaches an island also named Pentam, with the noble and rich city Malauir, having much traffic in spices and other articles.			Pentam,Malauir	named,having	named,having		
109	3	PART 1	8	Pentam and other Islands	110	The people have a king and languages of their own.							
110	3	PART 1	9	Island of Little Java (Sumatra)	111	Departing from Pentam, and going 130-miles south-east, you find the island of Java the Lesser; but notwithstanding this title, it is above two thousand miles in circuit, with eight kingdoms, and the same number of crowned sovereigns.	Java the Lesser		Pentam,Java the Lesser	Departing,going,crowned	Departing,going,crowned	going	
111	3	PART 1	9	Island of Little Java (Sumatra)	112	I will tell you the whole truth about it.				tell	tell		tell
112	3	PART 1	9	Island of Little Java (Sumatra)	113	The people are idolaters, and each nation has a language of its own.							
113	3	PART 1	9	Island of Little Java (Sumatra)	114	There is a very great abundance of treasure and costly spices, as well as of lignum aloes and many other woods unknown in our country.							
114	3	PART 1	9	Island of Little Java (Sumatra)	115	What will appear very wonderful is, that this isle lies so far south, that the north star is never seen.				appear,seen	appear,seen		
115	3	PART 1	9	Island of Little Java (Sumatra)	116	Now I will tell you of each kingdom by itself.				tell	tell		tell
116	3	PART 1	10	Kingdom of Ferlech	117	In that of Ferlech are Saracen merchants, who come with their vessels, and have converted the people to the law of Mohammed ; 	Ferlech	Mohammed	Ferlech	converted	converted		
117	3	PART 1	10	Kingdom of Ferlech	118	but only in the city, for those in the mountains live like brutes, eating the flesh of men and of the vilest animals.				eating	eating		
118	3	PART 1	10	Kingdom of Ferlech	119	They worship various objects, particularly the first thing they meet after rising in the morning.				rising	rising	rising	
119	3	PART 1	11	Kingdom of Basman	120	Leaving Ferlech, you enter Basman,a kingdom by itself, whose people have a language of their own, and live without law, like beasts.	Basman		Ferlech,Basman	Leaving,live	Leaving,live		
120	3	PART 1	11	Kingdom of Basman	121	They own the supremacy of the khan, but pay him no tribute, because the great distance prevents his troops from reaching them; 		Khan		pay,reaching	pay,reaching		
121	3	PART 1	11	Kingdom of Basman	122	yet they sometimes make him a present of strange objects.							
122	3	PART 1	11	Kingdom of Basman	123	Here are wild elephants, and unicorns not much smaller, being double the size of a buffalo.				being	being		
123	3	PART 1	11	Kingdom of Basman	124	They have a large black horn in the middle of the forehead, and beneath the tongue sharp prickles, which can inflict severe wounds.				inflict	inflict		
124	3	PART 1	11	Kingdom of Basman	125	 Their heads resemble that of the wild boar, yet they carry them bent to the earth.							
125	3	PART 1	11	Kingdom of Basman	126	They are very ugly, and fond of wallowing among mire.				wallowing	wallowing		
126	3	PART 1	11	Kingdom of Basman	127	It is not true, as asserted among us, that they allow themselves to be taken by a virgin, but quite the contrary.				asserted,be,taken	asserted,be,taken		
127	3	PART 1	11	Kingdom of Basman	128	There are here good and serviceable falcons, black like crows ; also a prodigious number of monkeys of various forms and habits.							
128	3	PART 1	11	Kingdom of Basman	129	But you must know that those who bring the little men from India practise a great deception.			India	know,practise	know,practise		
129	3	PART 1	11	Kingdom of Basman	130	I assure you the figures to which they give that name are manufactured in this island in the following manner :-There is a species of small monkey, with a face resembling the human, which they catch, skin, and shave off all the hair except on the beard and chin; having then moulded them into a human semblance, they dry and preserve them with camphor and other articles.				manufactured,following,resembling,shave,having,moulded	manufactured,following,resembling,shave,having,moulded		
130	3	PART 1	11	Kingdom of Basman	131	But it is a gross deception ; 							
131	3	PART 1	11	Kingdom of Basman	132	for neither in India, nor in any other country, however savage, are there men so small as these pretended ones.			India				
132	3	PART 1	11	Kingdom of Basman	133	Now let us tell of a kingdom called Samara.			Samara	let,tell,called	let,tell,called		tell
133	3	PART 1	12	Kingdom of Samara	134	When a man departs from Basman, he finds the kingdom of Samara, in which I myself, Marco Polo, remained five months, because the bad weather did not allow us to sail. 	Samara	Marco Polo	Basman,Samara	remained,did,allow,sail	remained,did,allow,sail	sail	
134	3	PART 1	12	Kingdom of Samara	135	Here neither the north star nor the constellation of the Greater Bear appeared.				appeared	appeared		
135	3	PART 1	12	Kingdom of Samara	136	The people are savage idolaters, governed by a rich and powerful king, and owning a nominal submission to the great khan.		Khan		governed,owning	governed,owning		
136	3	PART 1	12	Kingdom of Samara	137	During our stay, we landed and erected castles of wood and twigs, where we remained through the fear of these wicked men, who eat their fellow-creatures.				landed,erected,remained	landed,erected,remained		
137	3	PART 1	12	Kingdom of Samara	138	The best fishes in the world are found here.				found	found		
138	3	PART 1	12	Kingdom of Samara	139	The people have no wheat, living on rice ; 				living	living		
139	3	PART 1	12	Kingdom of Samara	140	and they make no wine.							
140	3	PART 1	12	Kingdom of Samara	141	You must know there is a kind of tree, of which they cut a branch, and place a pot beneath, when, during the night, the vessel is filled, and very good wine is thus produced, both red and white.				know,cut,filled,produced	know,cut,filled,produced		
141	3	PART 1	12	Kingdom of Samara	142	The tree resembles a small date-palm, with four branches, and when it ceases to give out more wine, they water its root, which causes it to produce again.				give,produce	give,produce		
142	3	PART 1	12	Kingdom of Samara	143	They have great quantities of very large Indian nuts, and eat all kinds of flesh, good and bad.				eat	eat		
143	3	PART 1	12	Kingdom of Samara	144	Now let us tell you of a kingdom which is named Dagroian.			Dagroian	let,tell,named	let,tell,named		tell
144	3	PART 1	13	Kingdom of Dagroian	145	This kingdom has a language of its own; the people are very savage, subject to a king, but owning the supremacy of the great khan.	Dagroian	Khan		owning	owning		
145	3	PART 1	13	Kingdom of Dagroian	146	They are savage idolaters, and have the following very bad custom :-When a man falls sick, his relations send for the magicians, and inquire if he will recover, as these deceivers profess to know, by their enchantments and idols, whether he will live or die.				following,inquire,recover,know,live,die	following,inquire,recover,know,live,die		
146	3	PART 1	13	Kingdom of Dagroian	147	In the latter case, the friends send for persons who place something over his mouth, by which he is suffocated.				suffocated	suffocated		
147	3	PART 1	13	Kingdom of Dagroian	148	They then cook the body, and all the kinsmen come and eat his flesh, taking care not to leave the smallest portion; 				taking,leave	taking,leave	leave	
148	3	PART 1	13	Kingdom of Dagroian	149	which they believe would breed worms, and thus seriously afflict the soul of the deceased.				breed,afflict,deceased	breed,afflict,deceased		
149	3	PART 1	13	Kingdom of Dagroian	150	They next collect the bones, and place them in a large and beautiful chest, which they carry to caverns in the mountains, beyond the reach of wild beasts or any other injury.							
150	3	PART 1	13	Kingdom of Dagroian	151	When they take any man belonging to another country, who cannot redeem himself, they kill and eat him in like manner.				belonging,redeem	belonging,redeem		
151	3	PART 1	13	Kingdom of Dagroian	152	This is a very bad practice.							
152	3	PART 1	13	Kingdom of Dagroian	153	I must now, however, tell you something of Lambri.			Lambri				
153	3	PART 1	14	Kingdom of Lambri	154	Lambri is a kingdom having a sovereign of its own, who owns the supremacy of the khan.	Lambri	Khan	Lambri	having	having		
154	3	PART 1	14	Kingdom of Lambri	155	The people are all idolaters ; 							
155	3	PART 1	14	Kingdom of Lambri	156	they have a great abundance of camphor and other spices ; likewise brazil-wood.							
156	3	PART 1	14	Kingdom of Lambri	157	This they sow, and when it has grown to a little twig, they transplant it to another place, and at the end of three years root it up.				grown	grown		
157	3	PART 1	14	Kingdom of Lambri	158	We brought some of this seed to Venice, but it did not spring at all on account of the cold.			Venice	brought,did	brought,did		
158	3	PART 1	14	Kingdom of Lambri	159	I will tell you another very wonderful thing ; 				tell	tell		tell
159	3	PART 1	14	Kingdom of Lambri	160	for there are men in this kingdom who have tails like dogs, larger than a palm, and who are covered with hair.				covered	covered		
160	3	PART 1	14	Kingdom of Lambri	161	They remain in the mountains, never visiting the towns.				visiting	visiting		
161	3	PART 1	14	Kingdom of Lambri	162	There are unicorns, with various beasts and birds for hunting.							
162	3	PART 1	14	Kingdom of Lambri	163	Now let us depart and tell you of Fansur.			Fansur	let,depart,tell	let,depart,tell	depart	tell
163	3	PART 1	15	Kingdom of Fansur	164	The people of Fansur are idolaters, have a king, and nominally acknowledge the great khan.	Fansur, Gavenispola	Khan	Fansur				
164	3	PART 1	15	Kingdom of Fansur	165	Here grows the best canfara fansuri, which is much more valued than any other ; 				valued	valued		
165	3	PART 1	15	Kingdom of Fansur	166	indeed it sells for its weight in gold.							
166	3	PART 1	15	Kingdom of Fansur	167	Wine is drawn from trees, in the manner described above : another wonder is, that, in this province, meal is obtained from them.				drawn,described,obtained	drawn,described,obtained		
167	3	PART 1	15	Kingdom of Fansur	168	These are large, the bark thin, and the interior all full of meal.							
168	3	PART 1	15	Kingdom of Fansur	169	The inhabitants take it out, and make a very good paste, of which we often ate.				make,ate	make,ate		
169	3	PART 1	15	Kingdom of Fansur	170	Having told you of the kingdoms in this part of the isle, I will say nothing of the two others, because we did not visit them.				Having,told,say,did,visit	Having,told,say,did,visit		told,say
170	3	PART 1	15	Kingdom of Fansur	171	I will now, therefore, go to another small island called Gavenispola.			Gavenispola	go,called	go,called	go	
171	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	172	Departing from Java and the kingdom of Lambri, and travelling northward about 150 miles, you find two islands, one of which is called Necuveran.	Necuveran,Angaman		Java,Lambri,Necuveran	Departing,travelling,called	Departing,travelling,called		
172	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	173	t The people have no king, and live like brutes, both men and women going quite naked.				live,going	live,going	going	
173	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	174	They are idolaters, and have forests of noble and valuable trees ; among which are sandal-wood, the Indian nut, clove, brazil, and many others.							
