chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	Travel Verb Phrases	Travel Noun Phrases	Travel Phrases	Travelled Location
3	PART 1	5	Of Cianba, and Expedition thither	81	but all the lands and houses were wasted and destroyed.				were,wasted,destroyed	were,wasted,destroyed	were wasted and destroyed,wasted and destroyed			
3	PART 1	5	Of Cianba, and Expedition thither	82	"Grieved at the desolation of the territory, he sent messengers, who said to the great khan, "" Sir, the King of Cianba salutes you as his liege lord, and states himself to be a man of great age, who has long preserved his kingdom in peace. He offers to be your vassal, and pay a liberal tribute in elephants, and beseeches that your baron and army will cease to ravage his kingdom."""		Khan	Cianba	Grieved,sent,said,be,preserved,be,pay,cease,ravage	Grieved,sent,said,be,preserved,be,pay,cease,ravage	Grieved at the desolation of the territory,sent messengers , who said to the great khan , '' Sir , the King of Cianba salutes you as his liege lord , and states himself to be a man of great age , who has long preserved his kingdom in peace,said to the great khan , '' Sir , the King of Cianba salutes you as his liege lord , and states himself to be a man of great age , who has long preserved his kingdom in peace,be a man of great age,preserved his kingdom in peace,be a man of great age	the desolation of the territory,messengers , who said to the great khan , '' Sir , the King of Cianba salutes you as his liege lord , and states himself to be a man of great age , who has long preserved his kingdom in peace,the great khan,a man of great age,his kingdom in peace,a man of great age	 the King of Cianba salutes you as his liege lord 	Cianba
3	PART 1	5	Of Cianba, and Expedition thither	83	The khan, having heard this message, took pity upon him, and ordered his general to withdraw, and conquer another country ; 		Khan		having,heard,took,ordered,withdraw,conquer	having,heard,took,ordered,withdraw,conquer	having heard this message,heard this message,took pity upon him , and ordered his general to withdraw , and conquer another country,ordered his general to withdraw , and conquer another country,withdraw , and conquer another country,conquer another country	this message,pity,his general,another country		
3	PART 1	5	Of Cianba, and Expedition thither	84	and he has ever since received this tribute of the largest and most beautiful elephants.				received	received	received this tribute of the largest and most beautiful elephants	this tribute of the largest and most beautiful elephants		
3	PART 1	5	Of Cianba, and Expedition thither	85	In this kingdom, no handsome girl can be married till the king sees her, when, if pleased, he takes her to wife ; 				be,married	be,married	be married till the king sees her , when , if pleased , he takes her to wife,married till the king sees her , when , if pleased , he takes her to wife			
3	PART 1	5	Of Cianba, and Expedition thither	86	otherwise, he gives her money, with which she can be married to a nobleman.				be,married	be,married	be married to a nobleman,married to a nobleman	a nobleman		
3	PART 1	5	Of Cianba, and Expedition thither	87	In 1285, when I, Marco Polo, was there, the king had 326 sons and daughters, of whom 150 were men that could carry arms.		Marco Polo		was,had,were,carry	was,had,were,carry	was there,had 326 sons and daughters , of whom 150 were men that could carry arms,were men that could carry arms,carry arms	there,326,men that could carry arms,arms		
3	PART 1	5	Of Cianba, and Expedition thither	88	Besides elephants, the country abounds in lignum aloes, and the wood called ebony,which is very black, used in making chess-boards and writingdesks.				called,used,making	called,used,making	called ebony,used in making chess-boards and writingdesks,making chess-boards and writingdesks	ebony,chess-boards and writingdesks		
3	PART 1	5	Of Cianba, and Expedition thither	89	I now proceed to a great island named Java.			Java	named	named	named Java	Java	Java	Java
3	PART 1	6	The Island of Java	90	Departing from Cianba, and going south and southeast 1500 miles, you come to this island.	Java		Cianba	Departing,going,southeast	Departing,going,southeast	Departing from Cianba , and going south and southeast 1500 miles,going south,southeast 1500 miles	Cianba,1500 miles	Cianba	Cianba
3	PART 1	6	The Island of Java	91	Good mariners, who know it intimately, describe it as the largest in the world, with a circuit of more than 3000 miles.									
3	PART 1	6	The Island of Java	92	 The people are subject to a powerful king, are idolaters, and pay no tribute to any other prince.				pay	pay	pay no tribute to any other prince	no tribute to any other prince		
3	PART 1	6	The Island of Java	93	The territory is very rich, yielding pepper, nutmegs, galanga, cubebs, cloves, and all the richest of spices.				yielding	yielding	yielding pepper , nutmegs , galanga , cubebs , cloves	pepper , nutmegs , galanga , cubebs , cloves		
3	PART 1	6	The Island of Java	94	Many merchants from Zai-tun and Manji come and carry on a great and profitable traffic.			Zai-tun,Manji	come,carry	come,carry	come and carry on a great and profitable traffic,carry on a great and profitable traffic			
3	PART 1	6	The Island of Java	95	Its treasure also is so immense, that it can scarcely be estimated.				be,estimated	be,estimated	be estimated,estimated			
3	PART 1	6	The Island of Java	96	On account of the long and difficult navigation, the great khan never could acquire dominion over it.		Khan		acquire	acquire	acquire dominion over it	dominion		
3	PART 1	7	Kingdom of Lochac	97	Leaving this island, and sailing between south and south-west 700 miles, you find two isles, a large and a small, called Sondur and Condur.	Sondur,Condur,Lochac		Sondur,Condur	Leaving,called	Leaving,called	Leaving this island , and sailing between south and south-west 700 miles,called Sondur and Condur	this island , and sailing between south and south-west,Sondur and Condur	Sondur and Condur	Sondur ,Condur
3	PART 1	7	Kingdom of Lochac	98	Departing thence, and going south-east still 500 miles, you find a very extensive province named Lochac.			Lochac	Departing,going,named	Departing,going,named	Departing thence , and going south-east still 500 miles,going south-east still 500 miles,named Lochac	south-east,Lochac	Lochac	Lochac
3	PART 1	7	Kingdom of Lochac	99	The people are subject only to a native king, are idolaters, with languages of their own.									
3	PART 1	7	Kingdom of Lochac	100	They are tributary to no power, being so situated that no invader can reach their land ;				being,situated,reach	being,situated,reach	being so situated that no invader can reach their land,reach their land	their land		
3	PART 1	7	Kingdom of Lochac	101	 otherwise it would soon be subdued by the great khan.		Khan		be,subdued	be,subdued	be subdued by the great khan,subdued by the great khan	the great khan		
3	PART 1	7	Kingdom of Lochac	102	Brazilwood is in abundance, and gold in almost incredible quantities.									
3	PART 1	7	Kingdom of Lochac	103	There are elephants and other animals for hunting; 									
3	PART 1	7	Kingdom of Lochac	104	and from this place is derived all the porcelain that is circulated as money through the provinces now described.				derived,circulated,described	derived,circulated,described	derived,circulated as money through the provinces now described	money		
3	PART 1	7	Kingdom of Lochac	105	I have only to add, that the country is difficult to reach; 				add,reach	add,reach	add , that the country is difficult to reach,reach	reach		
3	PART 1	7	Kingdom of Lochac	106	the king himself does not wish to be visited by strangers, and thus no one knows his treasure and condition.				wish,be,visited	wish,be,visited	wish to be visited by strangers , and thus no one,be visited by strangers , and thus no one,visited by strangers , and thus no one	strangers , and thus no one		
3	PART 1	8	Pentam and other Islands	107	When a man goes 500 miles southward from Lochac, he finds an island named Pentam, very wild, all covered with odoriferous woods.	Pentam,Malauir		Lochac,Pentam	named,covered	named,covered	named Pentam , very wild , all covered with odoriferous woods,covered with odoriferous woods	Pentam , very wild , all covered with odoriferous woods,odoriferous woods	Pentam 	Pentam
