chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	Travel Verb Phrases	Travel Noun Phrases
3	PART 1	1	India and the Ships navigating thither	16	Every one of them has two barks,  large enough to carry a thousand loads, and forty seamen  well armed, who often assist in dragging the large ships.				carry,armed,dragging	carry,armed,dragging	carry a thousand loads,dragging the large ships	a thousand loads,the large ships
3	PART 1	1	India and the Ships navigating thither	17	Ten small boats are also kept for fishing and various other services ; 				kept	kept	kept for fishing and various other services	fishing and various other services
3	PART 1	1	India and the Ships navigating thither	18	two being attached to each bark.				being,attached	being,attached	being attached to each bark,attached to each bark	each bark
3	PART 1	1	India and the Ships navigating thither	19	When the ships have sailed a year, and stand in need of repair, a fresh plank is fastened above the two others, then nailed and cemented, till they sometimes acquire a depth of six planks.				sailed,stand,fastened,nailed,cemented,acquire	sailed,stand,fastened,nailed,cemented,acquire	sailed a year,stand in need of repair,fastened above the two others,nailed and cemented , till they sometimes acquire a depth of six planks,acquire a depth of six planks	need of repair,the two others,a depth of six planks
3	PART 1	1	India and the Ships navigating thither	20	Having thus described the merchant-vessels that go to India, I will tell you of the country itself ; 			India	Having,described,tell	Having,described,tell	Having thus described the merchant-vessels that go to India,described the merchant-vessels that go to India,tell you of the country itself	the merchant-vessels that go to India,you
3	PART 1	1	India and the Ships navigating thither	21	but first I must mention the many isles in this sea lying to the eastward ; 				mention,lying	mention,lying	mention the many isles in this sea lying to the eastward,lying to the eastward	the many isles in this sea lying to the eastward,the
3	PART 1	1	India and the Ships navigating thither	22	and first, of one named Zipangu.			Zipangu	named	named	named Zipangu	Zipangu
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	23	This is a very large island, fifteen hundred miles from the continent.	Zipangu						
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	24	The people are fair, handsome, and of agreeable manners.							
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	25	They are idolaters, and live quite separate, entirely independent of all other nations.				live	live	live quite separate , entirely independent of all other nations	quite separate , entirely independent of all other nations
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	26	Gold is very abundant, and no man being allowed to export it, while no merchant goes thence to the mainland, the people accumulate a vast amount.				being,allowed,export	being,allowed,export	being allowed to export it , while no merchant goes thence to the mainland , the people,allowed to export it , while no merchant goes thence to the mainland , the people,export it	the mainland , the people,it
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	27	But I will give you a wonderful account of a very large palace, all covered with that metal, as our churches are with lead.				give,covered	give,covered	give you a wonderful account of a very large palace , all covered with that metal , as our churches are with lead,covered with that metal , as our churches are with lead	you,lead
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	28	The pavement of the chamber, the halls, windows, and every other part, have it laid on two inches thick,so that the riches of this palace are incalculable.				laid	laid	laid on two inches thick , so that the riches of this palace are incalculable	two inches thick
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	29	Here are also red pearls, large, and of equal value with the white, with many other precious stones.							
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	30	Kublai, on hearing of this amazing wealth, desired to conquer the island, and sent two of his barons with a very large fleet containing warriors, both horsemen and on foot.		Kublai		desired,conquer,sent,containing	desired,conquer,sent,containing	desired to conquer the island , and sent two of his barons with a very large fleet containing warriors , both horsemen and on foot,conquer the island,sent two of his barons with a very large fleet containing warriors , both horsemen and on foot,containing warriors , both horsemen	the island,two of his barons,warriors , both horsemen
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	31	One was named Abatan, the other Vonsanicin, both wise and valiant.		Abatan,Vonsanicin		was,named	was,named	was named Abatan , the other Vonsanicin , both wise and valiant,named Abatan , the other Vonsanicin , both wise and valiant	Abatan , the other Vonsanicin , both wise and valiant
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	32	They sailed from Zai-tun and Kin-sai, reached the isle, landed, and took possession of the plain and of a number of houses ; 			Zai-tun,Kin-sai	sailed,reached,landed,took	sailed,reached,landed,took	sailed from Zai-tun and Kin-sai , reached the isle , landed , and took possession of the plain and of a number of houses,reached the isle,landed,took possession of the plain and of a number of houses	Zai-tun and Kin-sai,the isle,possession of the plain and of a number of houses
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	33	but they had been unable to take any city or castle, when a sad misadventure occurred.				had,been,take,occurred	had,been,take,occurred	had been unable to take any city or castle , when a sad misadventure occurred,been unable to take any city or castle , when a sad misadventure occurred,take any city or castle , when a sad misadventure occurred,occurred	any city or castle , when a sad misadventure occurred
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	34	A mutual jealousy arose amongst them, which prevented their acting in any concert.				arose,prevented	arose,prevented	arose amongst them , which prevented their acting in any concert,prevented their acting in any concert	them , which prevented,their acting in any concert
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	35	One day when the north wind blew very strong, the troops expressed to each other apprehensions, that if they remained, all the vessels would be wrecked.				blew,expressed,remained,be,wrecked	blew,expressed,remained,be,wrecked	blew very strong,expressed to each other apprehensions , that if they remained , all the vessels would be wrecked,remained,be wrecked,wrecked	each other apprehensions
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	36	The whole then went on board and set sail.				went,set	went,set	went on board and set sail	board and set sail
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	37	When they had proceeded about four miles, they found another small isle, on which, the storm being violent, a number sought refuge.				had,proceeded,found,being,sought	had,proceeded,found,being,sought	had proceeded about four miles,proceeded about four miles,found another small isle , on which , the storm being violent , a number sought refuge,being violent,sought refuge	four,another small isle , on which , the storm being violent , a number sought refuge,refuge
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	38	Others could not reach it, many of whom suffered shipwreck and perished ; 				reach,suffered,perished	reach,suffered,perished	reach it , many of whom suffered shipwreck and perished,suffered shipwreck and perished,perished	it , many of whom suffered shipwreck and perished,shipwreck
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	39	but some were preserved and sailed for their native country.				were,preserved,sailed	were,preserved,sailed	were preserved and sailed for their native country,preserved and sailed for their native country	
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	40	Those who had landed, 30,000 in number, looked on themselves as dead men, seeing no means of ever escaping ; 				had,landed,looked,seeing,escaping	had,landed,looked,seeing,escaping	had landed , 30,000 in number ,,landed , 30,000 in number ,,looked on themselves as dead men , seeing no means of ever escaping,seeing no means of ever escaping,escaping	themselves,no means of ever escaping
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	41	and their anger and grief were increased, when they beheld the other ships making their way homeward.				were,increased,beheld,making	were,increased,beheld,making	were increased , when they beheld the other ships making their way homeward,increased , when they beheld the other ships making their way homeward,beheld the other ships making their way homeward,making their way homeward	the other ships making their way homeward,their way
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	42	The sovereign and people of the large isle rejoiced greatly when they saw the host thus scattered and many of them cast upon the islet.				rejoiced,saw,scattered,cast	rejoiced,saw,scattered,cast	rejoiced greatly when they saw the host thus scattered and many of them cast upon the islet,saw the host thus scattered,cast upon the islet	the host thus scattered,the islet
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	43	As soon as the sea calmed, they assembled a great number of ships, sailed thither and landed, hoping to capture all those refugees.				calmed,assembled,sailed,landed,hoping,capture	calmed,assembled,sailed,landed,hoping,capture	calmed,assembled a great number of ships , sailed thither and landed , hoping to capture all those refugees,sailed thither and landed,landed,hoping to capture all those refugees,capture all those refugees	a great number of ships , sailed thither and landed , hoping to capture all those refugees,all those refugees
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	44	But when the latter saw that their enemies had disembarked, leaving the vessels unguarded, they skilfully retreated to another quarter, and continued moving about till they reached the ships, and went on board without any opposition.				had,disembarked,leaving,retreated,continued,moving,reached,went	had,disembarked,leaving,retreated,continued,moving,reached,went	had disembarked , leaving the vessels unguarded,disembarked , leaving the vessels unguarded,leaving the vessels unguarded,continued moving about till they reached the ships , and went on board without any opposition,moving about till they reached the ships , and went on board without any opposition,reached the ships , and went on board without any opposition,went on board without any opposition	the vessels,the ships,board
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	45	They then sailed direct for the principal island, hoisting its own standards and ensigns.				sailed,hoisting	sailed,hoisting	sailed direct for the principal island , hoisting its own standards and ensigns,hoisting its own standards and ensigns	its own standards and ensigns
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	46	On seeing these, the people believed their own countrymen had returned, and allowed them to enter the city.				seeing,believed,had,returned,allowed,enter	seeing,believed,had,returned,allowed,enter	seeing these,believed their own countrymen had returned , and allowed them to enter the city,had returned,returned,allowed them to enter the city,enter the city	these,their own countrymen,them,the city
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	47	The Tartars, finding it defended only by old men, soon drove them out, retaining the women as slaves.				finding,defended,drove,retaining	finding,defended,drove,retaining	finding it defended only by old men,defended only by old men,retaining the women as slaves	it,the women
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	48	When the king and his warriors saw themselves thus deceived, and their city captured, they were like to die of grief;				saw,deceived,captured,were,die	saw,deceived,captured,were,die	saw themselves thus deceived , and their city captured,deceived,captured,were like to die of grief,die of grief	grief
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	49	 but they assembled other ships, and invested it so closely as to prevent all communication.				assembled,invested,prevent	assembled,invested,prevent	assembled other ships , and invested it so closely as to prevent all communication,invested it so closely as to prevent all communication,prevent all communication	other ships,it,all communication
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	50	The invaders maintained it seven months, and planned day and night how they might convey tidings to their master of their present condition ; 				maintained,planned,convey	maintained,planned,convey	maintained it seven months , and planned day and night how they might convey tidings to their master of their present condition,planned day and night how they might convey tidings to their master of their present condition,convey tidings to their master of their present condition	it,tidings
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	51	but finding this impossible, they agreed with the besiegers to surrender, securing only their lives.				finding,agreed,surrender,securing	finding,agreed,surrender,securing	finding this impossible,agreed with the besiegers to surrender , securing only their lives,surrender , securing only their lives,securing only their lives	this,the besiegers
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	52	This took place in the year 1269.				took	took	took place in the year 1269	place
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	53	The great khan, however, ordered one of the commanders of this host to lose his head, and the other to be sent to the isle where he had caused the loss of so many men, and there put to death.		Khan		ordered,lose,be,sent,had,caused	ordered,lose,be,sent,had,caused	ordered one of the commanders of this host to lose his head , and the other to be sent to the isle where he had caused the loss of so many men,lose his head , and the other to be sent to the isle where he had caused the loss of so many men,be sent to the isle where he had caused the loss of so many men,sent to the isle where he had caused the loss of so many men,had caused the loss of so many men,caused the loss of so many men	one of the commanders of this host to lose his head , and the other,his head , and the other,the isle,the loss of so many men,the loss of so many men
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	54	I have to relate also a very wonderful thing, that these two barons took a number of persons in a castle of Zipangu, and because they had refused to surrender, ordered all their heads to be cut off ; 			Zipangu	relate,took,had,refused,surrender,ordered,be,cut	relate,took,had,refused,surrender,ordered,be,cut	relate also a very wonderful thing , that these two barons took a number of persons in a castle of Zipangu , and because they had refused to surrender,took a number of persons in a castle of Zipangu,had refused to surrender,refused to surrender,surrender,ordered all their heads to be cut off,be cut off,cut off	a number of persons in a castle of Zipangu,surrender,all their heads
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	55	but there were eight on whom they could not execute this sentence, because these wore consecrated stones in the arm between the skin and the flesh, which so enchanted them, that they could not die by steel.				were,execute,wore,enchanted,die	were,execute,wore,enchanted,die	were eight on whom they could not execute this sentence , because these wore consecrated stones in the arm between the skin and the flesh , which so enchanted them , that they could not die by steel,execute this sentence,wore consecrated stones in the arm between the skin and the flesh , which so enchanted them , that they could not die by steel,enchanted them , that they could not die by steel,die by steel	eight on whom they could not execute this sentence , because these wore consecrated stones in the arm between the skin and the flesh , which so enchanted them , that they could not die by steel,this sentence,consecrated stones in the arm between the skin and the flesh , which so enchanted them , that they could not die by steel,them , that they could not die by steel,steel
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	56	They were therefore beaten to death with clubs, and the stones, being extracted, were held very precious.				were,beaten,being,extracted,were,held	were,beaten,being,extracted,were,held	were therefore beaten to death with clubs,were held very precious,beaten to death with clubs,being extracted,extracted,were therefore beaten to death with clubs,were held very precious,held very precious	death,very precious
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	57	But I must leave this matter and go on with the narrative.				leave,go	leave,go	leave this matter and go on with the narrative,go on with the narrative	this matter
3	PART 1	3	Idolatry and Cruelty of the Japanese	58	The idolaters of Cathay, of Manji, and of these isles, have all a uniform worship ; 	Zipangu		Cathay,Manji				
3	PART 1	3	Idolatry and Cruelty of the Japanese	59	their idols have heads respectively of the dog, the hog, the sheep, and various other animals, Some have a head and four faces, others three heads, one in the proper place, and one on each shoulder.							
3	PART 1	3	Idolatry and Cruelty of the Japanese	60	Certain images have four, ten, and even a thousand hands, and these last are held in peculiar reverence.				held	held	held in peculiar reverence	peculiar reverence
3	PART 1	3	Idolatry and Cruelty of the Japanese	61	"When the Christians ask them why they form idols in so strange a manner, they reply,-""Our ancestors left them to us, and we will leave them to our childrenù."""				left,leave	left,leave	left them to us,leave them to our children	them,them
3	PART 1	3	Idolatry and Cruelty of the Japanese	62	The actions of these beings are so various and diabolical, that they must not be mentioned in this book, because it would be a wicked thing in Christians to read them.				be,mentioned,be,read	be,mentioned,be,read	be mentioned in this book,be a wicked thing in Christians to read them,mentioned in this book,be mentioned in this book,be a wicked thing in Christians to read them,read them	a wicked thing in Christians to read them,this book,a wicked thing in Christians to read them,them
3	PART 1	3	Idolatry and Cruelty of the Japanese	63	I shall only mention, that any idolater of these isles, when he captures an enemy, who cannot procure a ransom in money, invites his friends, who cook and eat the prisoner, reckoning his flesh the most delicate food that can be obtained.				mention,procure,reckoning,be,obtained	mention,procure,reckoning,be,obtained	procure a ransom in money,reckoning his flesh the most delicate food that can be obtained,be obtained,obtained	a ransom,his flesh
3	PART 1	4	Sea of China, and numerous Islands	64	You must know, that the gulf containing this island is called that of Zin, meaning in their language the sea opposite to Manji.	Zin		Zin,Manji	know,containing,called,meaning	know,containing,called,meaning	know , that the gulf containing this island is called that of Zin , meaning in their language the sea opposite to Manji,containing this island,called that of Zin , meaning in their language the sea opposite to Manji,meaning in their language the sea opposite to Manji	this island,that of Zin,their language
3	PART 1	4	Sea of China, and numerous Islands	65	According to skilful and intelligent mariners, who have made the voyage, it contains 7448 isles, mostly inhabited.				According,made,inhabited	According,made,inhabited	made the voyage	the voyage
3	PART 1	4	Sea of China, and numerous Islands	66	In all these there grows no tree which is not agreeably fragrant, and also useful, being equal or superior in size to the lignum aloes.				being	being	being equal or superior in size to the lignum aloes	
3	PART 1	4	Sea of China, and numerous Islands	67	They produce also many and various spices, including pepper white like snow, as well as the black.				including	including		
3	PART 1	4	Sea of China, and numerous Islands	68	They yield also much gold, and various other wonderful and costly productions ;							
3	PART 1	4	Sea of China, and numerous Islands	69	but they are very distant and difficult to reach.				reach	reach	reach	reach
3	PART 1	4	Sea of China, and numerous Islands	70	The mariners of Zai-tun and Kin-sai, who visit them, gain indeed great profits; 			Zai-tun,Kin-sai	gain	gain	gain indeed great profits	
3	PART 1	4	Sea of China, and numerous Islands	71	but they spend a year on the voyage, going in winter, and returning in the summer ; 				going,returning	going,returning	going in winter , and returning in the summer,returning in the summer	the summer,the summer
3	PART 1	4	Sea of China, and numerous Islands	72	for the wind in these seasons blows only from two different quarters, one of which carries them thither, and the other brings them back.							
3	PART 1	4	Sea of China, and numerous Islands	73	But this country is immensely distant from India.			India				
3	PART 1	4	Sea of China, and numerous Islands	74	You may observe, too, that though the sea be called Zin, it is really the ocean, just as we say the sea of England, the sea of Rochelle.			Zin,sea of England,sea of Rochelle	observe,be,called	observe,be,called	observe , too , that though the sea be called Zin , it is really the ocean , just as we say the sea of England , the sea of Rochelle,be called Zin,called Zin	Zin
3	PART 1	4	Sea of China, and numerous Islands	75	The great khan has no power over these islands.		Khan					
3	PART 1	4	Sea of China, and numerous Islands	76	Now let us return to Zai-tun, and resume our narrative.			Zai-tun	let,return,resume	let,return,resume	let us return to Zai-tun , and resume our narrative,return to Zai-tun , and resume our narrative,resume our narrative	us,Zai-tun,our narrative
3	PART 1	5	Of Cianba, and Expedition thither	77	On leaving that port, and sailing west and somewhat south-west 1500 miles, you reach a country named Cianba,which is very rich and extensive.	Cianba		Cianba	leaving,named	leaving,named	leaving that port , and sailing west and somewhat south-west 1500 miles,named Cianba , which is very rich and extensive	that port , and sailing west and somewhat south-west 1500 miles,Cianba , which is very rich
3	PART 1	5	Of Cianba, and Expedition thither	78	The people are idolaters, have a language of their own, and 9 king, who pays tribute to the great khan, but only in fine elephants peculiar to the country.		Khan					
3	PART 1	5	Of Cianba, and Expedition thither	79	That monarch, seeking to subdue him, sent, in 1278, one of his barons with many men, horse and foot, who began to lay waste the country.				seeking,subdue,sent,began,lay	seeking,subdue,sent,began,lay	seeking to subdue him,subdue him,sent , in 1278 , one of his barons with many men , horse and foot , who began to lay waste the country,began to lay waste the country,lay waste the country	him
3	PART 1	5	Of Cianba, and Expedition thither	80	The sovereign, who was very aged and much afraid of such powerful warriors, did not venture to engage them on the open plain, remaining secure in strong cities and fortresses ; 				was,did,engage,remaining	was,did,engage,remaining	was very aged and much afraid of such powerful warriors,did not venture to engage them on the open plain , remaining secure in strong cities and fortresses ;,engage them,remaining secure in strong cities and fortresses ;	not venture to engage them on the open plain , remaining secure in strong cities and fortresses ;,them
3	PART 1	5	Of Cianba, and Expedition thither	81	but all the lands and houses were wasted and destroyed.				were,wasted,destroyed	were,wasted,destroyed	were wasted and destroyed,wasted and destroyed	
3	PART 1	5	Of Cianba, and Expedition thither	82	"Grieved at the desolation of the territory, he sent messengers, who said to the great khan, "" Sir, the King of Cianba salutes you as his liege lord, and states himself to be a man of great age, who has long preserved his kingdom in peace. He offers to be your vassal, and pay a liberal tribute in elephants, and beseeches that your baron and army will cease to ravage his kingdom."""		Khan	Cianba	Grieved,sent,said,be,preserved,be,pay,cease,ravage	Grieved,sent,said,be,preserved,be,pay,cease,ravage	Grieved at the desolation of the territory,sent messengers , who said to the great khan , '' Sir , the King of Cianba salutes you as his liege lord , and states himself to be a man of great age , who has long preserved his kingdom in peace,said to the great khan , '' Sir , the King of Cianba salutes you as his liege lord , and states himself to be a man of great age , who has long preserved his kingdom in peace,be a man of great age,preserved his kingdom in peace,be a man of great age	the desolation of the territory,messengers , who said to the great khan , '' Sir , the King of Cianba salutes you as his liege lord , and states himself to be a man of great age , who has long preserved his kingdom in peace,the great khan,a man of great age,his kingdom in peace,a man of great age
3	PART 1	5	Of Cianba, and Expedition thither	83	The khan, having heard this message, took pity upon him, and ordered his general to withdraw, and conquer another country ; 		Khan		having,heard,took,ordered,withdraw,conquer	having,heard,took,ordered,withdraw,conquer	having heard this message,heard this message,took pity upon him , and ordered his general to withdraw , and conquer another country,ordered his general to withdraw , and conquer another country,withdraw , and conquer another country,conquer another country	this message,pity,his general,another country
3	PART 1	5	Of Cianba, and Expedition thither	84	and he has ever since received this tribute of the largest and most beautiful elephants.				received	received	received this tribute of the largest and most beautiful elephants	this tribute of the largest and most beautiful elephants
3	PART 1	5	Of Cianba, and Expedition thither	85	In this kingdom, no handsome girl can be married till the king sees her, when, if pleased, he takes her to wife ; 				be,married	be,married	be married till the king sees her , when , if pleased , he takes her to wife,married till the king sees her , when , if pleased , he takes her to wife	
3	PART 1	5	Of Cianba, and Expedition thither	86	otherwise, he gives her money, with which she can be married to a nobleman.				be,married	be,married	be married to a nobleman,married to a nobleman	a nobleman
3	PART 1	5	Of Cianba, and Expedition thither	87	In 1285, when I, Marco Polo, was there, the king had 326 sons and daughters, of whom 150 were men that could carry arms.		Marco Polo		was,had,were,carry	was,had,were,carry	was there,had 326 sons and daughters , of whom 150 were men that could carry arms,were men that could carry arms,carry arms	there,326,men that could carry arms,arms
3	PART 1	5	Of Cianba, and Expedition thither	88	Besides elephants, the country abounds in lignum aloes, and the wood called ebony,which is very black, used in making chess-boards and writingdesks.				called,used,making	called,used,making	called ebony,used in making chess-boards and writingdesks,making chess-boards and writingdesks	ebony,chess-boards and writingdesks
3	PART 1	5	Of Cianba, and Expedition thither	89	I now proceed to a great island named Java.			Java	named	named	named Java	Java
3	PART 1	6	The Island of Java	90	Departing from Cianba, and going south and southeast 1500 miles, you come to this island.	Java		Cianba	Departing,going,southeast	Departing,going,southeast	Departing from Cianba , and going south and southeast 1500 miles,going south,southeast 1500 miles	Cianba,1500 miles
3	PART 1	6	The Island of Java	91	Good mariners, who know it intimately, describe it as the largest in the world, with a circuit of more than 3000 miles.							
3	PART 1	6	The Island of Java	92	 The people are subject to a powerful king, are idolaters, and pay no tribute to any other prince.				pay	pay	pay no tribute to any other prince	no tribute to any other prince
3	PART 1	6	The Island of Java	93	The territory is very rich, yielding pepper, nutmegs, galanga, cubebs, cloves, and all the richest of spices.				yielding	yielding	yielding pepper , nutmegs , galanga , cubebs , cloves	pepper , nutmegs , galanga , cubebs , cloves
3	PART 1	6	The Island of Java	94	Many merchants from Zai-tun and Manji come and carry on a great and profitable traffic.			Zai-tun,Manji	come,carry	come,carry	come and carry on a great and profitable traffic,carry on a great and profitable traffic	
3	PART 1	6	The Island of Java	95	Its treasure also is so immense, that it can scarcely be estimated.				be,estimated	be,estimated	be estimated,estimated	
3	PART 1	6	The Island of Java	96	On account of the long and difficult navigation, the great khan never could acquire dominion over it.		Khan		acquire	acquire	acquire dominion over it	dominion
3	PART 1	7	Kingdom of Lochac	97	Leaving this island, and sailing between south and south-west 700 miles, you find two isles, a large and a small, called Sondur and Condur.	Sondur,Condur,Lochac		Sondur,Condur	Leaving,called	Leaving,called	Leaving this island , and sailing between south and south-west 700 miles,called Sondur and Condur	this island , and sailing between south and south-west,Sondur and Condur
3	PART 1	7	Kingdom of Lochac	98	Departing thence, and going south-east still 500 miles, you find a very extensive province named Lochac.			Lochac	Departing,going,named	Departing,going,named	Departing thence , and going south-east still 500 miles,going south-east still 500 miles,named Lochac	south-east,Lochac
3	PART 1	7	Kingdom of Lochac	99	The people are subject only to a native king, are idolaters, with languages of their own.							
3	PART 1	7	Kingdom of Lochac	100	They are tributary to no power, being so situated that no invader can reach their land ;				being,situated,reach	being,situated,reach	being so situated that no invader can reach their land,reach their land	their land
3	PART 1	7	Kingdom of Lochac	101	 otherwise it would soon be subdued by the great khan.		Khan		be,subdued	be,subdued	be subdued by the great khan,subdued by the great khan	the great khan
3	PART 1	7	Kingdom of Lochac	102	Brazilwood is in abundance, and gold in almost incredible quantities.							
3	PART 1	7	Kingdom of Lochac	103	There are elephants and other animals for hunting; 							
3	PART 1	7	Kingdom of Lochac	104	and from this place is derived all the porcelain that is circulated as money through the provinces now described.				derived,circulated,described	derived,circulated,described	derived,circulated as money through the provinces now described	money
3	PART 1	7	Kingdom of Lochac	105	I have only to add, that the country is difficult to reach; 				add,reach	add,reach	add , that the country is difficult to reach,reach	reach
3	PART 1	7	Kingdom of Lochac	106	the king himself does not wish to be visited by strangers, and thus no one knows his treasure and condition.				wish,be,visited	wish,be,visited	wish to be visited by strangers , and thus no one,be visited by strangers , and thus no one,visited by strangers , and thus no one	strangers , and thus no one
3	PART 1	8	Pentam and other Islands	107	When a man goes 500 miles southward from Lochac, he finds an island named Pentam, very wild, all covered with odoriferous woods.	Pentam,Malauir		Lochac,Pentam	named,covered	named,covered	named Pentam , very wild , all covered with odoriferous woods,covered with odoriferous woods	Pentam , very wild , all covered with odoriferous woods,odoriferous woods
3	PART 1	8	Pentam and other Islands	108	Thence he navigates between these two islands about sixty miles, drawing only four paces of water, so that large vessels in the passage must remove their rudder.				drawing,remove	drawing,remove	drawing only four paces of water,remove their rudder	only four paces of water,their rudder
3	PART 1	8	Pentam and other Islands	109	He then goes on south-east about thirty miles, and reaches an island also named Pentam, with the noble and rich city Malauir, having much traffic in spices and other articles.			Pentam,Malauir	named,having	named,having	named Pentam , with the noble and rich city Malauir , having much traffic in spices and other articles,having much traffic in spices and other articles	Pentam,much traffic in spices and other articles
3	PART 1	8	Pentam and other Islands	110	The people have a king and languages of their own.							
