chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	VerbNet Travel	WordNet Travel	FrameNet Travel	VerbNet Narrate	WordNet Narrate	FrameNet Narrate	Voted Narrate	Voted Travel	Paper Narrate	Paper Travel
3	PART 1	6	The Island of Java	96	On account of the long and difficult navigation, the great khan never could acquire dominion over it.		Khan													
3	PART 1	7	Kingdom of Lochac	97	Leaving this island, and sailing between south and south-west 700 miles, you find two isles, a large and a small, called Sondur and Condur.	Sondur,Condur,Lochac		Sondur,Condur	Leaving	called		Leaving		called	Leaving,called		called			
3	PART 1	7	Kingdom of Lochac	98	Departing thence, and going south-east still 500 miles, you find a very extensive province named Lochac.			Lochac	Departing,going	named	going	Departing,going	going		named	going		going	named	going
3	PART 1	7	Kingdom of Lochac	99	The people are subject only to a native king, are idolaters, with languages of their own.															
3	PART 1	7	Kingdom of Lochac	100	They are tributary to no power, being so situated that no invader can reach their land ;				reach		reach	reach	being,reach		being,reach	being,reach	being ,reach	reach		reach
3	PART 1	7	Kingdom of Lochac	101	 otherwise it would soon be subdued by the great khan.		Khan						be		be	be	be			
3	PART 1	7	Kingdom of Lochac	102	Brazilwood is in abundance, and gold in almost incredible quantities.															
3	PART 1	7	Kingdom of Lochac	103	There are elephants and other animals for hunting; 															
3	PART 1	7	Kingdom of Lochac	104	and from this place is derived all the porcelain that is circulated as money through the provinces now described.					described		circulated			circulated,described	described	described		described	
3	PART 1	7	Kingdom of Lochac	105	I have only to add, that the country is difficult to reach; 				reach	add	reach	reach	add,reach		add,reach	add,reach	add ,reach	reach	add	reach
3	PART 1	7	Kingdom of Lochac	106	the king himself does not wish to be visited by strangers, and thus no one knows his treasure and condition.				visited			visited	be,visited		wish,be,visited	be	be	visited		visited
3	PART 1	8	Pentam and other Islands	107	When a man goes 500 miles southward from Lochac, he finds an island named Pentam, very wild, all covered with odoriferous woods.	Pentam,Malauir		Lochac,Pentam		named					named,covered				named,covered	
3	PART 1	8	Pentam and other Islands	108	Thence he navigates between these two islands about sixty miles, drawing only four paces of water, so that large vessels in the passage must remove their rudder.							drawing			drawing					
3	PART 1	8	Pentam and other Islands	109	He then goes on south-east about thirty miles, and reaches an island also named Pentam, with the noble and rich city Malauir, having much traffic in spices and other articles.			Pentam,Malauir		named					named,having				named	
3	PART 1	8	Pentam and other Islands	110	The people have a king and languages of their own.															
3	PART 1	9	Island of Little Java (Sumatra)	111	Departing from Pentam, and going 130-miles south-east, you find the island of Java the Lesser; but notwithstanding this title, it is above two thousand miles in circuit, with eight kingdoms, and the same number of crowned sovereigns.	Java the Lesser		Pentam,Java the Lesser	Departing,going		going	Departing,going	going			going		going		going
3	PART 1	9	Island of Little Java (Sumatra)	112	I will tell you the whole truth about it.					tell				tell	tell	tell	tell		tell	
3	PART 1	9	Island of Little Java (Sumatra)	113	The people are idolaters, and each nation has a language of its own.															
3	PART 1	9	Island of Little Java (Sumatra)	114	There is a very great abundance of treasure and costly spices, as well as of lignum aloes and many other woods unknown in our country.															
3	PART 1	9	Island of Little Java (Sumatra)	115	What will appear very wonderful is, that this isle lies so far south, that the north star is never seen.							seen	appear		seen					seen
3	PART 1	9	Island of Little Java (Sumatra)	116	Now I will tell you of each kingdom by itself.					tell				tell	tell	tell	tell		tell	
3	PART 1	10	Kingdom of Ferlech	117	In that of Ferlech are Saracen merchants, who come with their vessels, and have converted the people to the law of Mohammed ; 	Ferlech	Mohammed	Ferlech												
3	PART 1	10	Kingdom of Ferlech	118	but only in the city, for those in the mountains live like brutes, eating the flesh of men and of the vilest animals.															
3	PART 1	10	Kingdom of Ferlech	119	They worship various objects, particularly the first thing they meet after rising in the morning.						rising	rising	rising					rising		
3	PART 1	11	Kingdom of Basman	120	Leaving Ferlech, you enter Basman,a kingdom by itself, whose people have a language of their own, and live without law, like beasts.	Basman		Ferlech,Basman	Leaving			Leaving			Leaving					
3	PART 1	11	Kingdom of Basman	121	They own the supremacy of the khan, but pay him no tribute, because the great distance prevents his troops from reaching them; 		Khan		reaching		reaching	reaching	reaching		pay,reaching	reaching	reaching	reaching		reaching
3	PART 1	11	Kingdom of Basman	122	yet they sometimes make him a present of strange objects.															
3	PART 1	11	Kingdom of Basman	123	Here are wild elephants, and unicorns not much smaller, being double the size of a buffalo.								being		being	being	being			
3	PART 1	11	Kingdom of Basman	124	They have a large black horn in the middle of the forehead, and beneath the tongue sharp prickles, which can inflict severe wounds.										inflict					
3	PART 1	11	Kingdom of Basman	125	 Their heads resemble that of the wild boar, yet they carry them bent to the earth.															
3	PART 1	11	Kingdom of Basman	126	They are very ugly, and fond of wallowing among mire.															
3	PART 1	11	Kingdom of Basman	127	It is not true, as asserted among us, that they allow themselves to be taken by a virgin, but quite the contrary.								be,taken		asserted,be,taken	asserted,be	asserted ,be		asserted	
3	PART 1	11	Kingdom of Basman	128	There are here good and serviceable falcons, black like crows ; also a prodigious number of monkeys of various forms and habits.															
3	PART 1	11	Kingdom of Basman	129	But you must know that those who bring the little men from India practise a great deception.			India		know					know	know	know			
3	PART 1	11	Kingdom of Basman	130	I assure you the figures to which they give that name are manufactured in this island in the following manner :-There is a species of small monkey, with a face resembling the human, which they catch, skin, and shave off all the hair except on the beard and chin; having then moulded them into a human semblance, they dry and preserve them with camphor and other articles.						following	following			having			following		
3	PART 1	11	Kingdom of Basman	131	But it is a gross deception ; 															
3	PART 1	11	Kingdom of Basman	132	for neither in India, nor in any other country, however savage, are there men so small as these pretended ones.			India												
3	PART 1	11	Kingdom of Basman	133	Now let us tell of a kingdom called Samara.			Samara		tell,called				tell,called	tell,called	tell	called ,tell		tell	
3	PART 1	12	Kingdom of Samara	134	When a man departs from Basman, he finds the kingdom of Samara, in which I myself, Marco Polo, remained five months, because the bad weather did not allow us to sail. 	Samara	Marco Polo	Basman,Samara	sail		sail	did,sail	sail			allow		sail		sail
3	PART 1	12	Kingdom of Samara	135	Here neither the north star nor the constellation of the Greater Bear appeared.								appeared							
3	PART 1	12	Kingdom of Samara	136	The people are savage idolaters, governed by a rich and powerful king, and owning a nominal submission to the great khan.		Khan													
3	PART 1	12	Kingdom of Samara	137	During our stay, we landed and erected castles of wood and twigs, where we remained through the fear of these wicked men, who eat their fellow-creatures.				landed			landed								
3	PART 1	12	Kingdom of Samara	138	The best fishes in the world are found here.								found							
3	PART 1	12	Kingdom of Samara	139	The people have no wheat, living on rice ; 															
3	PART 1	12	Kingdom of Samara	140	and they make no wine.															
3	PART 1	12	Kingdom of Samara	141	You must know there is a kind of tree, of which they cut a branch, and place a pot beneath, when, during the night, the vessel is filled, and very good wine is thus produced, both red and white.							cut			know,cut	know	know			
3	PART 1	12	Kingdom of Samara	142	The tree resembles a small date-palm, with four branches, and when it ceases to give out more wine, they water its root, which causes it to produce again.										give					
3	PART 1	12	Kingdom of Samara	143	They have great quantities of very large Indian nuts, and eat all kinds of flesh, good and bad.															
3	PART 1	12	Kingdom of Samara	144	Now let us tell you of a kingdom which is named Dagroian.			Dagroian		tell,named				tell	tell,named	tell	tell		tell,named	
3	PART 1	13	Kingdom of Dagroian	145	This kingdom has a language of its own; the people are very savage, subject to a king, but owning the supremacy of the great khan.	Dagroian	Khan													
3	PART 1	13	Kingdom of Dagroian	146	They are savage idolaters, and have the following very bad custom :-When a man falls sick, his relations send for the magicians, and inquire if he will recover, as these deceivers profess to know, by their enchantments and idols, whether he will live or die.					inquire,know	following	following		inquire	inquire,know	know	inquire ,know	following		
3	PART 1	13	Kingdom of Dagroian	147	In the latter case, the friends send for persons who place something over his mouth, by which he is suffocated.															
3	PART 1	13	Kingdom of Dagroian	148	They then cook the body, and all the kinsmen come and eat his flesh, taking care not to leave the smallest portion; 				leave		leave	leave	taking,leave		taking,leave			leave		leave
3	PART 1	13	Kingdom of Dagroian	149	which they believe would breed worms, and thus seriously afflict the soul of the deceased.															
3	PART 1	13	Kingdom of Dagroian	150	They next collect the bones, and place them in a large and beautiful chest, which they carry to caverns in the mountains, beyond the reach of wild beasts or any other injury.															
3	PART 1	13	Kingdom of Dagroian	151	When they take any man belonging to another country, who cannot redeem himself, they kill and eat him in like manner.															
3	PART 1	13	Kingdom of Dagroian	152	This is a very bad practice.															
3	PART 1	13	Kingdom of Dagroian	153	I must now, however, tell you something of Lambri.			Lambri												
3	PART 1	14	Kingdom of Lambri	154	Lambri is a kingdom having a sovereign of its own, who owns the supremacy of the khan.	Lambri	Khan	Lambri							having					
3	PART 1	14	Kingdom of Lambri	155	The people are all idolaters ; 															
3	PART 1	14	Kingdom of Lambri	156	they have a great abundance of camphor and other spices ; likewise brazil-wood.															
3	PART 1	14	Kingdom of Lambri	157	This they sow, and when it has grown to a little twig, they transplant it to another place, and at the end of three years root it up.															
3	PART 1	14	Kingdom of Lambri	158	We brought some of this seed to Venice, but it did not spring at all on account of the cold.			Venice				did								
3	PART 1	14	Kingdom of Lambri	159	I will tell you another very wonderful thing ; 					tell				tell	tell	tell	tell		tell	
3	PART 1	14	Kingdom of Lambri	160	for there are men in this kingdom who have tails like dogs, larger than a palm, and who are covered with hair.										covered				covered	
3	PART 1	14	Kingdom of Lambri	161	They remain in the mountains, never visiting the towns.				visiting			visiting	visiting		visiting			visiting		visiting
3	PART 1	14	Kingdom of Lambri	162	There are unicorns, with various beasts and birds for hunting.															
3	PART 1	14	Kingdom of Lambri	163	Now let us depart and tell you of Fansur.			Fansur	depart	tell	depart	depart	depart	tell	tell	tell	tell	depart	tell	depart
3	PART 1	15	Kingdom of Fansur	164	The people of Fansur are idolaters, have a king, and nominally acknowledge the great khan.	Fansur, Gavenispola	Khan	Fansur												
3	PART 1	15	Kingdom of Fansur	165	Here grows the best canfara fansuri, which is much more valued than any other ; 															
3	PART 1	15	Kingdom of Fansur	166	indeed it sells for its weight in gold.															
3	PART 1	15	Kingdom of Fansur	167	Wine is drawn from trees, in the manner described above : another wonder is, that, in this province, meal is obtained from them.					described		drawn			drawn,described	described	described		described	
3	PART 1	15	Kingdom of Fansur	168	These are large, the bark thin, and the interior all full of meal.															
3	PART 1	15	Kingdom of Fansur	169	The inhabitants take it out, and make a very good paste, of which we often ate.						make		make					make		make
3	PART 1	15	Kingdom of Fansur	170	Having told you of the kingdoms in this part of the isle, I will say nothing of the two others, because we did not visit them.				visit	told,say		did,visit	visit	told,say	Having,told,say,visit	told,say	say ,told	visit	told,say	visit
3	PART 1	15	Kingdom of Fansur	171	I will now, therefore, go to another small island called Gavenispola.			Gavenispola	go	called	go	go	go	called	called	go	called	go		go
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	172	Departing from Java and the kingdom of Lambri, and travelling northward about 150 miles, you find two islands, one of which is called Necuveran.	Necuveran,Angaman		Java,Lambri,Necuveran	Departing,travelling	called	travelling	Departing,travelling	travelling	called	called		called	travelling		travelling
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	173	t The people have no king, and live like brutes, both men and women going quite naked.				going		going	going	going			going		going		going
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	174	They are idolaters, and have forests of noble and valuable trees ; among which are sandal-wood, the Indian nut, clove, brazil, and many others.															
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	175	Angaman is a very large island, without a king; the people idolaters, resembling savage beasts; 			Angaman												
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	176	indeed they are a most extraordinary race, having a head, teeth, and jaws like those of a mastiff dog.										having					
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	177	They are very cruel, and eat all the men of every other nation whom they can seize.															
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	178	They have great abundance and variety of spices, with fruits different from ours, but live chiefly on flesh and milk.															
