chapter No	chapter Title	section No	section Title	sentence No	sentence
3	part3	2	Island of Zipangu, and Tartar Expedition thither	129	A mutual jealousy arose amongst them, which prevented their acting in any concert.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	130	One day when the north wind blew very strong, the troops expressed to each other apprehensions, that if they remained, all the vessels would be wrecked.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	131	The whole then went on board and set sail.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	132	When they had proceeded about four miles, they found another small isle, on which, the storm being violent, a number sought refuge.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	133	Others could not reach it, many of whom suffered shipwreck and perished ; but some were preserved and sailed for their native country.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	134	Those who had landed, 30,000 in number, looked on themselves as dead men, seeing no means of ever escaping ; and their anger and grief were increased, when they beheld the other ships making their way homeward.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	135	The sovereign and people of the large isle rejoiced greatly when they saw the host thus scattered and many of them cast upon the islet.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	136	As soon as the sea calmed, they assembled a great number of ships, sailed thither and landed, hoping to capture all those refugees.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	137	But when the latter saw that their enemies had disembarked, leaving the vessels unguarded, they skilfully retreated to another quarter, and continued moving about till they reached the ships, and went on board without any opposition.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	138	They then sailed direct for the principal island, hoisting its own standards and ensigns.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	139	On seeing these, the people believed their own countrymen had returned, and allowed them to enter the city.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	140	The Tartars, finding it defended only by old men, soon drove them out, retaining the women as slaves.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	141	When the king and his warriors saw themselves thus deceived, and their city captured, they were like to die of grief; but they assembled other ships, and invested it so closely as to prevent all communication.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	142	The invaders maintained it seven months, and planned day and night how they might convey tidings to their master of their present condition ; but finding this impossible, they agreed with the besiegers to surrender, securing only their lives.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	143	This took place in the year 1269.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	144	The great khan, however, ordered one of the commanders of this host to lose his head, and the other to be sent to the isle where he had caused the loss of so many men, and there put todeath.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	145	I have to relate also a very wonderful thing, that these two barons took a number of persons ina castle of Zipangu, and because they had refusedto surrender, ordered all their heads to be cut off ; but there were eight on whom they could not execute this sentence, because these wore consecrated stones in the arm between the skin and the flesh, which so enchanted them, that they could not die by steel.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	146	They were therefore beaten to death with clubs, and the stones, being extracted, were held very precious.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	147	But I must leave this matter and go on with the narrative.
3	part3	20	Hindoo Customs and Superstitions	148	Now, in all this province of Maabar, there is not a tailor, for the people go naked at every season.
3	part3	20	Hindoo Customs and Superstitions	149	The air is always so temperate, that they wear only a piece of cloth round the middle.
3	part3	20	Hindoo Customs and Superstitions	150	‘The king is dressed just like the others, except that his cloth is finer,t and he wears a necklace full set with rubies, sapphires, emeralds, and other precious stones, worth a great treasure.
3	part3	20	Hindoo Customs and Superstitions	151	He has also suspended from his neck a silken cord, reaching a pace down, and containing 104 of the largest pearls and most valuable rubies.
3	part3	20	Hindoo Customs and Superstitions	152	It is worn because he repeats every day, morning and evening, 104 prayers in honour of his idols.
3	part3	20	Hindoo Customs and Superstitions	153	To this he is bound by his faith and religion, by the example and injunction of his ancestors.
3	part3	20	Hindoo Customs and Superstitions	154	He wears also round three parts both of his arms and legs, bracelets of gold, full of goodly stones and pearls.
3	part3	20	Hindoo Customs and Superstitions	155	In short, the number of his jewels is surprising, being of more value than a handsome city, and no wonder, since they are all produced in his own dominions.
3	part3	20	Hindoo Customs and Superstitions	156	No man is allowed to export either a pearl or stone of great value, but must produce it to him, and as he gives double its cost, they do so very willingly, whence he has collected so ample a store.
3	part3	20	Hindoo Customs and Superstitions	157	Now I must tell you of other marvellous things: he has 500 wives ; and as soon as he sees a beautiful lady, takes and keeps her for himself.
3	part3	20	Hindoo Customs and Superstitions	158	He did the same in the case of a very handsome wife of his brother, who, being a prudent man, submitted, and did not quarrel on that account.
3	part3	20	Hindoo Customs and Superstitions	159	The king has certain faithful adherents, who attend him on horseback wherever he goes, and hold great commands under him ; nay, what is wonderful, they serve him both in this and in the other world.
3	part3	20	Hindoo Customs and Superstitions	160	‘Whenever he dies, and his body is thrown into a great fire, these vassals throw themselves after him, that they may accompany and serve him still in the future state.
3	part3	20	Hindoo Customs and Superstitions	161	It is the national custom that, when the king dies, and leaves a great treasure, his son will not spend it for the world; saying, I have all my father’s kingdom and people, why should I not support myself as he did.
3	part3	20	Hindoo Customs and Superstitions	162	Thus the treasure collected in this kingdom becomes immense.
3	part3	20	Hindoo Customs and Superstitions	163	In this country no horses are reared, and hence the greater part of the revenue is employed in obtaining them from foreign regions.
3	part3	20	Hindoo Customs and Superstitions	164	The merchants of Curmos, of Quisci, of Dufar, of Soer, and of Aden, whose provinces contain many steeds of fine quality, purchase, embark, and bring them to the king and his four princely brothers, selling them for 500 sagi of gold, worth more than 100 mares of silver.
3	part3	20	Hindoo Customs and Superstitions	165	I assure you, this monarch buys annually more than 2000, but, by the end of the year, they are all dead, from wanting the medicine necessary to keep them in health.
3	part3	20	Hindoo Customs and Superstitions	166	The merchants who import them wish this to happen, and are therefore careful not to introduce the cure.
3	part3	20	Hindoo Customs and Superstitions	167	Another custom is, that when a man has committed a crime, and is condemned to die, he expresses a wish to devote himself in honour of a certain divinity, to which the king consents.
3	part3	20	Hindoo Customs and Superstitions	168	Then his relations and friends place him on a wagon, giving him twelve knives, and lead him through the city, calling out, “ This brave man is about to kill himself for the love of the great idol”.
3	part3	20	Hindoo Customs and Superstitions	169	When they come to the place of execution, he takes a knife and cries aloud, “ I kill myself for the love of such a deity”.
3	part3	20	Hindoo Customs and Superstitions	170	He then, with different knives, strikes himself in one arm, then in the other, next in the stomach, and so on till he expires, when the relations burn his body with great joy.
3	part3	20	Hindoo Customs and Superstitions	171	I must tell you another custom of this country, that when a man is dead, and his body burned, his wife throws herself into the fire with her lord ; she is then much praised by the people, and many ladies follow the example.
3	part3	20	Hindoo Customs and Superstitions	172	The men also of this kingdom adore idols, and many worship the ox, saying, he is a valuable animal, and on no account would they kill him, or eat his flesh.
3	part3	20	Hindoo Customs and Superstitions	173	Yet there is a race named gaui who eat it, butas they dare not slay the animal, they use only those that die a natural or accidental death.
3	part3	20	Hindoo Customs and Superstitions	174	All the people, too, anoint their houses with its dung.
3	part3	20	Hindoo Customs and Superstitions	175	It is the custom also that the king, barons, and other persons sit upon the ground, and when asked why they decline a more honourable seat, they say, “ We came from earth, and must return to it, and cannot too much honour this common mother”.
3	part3	20	Hindoo Customs and Superstitions	176	These gaui who eat beef are the persons by whose ancestors St Thomas the apostle was killed; hence none of this lineage can enter the place where he lies buried, nor could twenty men force them in, nor ten hold them there, on account of the virtue of that sacred body.
3	part3	20	Hindoo Customs and Superstitions	177	In this country there grows no grain but rice.
3	part3	20	Hindoo Customs and Superstitions	178	It is remarkable that large fine horses in process of breeding produce only ponies with twisted legs, unfit for riding, and good for nothing.
3	part3	20	Hindoo Customs and Superstitions	179	The people go to battle .
3	part3	20	Hindoo Customs and Superstitions	180	with lance and shield, entirely naked ; yet are they not valiant and courageous, but mean and cowardly.
3	part3	20	Hindoo Customs and Superstitions	181	They kill no animals of any description ; but when they wish to eat their flesh, make them be slain by the Saracens and other nations, whose laws and customs are different.
3	part3	20	Hindoo Customs and Superstitions	182	Both men and women wash the whole body in water twice every day, morning and evening, and till then will neither eat nor drink.
3	part3	20	Hindoo Customs and Superstitions	183	He who omits this observance is regarded as we do a heretic.
3	part3	20	Hindoo Customs and Superstitions	184	Very severe justice is executed upon those who commit murder or any other trespass, When a creditor has repeatedly applied for payment and been deceived by fallacious promises, he takes the following course.
3	part3	20	Hindoo Customs and Superstitions	185	He draws a circle round the debtor, who dares not move beyond it, till he has either made payment or given good security ; and should he attempt to escape, he becomes liable to capital punishment.
3	part3	20	Hindoo Customs and Superstitions	186	Marco himself, when returning homeward through this country, was eyewitness to a remarkable transaction of this nature.
3	part3	20	Hindoo Customs and Superstitions	187	The king owed a sum of money to a foreign merchant, and being frequently solicited, he put him off with empty promises.
3	part3	20	Hindoo Customs and Superstitions	188	One day, when his majesty was riding out, the creditor took the opportunity of describing such a circle round his person.
3	part3	20	Hindoo Customs and Superstitions	189	On seeing what had been done, the monarch immediately stopped, and did not move from the spot till the demand was satisfied.
3	part3	20	Hindoo Customs and Superstitions	190	‘The people viewed with admiration this conduct, and pronounced their sovereign well entitled to the epithet of just.
3	part3	20	Hindoo Customs and Superstitions	191	Most persons abstain from drinking wine, and reject the testimony or guarantee of those who indulge in it ;also of mariners, accounted a reckless and desperate race.
3	part3	20	Hindoo Customs and Superstitions	192	Dissolute conduct is practised without censure.
3	part3	20	Hindoo Customs and Superstitions	193	The heat is wonderful, and is the cause of their going naked.
3	part3	20	Hindoo Customs and Superstitions	194	No rain falls except in June, July, and August, and were not the air cooled by showers during these three months, it would be impossible to live.
3	part3	20	Hindoo Customs and Superstitions	195	Many are skilled in an art which they call physiognomy, which consists in knowing men or women, their qualities good or bad, by merely seeing them.
3	part3	20	Hindoo Customs and Superstitions	196	They regard augury beyond any people in the world ; for, I assure you, if a man sets out on a journey, and meets an omen deemed unlucky, he often turns back.
3	part3	20	Hindoo Customs and Superstitions	197	Whenever a boy or girl is born, the father or mother causes the nativity to be written out, the day, month, and hour, and these are interpreted by astrologers learned in enchantment and the magical art.
3	part3	20	Hindoo Customs and Superstitions	198	As soon as a son attains the age of thirteen, he is set at liberty, and no longer allowed to remain in his father’s house.
3	part3	20	Hindoo Customs and Superstitions	199	He receives from twenty to twenty-four groats of their money, and is then considered capable of earning his own subsistence by some trade.
3	part3	20	Hindoo Customs and Superstitions	200	These boys, accordingly, run about in all directions throughout the day, buying and selling.
3	part3	20	Hindoo Customs and Superstitions	201	During the pearl-fishery, they frequent the beach and purchase from the fishermen five or six small ones, which they carry to the merchant, who, on account of the heat, has remained seated in his house.
3	part3	20	Hindoo Customs and Superstitions	202	They tell him what they have paid, and demand a reasonable profit, which he usually gives.
3	part3	20	Hindoo Customs and Superstitions	203	The day’s business being over, they carry provision to their mothers, who prepare and dress it for their dinner ; but they do not depend at all on their father for a maintenance.
3	part3	20	Hindoo Customs and Superstitions	204	Here, and throughout all India, the birds and beasts are different from ours, except one bird, which is the quail.
3	part3	20	Hindoo Customs and Superstitions	205	They have also bald owls, which fly in the night ; they have neither wings nor feathers, and are as large as an eagle.
