	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Person	Location	Spacy Location	Spacy Person	Spacy Organization
31	1	PART 1	4	On Georgia and its Productions	32	he is subject to the Tartars ; 					
32	1	PART 1	4	On Georgia and its Productions	33	and anciently all the monarchs of this province were born with the mark of an eagle on their left shoulder.					
33	1	PART 1	4	On Georgia and its Productions	34	They are a handsome people, good archers, and valiant in battle.					
34	1	PART 1	4	On Georgia and its Productions	35	They are Christians of the Greek church, and wear their hair close shaven in the manner of clergy.					
35	1	PART 1	4	On Georgia and its Productions	36	This is the province which Alexander could not pass through on account of the narrowness of the path 	Alexander			Alexander	
36	1	PART 1	4	On Georgia and its Productions	37	 because on one side is the sea, and on the other very high mountains, over which it is impossible to ride ; 					
37	1	PART 1	4	On Georgia and its Productions	38	and, as this strait continues above four leagues, a few men might hold out against the whole world.					
38	1	PART 1	4	On Georgia and its Productions	39	This was the reason why he could not pass;					
39	1	PART 1	4	On Georgia and its Productions	40	but he built a very strong tower, that no one might come upon him from the other side, and it is called the Iron Gate.		Iron Gate	the Iron Gate		
40	1	PART 1	4	On Georgia and its Productions	41	This is the place mentioned in the book of Alexander, where he enclosed the Tartars within their mountains ; 	Alexander			Alexander	
41	1	PART 1	4	On Georgia and its Productions	42	though the Tartars did not exist at that time, but a certain people called Comani, and other races besides.					Tartars ,Comani
42	1	PART 1	4	On Georgia and its Productions	43	There are many cities and castles, with silk in abundance, with which, added to gold, they make cloths the most beautiful that ever man saw.					
43	1	PART 1	4	On Georgia and its Productions	44	Here are the finest eagles in the world ; also victuals of every kind in abundance.					
44	1	PART 1	4	On Georgia and its Productions	45	The province is full of great mountains, and of narrow passes, so that I can tell you the Tartars could never obtain the entire sovereignty of it.					
45	1	PART 1	4	On Georgia and its Productions	46	There is a monastery called St Leonard, containing a great wonder, which I will now relate.		St Leonard			St Leonard
46	1	PART 1	4	On Georgia and its Productions	47	A large lake of water issues from a neighbouring mountain, in which, during the whole year, there is not found a fish great or small, except from the day before Lent down to the evening of Easter Sunday ; 					
47	1	PART 1	4	On Georgia and its Productions	48	and during the whole of that time fishes are taken in great abundance, but none at any other.					
48	1	PART 1	4	On Georgia and its Productions	49	And know that this sea of which I have spoken is seven hundred miles in circuit, and receives the Euphrates, one of the delights of paradise, and many other great rivers.		Euphrates	Euphrates		
49	1	PART 1	4	On Georgia and its Productions	50	It is all surrounded by mountain and land; 					
50	1	PART 1	4	On Georgia and its Productions	51	and lately the merchants of Genoa, who have built ships, navigate it, bringing silk, which is called gelle.		Genoa	Genoa		
51	1	PART 1	4	On Georgia and its Productions	52	Into this sea the great rivers Herdil,Geihon, Kur, and Aras enter.		Herdil,Geihon, Kur,Aras	Geihon, Kur	Herdil	Aras
52	1	PART 1	4	On Georgia and its Productions	53	In that province there is a grand city named Teflis, with suburbs and fortified posts around it.		Teflis	Teflis		
53	1	PART 1	4	On Georgia and its Productions	54	The inhabitants are Armenian and Georgian Christians, with some few Mohammedans and Jews.					
54	1	PART 1	4	On Georgia and its Productions	55	There are manufactures of silk and other articles.					
55	1	PART 1	4	On Georgia and its Productions	56	Now, having told you of the boundaries of Armenia to the north, I will describe those to the south and east.		Armenia	Armenia		
56	1	PART 1	5	On the Kingdom of Mosul	57	Mosul is a great kingdom on the eastern border of Armenia, and inhabited by various denominations of men, whom I will now describe.		Mosul,Armenia	Armenia		
57	1	PART 1	5	On the Kingdom of Mosul	58	There is a race called Arabic, who adore Mohammed ; 	Mohammed			Mohammed	
58	1	PART 1	5	On the Kingdom of Mosul	59	also another who hold the christian law, but not as the church of Rome commands ; 		Rome	Rome		
59	1	PART 1	5	On the Kingdom of Mosul	60	they err in many things.					
60	1	PART 1	5	On the Kingdom of Mosul	61	They are denominated Nestorian and Jacobite, and have a patriarch named Jatolior, who makes archbishops, bishops, abbots, and other clergy, and sends them to all parts of Bagdad, India, and Cathay, as the pope does from Rome.	Jatolior	Bagdad, India,Cathay,Rome	Bagdad, India, Rome	Jatolior	Cathay
61	1	PART 1	5	On the Kingdom of Mosul	62	All the Christians who are in those parts are of this sect ;					
62	1	PART 1	5	On the Kingdom of Mosul	63	and all the cloths of silk and gold, which are called mosulin, are made there.					
63	1	PART 1	5	On the Kingdom of Mosul	64	I tell you, too, that the great merchants who are called mosulin, and bring the largest quantity of all costly spices, are of this kingdom.	mosulin				
64	1	PART 1	5	On the Kingdom of Mosul	65	Among its mountains are people called Kurds, who are Nestorian and Jacobite Christians, but some are Saracens, and reverence Mohammed.	Mohammed			Saracens ,Mohammed	
65	1	PART 1	5	On the Kingdom of Mosul	66	They are an overbearing and wicked people, ever ready to rob the merchants.					
66	1	PART 1	5	On the Kingdom of Mosul	67	Now let us leave Mosul, and speak of the great city of Baldach.		Mosul,Baldach	Mosul, Baldach		
67	1	PART 1	6	On Baldach	68	At this place dwelt the caliph, chief prelate of all the Saracens in the world, as the pope is at Rome.	caliph	Rome	Saracens, Rome		
68	1	PART 1	6	On Baldach	69	Through the middle of it flows a very large river, by which you can proceed to the sea of India, whence merchants go and come with their goods.		India	India		
69	1	PART 1	6	On Baldach	70	From Baldach to the ocean by the stream is a voyage of eighteen days.		Baldach			Baldach
70	1	PART 1	6	On Baldach	71	The merchants going to India sail down that river to a place named Chisi, and then enter the Indian sea.		India,Chisi,Indian sea	India, Chisi		
71	1	PART 1	6	On Baldach	72	Between Baldach and Chisi is a great city named Bascra ; 		Baldach,Chisi,Bascra		Bascra	
72	1	PART 1	6	On Baldach	73	and the woods around that city yield the finest dates in the world.					
73	1	PART 1	6	On Baldach	74	In Baldach are many rich cloths of silk and gold, on which birds and beasts are represented ; 		Baldach	Baldach		
74	1	PART 1	6	On Baldach	75	and it is the greatest and noblest city in all these regions.					
75	1	PART 1	6	On Baldach	76	And know, assuredly, that the caliph was found to possess the most abundant treasure in gold, silver, and precious stones that ever was in the possession of man ; 	caliph				
76	1	PART 1	6	On Baldach	77	and I will tell you how it happened.					
77	1	PART 1	6	On Baldach	78	In the year of our Lord, 1255,the great sire of the Tartars, who is named Alau,brother to the great sire that now reigns, assembled a very large army, and marched upon Baldach and took it by force, which was a glorious exploit ; 	Alau	Baldach		Alau ,Baldach	Tartars
78	1	PART 1	6	On Baldach	79	for it contained more than 100,000 horsemen besides foot soldiers ;					
79	1	PART 1	6	On Baldach	80	and when it was taken, he found the caliph in possession of a tower full of gold, silver, and other treasure, such as never was seen at once in one place.	caliph				
80	1	PART 1	6	On Baldach	81	"When he discovered it he sent for the monarch and said : ""Caliph, why have you amassed such a treasure, and what do you mean to do with it?"	Caliph				
81	1	PART 1	6	On Baldach	82	Did you not know that I was your enemy, and coming to attack you with this mighty host?					
82	1	PART 1	6	On Baldach	83	"Knowing this, why did you not take your treasure, and give it to knights and soldiers to defend you and your city?"""					
83	1	PART 1	6	On Baldach	84	The caliph replied nothing, because he knew not what to say.	caliph				
84	1	PART 1	6	On Baldach	85	"Then, said Alau: ""Caliph, since I see you love so much your treasure, I will give it you to eat."""	Alau,Caliph			Alau	
85	1	PART 1	6	On Baldach	86	He then commanded that he should be shut up in the tower with the treasure, and that nothing should be given to him to eat or drink.					
86	1	PART 1	6	On Baldach	87	"Then he said to him: ""Caliph, eat your treasure as heartily as you please, for you will never eat any thing else."""	Caliph				
87	1	PART 1	6	On Baldach	88	He was then immured in the tower, where he died at the end of four days.					
88	1	PART 1	6	On Baldach	89	And after him there never was any other caliph.	caliph				
89	1	PART 1	7	On Toris or Tauris	90	Toris is a great city, in a province called Yrac, containing many towns and castles ; 		Toris,Yrac		Yrac	Toris
90	1	PART 1	7	On Toris or Tauris	91	but as this is the chief, I will tell you about it.					
91	1	PART 1	7	On Toris or Tauris	92	The men live by merchandise, and by fabricating fine cloths of silk and gold.					
92	1	PART 1	7	On Toris or Tauris	93	The place is so well situated that merchants proceed hither from India, Baldach, Mosul, Cremosor, and many other places.		India, Baldach, Mosul, Cremosor	India, Baldach, Mosul	Cremosor	
93	1	PART 1	7	On Toris or Tauris	94	The Latin traffickers come to meet those from strange countries, from whom they purchase precious pearls and other valuable articles.					
94	1	PART 1	7	On Toris or Tauris	95	The men are of indifferent character and very mixed origin, Armenians, Nestorians, Jacobites, Georgians, and Persians, and some who adore Mohammed.	Mohammed		Jacobites	Mohammed	
95	1	PART 1	7	On Toris or Tauris	96	The inhabitants of the city are called Taurisians.					
96	1	PART 1	7	On Toris or Tauris	97	Around it are very fine gardens, full of fruits and vegetables.					
97	1	PART 1	7	On Toris or Tauris	98	The Saracens here are most wicked and disloyal.				Saracens	
98	1	PART 1	7	On Toris or Tauris	99	They maintain that whatever is robbed or plundered from men of a different creed is justly acquired ; 					
99	1	PART 1	7	On Toris or Tauris	100	while they regard as martyrs those of their own sect who die by the hands of Christians.					
100	1	PART 1	7	On Toris or Tauris	101	If, therefore, they were not checked by their present rulers, they would break out into many outrages.					
101	1	PART 1	7	On Toris or Tauris	102	These principles are common to them all.					
102	1	PART 1	7	On Toris or Tauris	103	At the point of death, the priest comes and demands whether they believe that Mohammed was the prophet of God.	Mohammed			Mohammed	
103	1	PART 1	7	On Toris or Tauris	104	If they profess this belief, they are assured of salvation ;					
104	1	PART 1	7	On Toris or Tauris	105	and through this easy absolution, which leaves scope for the perpetration of every crime, they have succeeded in converting many of the Tartars, who feel thus at liberty to indulge their worst propensities.					
105	1	PART 1	7	On Toris or Tauris	106	Near Toris is a monastery named after St Barsamo, and famous for sanctity.					St Barsamo
106	1	PART 1	7	On Toris or Tauris	107	It contains an abbot and many monks, who dress like the Carmelites.					Carmelites
107	1	PART 1	7	On Toris or Tauris	108	Unwilling to lead an idle life, they are constantly weaving woollen girdles, which they place on the altar of their saint during divine service ;					
108	1	PART 1	7	On Toris or Tauris	109	and while going round the province to ask alms (as do their brethren of the Holy Ghost), they present these to their friends and persons of distinction, who value them as beneficial in the cure of rheumatism.					the Holy Ghost
109	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	110	Now I am to tell you of a great miracle which happened between Baldach and Mosul in the year 1225.			Mosul	Baldach	
110	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	111	There was a caliph in the former who held the Christians in great hatred, as it is natural for all the Saracens in the world to do.	caliph				
111	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	112	 He thought day and night how he might compel all those in his country to become converts, or else kill them.					
112	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	113	Many others concurred in that wicked purpose, and they agreed upon this plan : They found in the gospel a text saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God, he would be able to join two mountains together.					
113	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	114	On finding this text, they felt great joy, thinking they had thus either a means of converting them, or a pretext for killing them outright.					
114	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	115	He therefore sent for all the Jacobite and Nestorian believers in his country, who were very numerous; 					
115	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	116	and when they came before him, he showed them this gospel, made them read it, and asked if it were true.					
116	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	117	They replied that it was so.					
117	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	118	Then, continued the caliph, since so many Christians are here, there surely must be among you this small measure of faith ; 	caliph				
118	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	119	therefore, said he, pointing to a large hill in view, you must remove that mountain, or I will put you all to death, because otherwise you must be wholly destitute of faith, and on that account deserve to die.					
119	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	120	If, however, you will turn to our good law of Mohammed, you shall be forgiven; 	Mohammed			Mohammed	
120	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	121	and, in the mean time, I allow you ten days to do what is required.					
121	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	122	He then dismissed them.					
122	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	123	On hearing what the caliph had said, they were in great fear, and knew not what to resolve.	caliph				
123	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	124	Then they all assembled, small and great, men and women, the bishop, archbishop, and priests of whom there were a considerable number, and they remained eight days and eight nights in prayer, that God, in his mercy, and for the diffusion of his faith, would come to their aid, and enable them to escape this cruel death with which they were threatened.					
124	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	125	But what have I now to tell you?					
125	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	126	While they were thus deeply engaged in prayer, an angel, by the message of God, appeared to a bishop who was a man of very holy life.					
126	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	127	"He said, ""Oh, bishop!"					
127	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	128	"do you now go to a certain shoemaker with one eye, and tell him that at his prayer the mountain will be moved""ù."					
128	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	129	Now this shoemaker was a very honest and chaste man ; 					
129	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	130	he fasted and went regularly to mass, and gave every day bread to the poor.					
130	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	131	I will tell you a thing that he did, to prove his good faith and life.					
131	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	132	It happened one day that a very beautiful woman came to his shop to purchase a pair of shoes, and in order to make them fit, he was obliged to look at her foot and ankle, and they were so finely shaped that he felt his eye take an undue pleasure in viewing them.					
132	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	133	"As soon as she was gone, he began bitterly to reproach himself, and remembered the text, ""if thine eye offend thee, pluck it out, and cast it from thee""ù."					
133	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	134	He then took a sharp weapon, and stuck it into his eye, so that it burst in his head, and he never saw with it again.					
134	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	135	Thus you see he was a most holy and good man.					
135	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	136	When, therefore, the bishop had this vision, he told it to all his people, and they agreed that this shoemaker should be called before them, and when he came, they requested him to pray to God that he would make the mountain move.					
136	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	137	But when the shoemaker heard what the bishop and the others said, he answered that he was not so good a man as that God or our lady should for his sake do so great a miracle.					
137	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	138	But the Christians pressed him so earnestly, that he at last agreed, and made the prayer.					
138	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	139	When the final day was come, they all rose early in the morning, great and small, male and female; 					
139	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	140	and entering the church, they sung the holy mass, and then proceeded out to the plain in front of the mountain.					
140	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	141	They were fully a hundred thousand, and they all placed themselves in front of the cross.					
141	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	142	The caliph then came with a vast number of Saracens, eager to slay the unbelievers, for they thought it impossible the hill could be moved, and they themselves were in great fear and doubt ; 				Saracens	
142	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	143	nevertheless they had good hope in their Creator.					Creator
143	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	144	Then the shoemaker fell on his knees before the cross, lifted his hands to heaven, and prayed fervently that the mountain might be moved, and the Christians there assembled escape a dreadful death.					
144	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	145	When he had made his prayer, it was not long before the vast eminence began to stir, and move from its place.					
145	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	146	The Saracens, on seeing this, wondered greatly, and many of them were converted ; 				Saracens	
146	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	147	nay, the caliph himself became a believer in the gospel, but secretly, and when he died, a cross was found round his neck; 	caliph				
147	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	148	for which reason he was not buried in the same place with the other sovereigns, but in a tomb by himself.					
148	1	PART 1	8	On a certain Miracle of the Movement of a Mountain in that Region	149	Now let us leave Baldach and go to Persia.		Baldach,Persia	Persia	Baldach	
149	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	150	Persia is a very extensive province, anciently very rich and flourishing, but now in a great degree wasted and destroyed by the Tartars.	Persia		Persia		
150	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	151	It contains a city called Sava, whence the three magi came to adore Jesus Christ when born at Bethlehem.	Jesus Christ	Sava,Bethlehem		Jesus Christ	Bethlehem
151	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	152	In that city are buried the three, in separate tombs, above which is a square house carefully preserved.					
152	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	153	Their hearts are still entire, with their hair and beards.					
153	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	154	One was named Balthazar, the other Gaspar, the third Melchior.		Balthazar, Gaspar,Melchior		Balthazar ,Gaspar	
154	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	155	Messer Marco inquired often in that city about these three magi, but no one could tell him any thing, except that they were ancient kings, who were there buried.	Messer Marco			Messer Marco	
155	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	156	They informed him, however, that three days' journey farther was a tower called the Castle of the Fire-worshippers, because the men there venerate fire, and for the following reason.		 Castle of the Fire-worshippers			the Castle of the Fire
156	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	157	They say that anciently three kings of that country went to adore acertain prophet, newly born, and carried three offerings, gold, incense, and myrrh, to know if he were a king, a god, or a sage;					
157	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	158	 for they said that, if he took gold, he was a king; if incense, he wasa god; if myrrh, he was a sage.					
158	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	159	They went in one after another, and though they were of different ages and fashions, he appeared to each of them exactly like himself.					
159	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	160	When they came out and compared what they had seen, they wondered much, and then went in altogether, and the child then appeared to them what he really was, a boy of thirteen days old.					
160	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	161	They presented to him the three offerings, and he took them all, whence they concluded that he was at once god, king, and sage.					
161	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	162	He presented to them a closed box, desiring them not to open it till their return home.					
162	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	163	After having travelled a number of days, however, they were curious to see what was in the box, and opened it, when they found only a stone, which was meant to express that they should remain firm in the faith which they had received.					
163	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	164	They did not understand this meaning, and despising the gift, threw it into a well, when immediately a great fire came down from heaven, and began to burn brightly.					
164	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	165	When they saw this wonder, they were quite astonished, and repented that they had thrown away the stone.					
165	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	166	They however took a portion of the fire, carried it to their country, and placed it in their church, where they kept it continually burning.					
166	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	167	They revere it as a god, and use it for burning all their sacrifices ; 					
167	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	168	and when at any time it goes out, they repair to that well, where the fire is never extinguished,and from it bring a fresh supply.					
168	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	169	This is what all the people of that country tell, and Messer Marco was assured of it by those of the castle, and therefore it is truth.	Messer Marco			Messer Marco	
169	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	170	One of these kings was of Saba, the other of Ava, the other of the castle.		Saba,Ava	Saba, Ava		
170	1	PART 1	9	On the Province of Persia, and the Journey of the Magi	171	Now let me tell you of Persia, its cities, and the actions and customs of the people.		Persia	Persia		
171	1	PART 1	10	On the Kingdoms of Persia	172	Know, then, that in Persia there are eight kingdoms, because it is a very great country, and I will tell you their names.		Persia	Persia		
172	1	PART 1	10	On the Kingdoms of Persia	173	The first is called Casum ;the second, to the south, Cardistan ; the third Lor ; the fourth Cielstan ;the fifth Istanit ;he sixth Cerazi ;the seventh Soucara ;the eighth Tonocain,which is on the remotest frontier.		Casum,Cardistan,Lor,Cielstan,Istanit,Cerazi,Soucara,Tonocain	Cardistan, Tonocain	Lor ,Cielstan ,Soucara	Casum ,Istanit
173	1	PART 1	10	On the Kingdoms of Persia	174	In this last are many fine horses of high value, which are taken in large numbers to be sold in India; 			India		
174	1	PART 1	10	On the Kingdoms of Persia	175	and the greater part of them are worth two hundred livres tournois each.					
175	1	PART 1	10	On the Kingdoms of Persia	176	They have also the finest asses in the world, one of which is worth full thirty mares of silver.					
176	1	PART 1	10	On the Kingdoms of Persia	177	The men of that country lead these horses to two cities on the banks of the sea of India, called Chisi and Curmosa, and find there merchants, who buy them and carry them into their distant country.		sea of India,Chisi,Curmosa	India, Curmosa		
177	1	PART 1	10	On the Kingdoms of Persia	178	In these kingdoms there are many cruel men, who are constantly killing one another, and but for the fear of the Eastern Tartars, who now rule in this land, they would ruin the merchants.					
178	1	PART 1	10	On the Kingdoms of Persia	179	As it is, unless the latter are well provided with arms and bows, they often kill or hurt them severely.					
179	1	PART 1	10	On the Kingdoms of Persia	180	These men all hold the law of Mohammed.	Mohammed			Mohammed	
180	1	PART 1	10	On the Kingdoms of Persia	181	In the city are industrious merchants ; 					
181	1	PART 1	10	On the Kingdoms of Persia	182	they make robes of silk and gold of various fashions, and raise also plenty of cotton.					
182	1	PART 1	10	On the Kingdoms of Persia	183	The country abounds in wheat, barley, millet, as well asin vines and other fruits.					
183	1	PART 1	10	On the Kingdoms of Persia	184	Some may imagine that the Saracens do not drink wine, as being forbidden by their law ; 				Saracens	
184	1	PART 1	10	On the Kingdoms of Persia	185	but they quiet their consciences by thinking that if boiled over the fire, which renders it milder and sweet, it may be drunk without breaking the commandment.					
185	1	PART 1	10	On the Kingdoms of Persia	186	Changing its taste, they change its name, and no longer call it wine, though it really is so.					
186	1	PART 1	10	On the Kingdoms of Persia	187	Let us now leave them, and tell you of Yasdi.		Yasdi		Yasdi	
187	1	PART 1	11	On the City of Yasdi	188	Yasdi is a beautiful and noble city, with rich manufactures.		Yasdi			
188	1	PART 1	11	On the City of Yasdi	189	The people make silk cloths called by its name, which the merchants carry into various countries.					
189	1	PART 1	11	On the City of Yasdi	190	They all adore Mohammed.	Mohammed			Mohammed	
190	1	PART 1	11	On the City of Yasdi	191	When a man departs from that city, he rides seven days over a plain, where in three places only there are habitations and inns for the traveller.					
191	1	PART 1	11	On the City of Yasdi	192	There are many forests filled with partridges and other birds, which afford excellent sport ; also beautiful wild asses.					
192	1	PART 1	11	On the City of Yasdi	193	At the end of these seven days a country called Creman presents itself.		Creman			
193	1	PART 1	12	On the Kingdom of Creman	194	Creman is a kingdom anciently belonging to Persia, and which used to be governed by a hereditary prince ; 	Creman,Persia	Creman,Persia	Creman, Persia		
194	1	PART 1	12	On the Kingdom of Creman	195	but since the Tartar conquered it, he appoints what deputy he pleases.					Tartar
195	1	PART 1	12	On the Kingdom of Creman	196	In that region the stones called turquoises are in great abundance ; 					
196	1	PART 1	12	On the Kingdom of Creman	197	they are found in the mountains, and excavated from the rocks.					
197	1	PART 1	12	On the Kingdom of Creman	198	 The inhabitants make all things necessary for troops, such as reins, saddles, bows, arrows, quivers, and all kinds of arms, according to the custom of the country.					
198	1	PART 1	12	On the Kingdom of Creman	199	The ladies work very neatly cloths of gold and silk, representing with the needle, beasts, birds, and many other objects.					
199	1	PART 1	12	On the Kingdom of Creman	200	In the mountains are reared the finest falcons in the world, for though smaller than the peregrine species, they fly so swiftly that no bird can escape them.					
