chapter No	chapter Title	section No	section Title	sentence No	sentence
				9	They use it for want of iron, but it is by no means strong or secure.
				10	They have a mast, sail, and rudder, all single, and a coverlet of leather, which is spread over the goods, and on that they place the horses, many of which are transported into India.
				11	These ships, too, are not tarred, but covered with the oil of fish, The people are black, and adore Mohammed.
				12	They do not remain in the city during summer, for then they would all die, but retire to the country, where they have verdant gardens, finely watered by streams.
				13	Even there they would not escape, because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all, if they did not plunge into the water and thus escape it.
				14	They sow wheat, barley, and other kinds of grain in the month of November, and reap them in March, when they become ripe and perfect ; but none except the date will endure till May, being dried up by the extreme heat.
				15	I have also to tell you, when men or women die, great grief is shown, and the ladies, during full four years after the death of their husbands, make lamentations at least once a-day.
				16	On these occasions, they assemble their relations and neighbours, who join them in loud moanings and cries.
				17	In proof of the extreme violence of the heat, Marco Polo mentions the following circumstance which occurred during his residence.
				18	The ruler of Cormos neglected to pay his tribute to the King of Creman, who took the resolution of enforcing it at the season when the principal inhabitants gointothecountry.
				19	He therefore despatched 1600 horse and 5000 foot through the district of Reobarle, to take them by surprise.
				20	Being misled, however, by the guides, they did not reach the place till night, when they halted to rest in a grove near the town.
				21	On renewing their march next morning, they were attacked by the hot wind, and all suffocated ; not one surviving to carry back the fatal intelligence.
				22	When the people of Cormos learned this event, and went to bury the dead bodies lest they should infect the air, they found them so softened by the intense heat, that the limbs, when handled, separated from the trunks ; and it was necessary to dig graves close to where the corpses lay.
				1	We will now leave this city, and not go on to India, for I will describe it farther on in my book, in the proper time and place.
				2	We will return, therefore, by another road to Creman, because the countries now to be delineated can be reached only by way of that city, and I must tell you that Ruemedan Achomac, of whom we have just spoken, is subject to its king.
				3	The route in returning thither from Cormos is through avery fine plain.
				4	There are many springs whence the water issues in a hot state, forming baths very salutary in cutaneous and other diseases.
				5	Here is abundance of fruits and dates, also of partridges and other birds ; but the wheaten bread, owing to the quality of the water, is so bitter that no one unaccustomed to its use can eat it.
				6	I now wish to tell you of a country lying to the north.
				7	‘When a man has left Creman, he travels seven days in that direction, through a very dreary region.
				8	During three days he finds no river, and the little water met with is salt, green like grass, and so bitter that it is impossible to drink it, and if a man tastes even a drop, it produces violent purging.
				9	Travellers, therefore, carry water with them ; but-the beasts being obliged to drink such as they find, suffer severely.
				10	The whole tract is an arid desert, destitute of animals, which could not find food.
				11	On the fourth day, you reach a river of fresh water, but with its channel mostly under ground.
				12	In some spots, however, the force of the current makes abrupt openings, when the stream appears for a short space, and drink is abundantly supplied.
				13	Then follows another tract that lasts four days, and is also a dry desert, with bitter water, and no animals except wild asses, At the end of the four days, we leave the kingdom of Creman and proceed towards Cobinam.
				1	Cobinam is a great city inhabited by Mohammedans.
				2	There is abundance of iron, brass, and andanico, of the second of which they construct large and beautiful mirrors; they make here also the tutty, which is extremely good for the eyes, and likewise sponge, in the following manner.
				3	They take a vein of earth fitted for this purpose, and throw it into a burning furnace, above which is a grating of iron; then the smoke and moisture ascending adhere to the iron and form tutty, while the earth which remains in the furnace becomes sponge.
				1	‘When a man departs from Cobinam, he goes through a desert of eight days, and the country is very arid; there is neither fruit nor trees, and the water is bitter and bad, so that he must carry both it and food for himself, but the beasts drink that on.
				2	the road, though very unwillingly.
				3	He then comes to a province called Tonocain, with cities and many castles, bordering upon Persia towards the north; and there is a very great plain on which grows what the Christians call the dry tree, which I will describe to you.
				4	It is very large, and its leaves are green on one side and white on the other.
				5	It yields a nut like the chestnut ; but there is nothing within it.
				6	It is a strong wood, and yellow like box ; and there is no other tree in those parts for a hundred miles round, except on one side, at ten miles’ distance.
				7	It is said by the people of the country to be the place where Alexander fought with Darius.
				8	There are many towns and castles, and the inhabitants have abundance of all good things, the climate being neither too cold nor too hot.
				9	Now I must tell you of a country called Mulecte, where the Old Man of the Mountain used to dwell.
				1	You shall Jearn all about the Old Man of the Mountain, as I Marco heard related by many persons.
				2	He was called in their language Alaodin, and had caused to be formed, in a valley between two mountains, the largest and most beautiful garden that ever was seen.
				3	There grew all the finest fruits in the world, and it was adorned by the most beautiful houses and palaces, the interior being richly gilded, and furnished with finely coloured pictures of birds and beasts, and the most striking objects.
				4	It contained several conduits through which flowed respectively water, wine, honey, and milk.
				5	Here were ladies and damsels unequalled in beauty and in the skill with which they sung and played on instruments of every description.
				6	Now the Old Man made his people believe that this garden was paradise, and he formed it thus because Mohammed had given the Saracens to believe that those who went into that place would meet great numbers of beautiful women, and find rivers of water, wine, milk, and honey; hence the visiters were led to think that this really was paradise.
				7	Into this garden he admitted no man except those whom he wished to make assassins.
				8	The entry to the spot was commanded by a castle so strong that he did not fear any power in the world.
				9	He kept in his court all the youths of the country between twelve and twenty years of age, and when he thought proper, selected a number who had been well instructed in the description of paradise.
				10	He gave them a beverage which threw them into a deep sleep, then carried them into the garden, and made them be awakened.
				11	When any one of them opened his eyes, saw this delightful spot, and heard the delicious music and songs, he really believed himself in the state of blessedness.
				12	When again, however, he fell asleep, he was brought out into the castle, where he awoke in great wonder, and felt deep regret at having left that delightful abode.
				13	He then went humbly to the Old Man, worshipping him as a prophet.
				14	Being asked whence he came, he told that he had been in the paradise described by Mohammed, relating all he had seen, and saying that he desired much to die and return thither.
				15	The chief then named to him a great lord whom he wished him to kill.
				16	The youth cheerfully obeyed, and if in the act he was taken and put to death, he suffered with exultation, believing that he was to go into the happy place.
				17	If, after performing the deed, he escaped, the Old Man received him with the greatest honour, and when he wished to destroy another chief, employed him afresh, saying that he was sent into paradise.
				18	Thus scarcely any person could escape being slain, when the Old Man of the Mountain desired it; and many barons became vassals to him through the dread of thus losing their lives.
				1	Having now told you of the Old Man of the Mountain and his assassins, you shall hear how he was killed.
				2	I had forgot to mention, that he had other old men placed under him, one of whom he sent into the country of Damascus, and the other into Kurdistan.
				3	But now let us come to his destruction.
				4	It was in 1262 that Alau, the Lord of the East, having heard of his wicked deeds, determined to destroy him.
				5	He sent his generals with a great body of men, who besieged the castle full three years, and then could only reduce it by famine.
				6	Alaodin being taken, was killed, with all his people, and since that time there has been no assassin ; and thus ended his dominion and his wickedness.
				1	In Turcomania are three distinct races of men :—The Turcomans adore Mohammed, and are simple people, speaking a very rude language.
				2	They live amid mountains and valleys where there is good pasturage for cattle, by which they subsist ; and I assure you that they rear excellent horses and mules of great value.
				3	.
				4	The two others are Armenians and Greeks, who dwell iningled in cities, and subsist by merchandise and manufactures ; they work carpets and crimson silk, the richest and most beautiful in the whole world.
				5	They have many towns, of which the principal are Como, Casserie, and Sevasto.
				6	They are subject to the Eastern Tartars.
				7	Now, let us leave them, and speak of Armenia the Greater.
				1	When a man departs from that castle, he rides through beautiful hills covered with rich herbage, with fruits and all things in great abundance.
				2	The country extends to a journey of six days, and contains cities the inhabitants of which adore Mohammed.
				3	Yet sometimes yau find a desert of fifty or sixty miles, without water, which men must carry with them.
				4	When the traveller has rode six days through the country now described, he finds a city called Sapurgan.
				5	It has great abundance of all things, among which are the finest melons in the world in great plenty, and they are preserved in this manner: The people cut them all round like cucumbers, and dry them in the sun, when they become sweeter than honey, and are sold through all the country.
				6	Here is fine hunting of beasts and birds.
				7	Now I will go on to another city named Balk.
				1	Balk is a great and noble town, and was anciently still more so; but the Tartars have spoiled and wasted it, so that many beautiful houses and palaces of marble are now destroyed.
				2	It was here, as I was told by the people, that Alexander took to wife the daughter of Darius.
				3	The people revere Mohammed ; and at this point ends the dominion of the Eastern Tartars, this city being the boundary of Persia, between north-east and east.
				4	Now let us tell of another country named Dogans.
				5	On leaving Balk, you ride two days between north-east and east, and find no habitation, because the people have all fled to the fortresses in the mountains for fear of wicked men, who lay waste the land.
				6	There is no want of water or game, and lionsare also seen.
				7	No food is to be procured, but travellers must carry it both for themselves and their horses.
				1	When a man has rode these two days, he finds a castle called Taikan,where there is a great corn-market, and the country round is fine.
				2	The mountains towards the south are very high, and formed entirely of salt, which is the best in the world, and people come for it from a distance of thirty days’ journey round.
				3	It is so hard, that it can be broken only by great iron hammers ; and there is enough to supply the whole human race till the end of time.
				4	Departing from that city, you go three days north-east, through a fine country, well planted with grain and fruits.
				5	The people, who are followers of Mohammed, are wicked and murderous.
				6	They spend much time in the tavern, for they have abundance of good wine, well prepared.
				7	They wear nothing on their heads but a cord ten palms long wrapt round it.
				8	They are good hunters, and thus supply themselves with venison ; but have no clothing except the skins of animals.
				1	When a man travels three days, he finds a city named Scassem, which is on the plain, while the others are on the mountains, and through it flows a considerable river.
				2	There are here many porcupines, and when the hunters set their dogs upon them, the hogs collect together and push their spines against their assailants, and often hurt them severely.
				3	* This Scassem is a large province, and the shepherds dwell in caverns on the mountains, which are easily formed, being wholly of earth, and make large handsome habitations.
				4	t When aman leaves this city, he travels three days without finding a house, or any thing to eat or drink, being obliged to carry provisions with him, and he then enters the district of Badascian.
				1	Badascian is a large province, whose people adore Mohammed, and have a language of their own.
				2	It is governed by kings descended from Alexander and the daughter of Darius lord of Persia, and all these kings are called in Saracen Zulcarnem, which means in their language Alexander.
				3	In this country occur the precious stones called balasiu, which are very beautiful and valuable.
				4	They are found in the rocks of a mountain called Lighinan, and are cut out of very deep caverns, as is done by those who work silver mines, Know, too, that the king makes them be worked out for himself, and no other man may cut out balasiu on that mountain, on pain of death.
				5	His majesty sends them as presents to other princes and great lords, either as homage, or in token of friendship, and he likewise sells them for gold and silver.
				6	The prohibition is enforced that they may continue valuable ; for if all persons were allowed to dig for them, they would be quite depreciated.
				7	You must likewise know, that in other mountains of the same country are found the stones of which ultramarine is made, and it is the finest and best in the world.
				8	There are also lofty hills containing veins yielding silver in abundance.
				9	The country is extremely cold, but it breeds very good horses, which run with great speed over these wild tracts without being shod with iron.
				10	t There are found also the falcons called sacri, which fly well and swiftly ; also those called /anier ; and there is abundant hunting of beasts and birds.
				11	Wheat and good barley are plentiful ; they have no oil of olives, but make it from sesamum and nuts.
				12	This kingdom has many a narrow pass and strong post to secure it against the entrance of enemies, and the cities and castles are strongly built on high mountains.
				13	The people are good archers and hunters, and mostly clad in the skins of beasts, on account of the scarcity of cloth.
				14	The great ladies, however, wear from sixty toa hundred yards of bombasine wrapped round their body, in order that they may appear very fat, because the men delight in such a shape.
				15	On the summits of the mountains the air is so pure and salubrious that the inhabitants of the towns and lower valleys, when attacked by fever or other inflammatory complaints, immediately remove thither, and in three or four days recover their health.
				16	Marco Polo affirms, that he himself experienced its excellent effects ; for after being confined nearly a year by sickness, he was advised to try change of air by ascending the hills, and he then immediately regained his strength.
				1	You are to know that ten days south from Badascian is a province called Pascia.
				2	The people have a peculiar language ; they are worshippers of idols, and much skilled in enchantments and diabolical arts.
				3	The men wear ear-rings and buckles of gold and silver, with pearls and precious stones.
				4	They are a very artful and malicious people.
				5	The province is extremely hot, and the people live upon flesh and rice.
				6	Now let us leave it, and tell of another, which is distant from this seven days towards the south-east.
				1	Kesimur is inhabited by idolaters, who have a language of theirown.
				2	They have a wonderful knowledge of the enchantments of devils, making their images speak, and by sorcery changing the seasons, causing great darkness, and doing other wonders which could not be believed unless they were seen.
				3	The idols of this province are the heads over all the others, and went down hence to the neighbouring countries.
				4	The people are meagre and of a brown complexion ; but the females are very beautiful.
				5	They live on flesh and rice, and have a number of cities and castles.
				6	They have woods and deserts, and passes so strong that they have little dread.
				7	of an invader: their king rules with great justice.
				8	In this country are hermits, who observe great abstinence in eating and drinking, and carefully abstain from all offences against their faith ; and thisis done through veneration of their gods.
				9	They have abbeys and monasteries, are held in much reverence by the people of the country, and live toa great age.
				10	The coral brought from our land is sold more readily there than in any other nation.
				11	From this place you may go to the sea of India, and if we went farther we should enter into that country ; but being to return that way, we will then describe it in due order, and now go back to Badascian.
				1	When a man departs from Badascian, he goes twelve days between north-east and east, along a river which belongs to a brother of the lord of that land.
				2	There are many castles, and a good number of inhabitants, who are valiant and adore Mohammed.
				3	He then comes to a province named Vokhan, not very large, being only three days’ journey in every direction.
				4	The people are of the same description, and subject to the ruler of Badascian.
				5	Wild beasts and birds of every kind for hunting are most abundant.
				6	Having left this place, and travelled three days, always over mountains, he ascends to a district which is said to be the highest in the world.
				7	Here he finds a plain between two vast hills, through which flows a very fine river, issuing from a large lake ; and it is the best pasturage in the world, for a lean animal becomes fat here in ten days.
				8	All kinds of wild animals abound ; in particular, a species of sheep with horns of three, four, and even six palms long.
				9	These are formed by the shepherds into large spoons, out of which they eat ; and are even employed in enclosing the places where they keep their cattle.
				10	The hornsare heaped up in large quantities along the road, for the purpose of guiding travellers during winter, when it is covered with snow.
				11	t While a man passes for twelve days along this high plain, which is called Pamier,§ he sees neither habitation nor verdure, but must carry all his provisions along with him.
				12	No birds can live in this cold region; and I can even state that the fire does not burn so clear nor with the same colour as in other places, nor does it cook victuals so well.
				13	Leaving this place, he has to go on forty days between north and north-east, and passes many rivers and deserts ; and in all this journey finds neither verdure nor habitation, but must carry all his provisions along with him.
				14	This country is called Belor.
				15	t The people live in very lofty mountains, They are idolaters, extremely savage, violent, and cruel, subsist by hunting, and dress themselves in the skins of beasts.
				1	Cascar was anciently a kingdom, but is now under the dominion of the great khan.
				2	The people adore Mohammed, and have cities and castles; they are situated between the north and east.
				3	They subsist by merchandise and manufactures, having also fine gardens, vineyards, and orchards, with a good supply of silk.
				4	The merchants, in carrying on their trade, go round the whole world ; but they are sordid and covetous, eating and drinking very poorly.
				5	Some Nestorian Christians reside here, observing their own customs and laws.
				6	The people have a language of their own ; and the province extends five days’ journey.
				7	Now let us leave it and speak of Samarcan.
				1	Samarcan is a very great and noble city, lying to the south, inhabited by Christians and Saracens.
				2	The people are governed by a nephew of the great khan, who, however, is not his friend, but is in open hostility against him.
				3	I have to tell you a great wonder which happened in this city.
				4	You must know that not very long since, Ciagatai, brother to the great khan, became a Christian, and was lord of that and of many other countries.
				5	The believers of Samarcan rejoiced greatly at his conversion, and erected a large church in honour of it, bearing the name of St John the Baptist.
				6	They took a large and fine stone belonging to the Saracens, and made it the base of a column, which rose in the middle of the edifice, and supported the whole roof.
				7	Now it came to pass that Ciagatai died, whereupon the Mohammedans, having been much enraged at this stone being taken for the use of the church, consulted with each other how to recover it by force.
				8	This they could now easily do, being ten to one of their adversaries, Several of their elders went and told the Christians that they wished to receive back the slab, which had been formerly theirs.
				9	The latter answered, that they would willingly restore it, but for the injury it would do to their building, and offered to pay a fair price for it.
				10	The others replied, that they wished neither gold nor treasure, but must have their stone.
				11	The government now belonged to the nephew of the great khan, who commanded that within two days it should be restored.
				12	When the Christians received that order, they were much grieved, and knew not what to do.
				13	They went, however, and with many tears implored John the Baptist to relieve them in this tribulation.
				14	On the morning of the day when the stone was to be returned, the pillar, by the power of our Lord, rose up at least three palms, and supported itself as well as when the stone was beneath it, and has continued to do so till this day.
				15	This was and still is accounted one of the greatest miracles that ever happened in the world.
				16	Now let me tell you of a province which is called Yarcan.
				1	Armenia the Greater§ is a large country, and, at the entrance of it isa city called Arzinga, in which is made the best buckram in the world.
				2	There are several baths of warm spring water, the best and most beautiful any where to be found.
				3	There are many castles, and cities, among which the noblest is Arzinga, the seat of an archbishop, and the metropolis of the whole district; there are also Argiron and Darzizi.
				4	I assure you the province is very large, and during the summer all the Tartars of the Levant reside here with their flocks and herds, on account of its rich pastures ; but in winter they cannot remain because of the severe cold and snow, amid which the animals could not live.
				5	Now, in this Armenia is the ark of Noah on a great mountain.
				6	The circuit of its base cannot be traversed in less than two days ; and the ascent is rendered impracticable by the snow on its summit, which never dissolves, but is increased by each successive fall.
				7	On the lower declivities, the melted snows cause an abundant vegetation, and afford rich pastures for the cattle which in summer resort thither from all the surrounding -countries.
				8	To the south-east it borders on a kingdom called Mosul, inhabited by Jacobite and Nestorian Christians, of whom we will mention more hereafter.
				9	On the north’ it extends to the Georgians, and on that frontier is a fountain whence rises oil in such abundance that a hundred ships might be at once loaded with it.
				10	It is not good for eating, but very fit for fuel, for anointing the camels in maladies of the skin, and for other purposes ; for which reason people come from a great distance for it, and nothing else is burned in all this country.
				11	Now let us quit Armenia, and tell of Georgia.
				1	Yarcan is a province five days’ journey in length.
				2	The people obey the law of Mohammed, but there are some Nestorian Christians; they are subject to the nephew of the khan mentioned above.
				3	All necessaries are in great abundance.
				4	Cotton is also grown, and the inhabitants are skilful artisans.
				5	They suffer severely by swellings in the legs and in the throat, occasioned by the bad quality of the water.
				6	Finding nothing else worth mentioning, I shall go on to Cotan.
				1	Cotan is a province between north-east and east, and is eight days’ journey in length.
				2	The people adore Mohammed ; they have a number of cities and castles.
				3	The capital is a noble town, called by the name of the kingdom.
				4	They have all things in abundance, a large supply of silk, with vineyards and good orchards.
				5	They carry on merchandise and manufactures, but are not men at arms.
				1	Pein is a province five days’ journey in length, between north-east and east.
				2	The people adore Mohammed, are subject to the great khan, and have a number of towns and castles.
				3	The noblest city and capital is called by the name of the kingdom.
				4	Here is a river in which are found the stones named jasper and calcedony,.
				5	The people are very well supplied with necessaries, and grow a good deal of silk.
				6	They live by merchandise and arts, and have a custom which I will now tell you.
				7	‘When a woman has a husband who has gone a journey, and is to be absent above twenty days, as soon as he has departed she takes another partner, being fully allowed  by usage to do so; while the husband, in the place where he goes, takes another wife.
				8	Know that all the provinces now described from Cascar to the present, and still farther on, belong to Great Turkey.
				9	Now let us tell of a province named Ciarcian.
				1	Ciarcian is a province of Great Turkey, lying between north-east and east, with a capital city of the same name.
				2	The people adore Mohammed, and have a good number of towns and castles, There is a river bringing jasper and calcedony, which, being of excellent quality, they take to sell in Cathay, and thus make great profit.
				3	This province is sandy, as well as the whole road from Cotan hither ; and much of the water is bad and bitter, but in various places it is good.
				4	When an enemy passes through the country, they flee with their wives, children, and cattle, two or three days’ journey through the sand to places abounding in fine water and pasturage ; and no one can tell where they have gone, because the wind blowing the sand obliterates all traces of their march, and they thus escape the invader.
				5	But when a friendly army passes through, they send away only the beasts, because the troops would take and eat them, without any payment.
				6	After departing from Ciarcian, you go five days through the waste, finding the water bad and bitter, but occasionally sweet and good.
				7	At the end of these five days you come to a city which lies at the commencement of the great desert, wherein provisions are laid in for its passage, and therefore I must tell you about it.
				1	Lop is a large city at the entrance of the great desert bearing its name, and lying between the east and northeast.
				2	It belongs to the khan, and the people adore Mohammed.
				3	You must know that those persons who wish to pass this tract rest in the city a week to refresh themselves and their cattle ; then, having taken a month’s provisions and provender, they enter upon the desert, which I assure you is so extensive that if a man were to travel through its whole length, it would employ a year ; and even at its smallest breadth, a month is requisite.
				4	t It consists altogether of mountains and valleys of sand, and nothing is got to eat; but after travelling a day and a night, you find sweet water sufficient for from fifty to a hundred men, with their animals.
				5	A larger body could not be supplied.
				6	Thus, water is seen daily, or altogether in about twenty-eight places, and except in three or four it is good.
				7	Beasts or birds there are none, because they could not find food; but there is agreat wonder which I must now tell you.
				8	When a party rides by night through this desert, and any one lags behind, or straggles from his companions through sleep or any other cause, when he seeks to return to them, he hears spirits speak to him in such a manner that they seem to be his comrades, and they frequently call him by name, and thus lead him out of his way so that he never regains it, and many persons are thus lost and perish.
				9	I must tell you, too, that even by day you hear these voices of spirits, and even tambours, and many other instruments sounding.
				10	They find it necessary, also, before going to rest at night, to fix an advanced signal, pointing out the course to be afterwards held ; likewise to attach a bell to each of the animals, that they may be more easily kept from straggling.
				11	In this manner, amid much danger and fear, this desert is passed.
				12	Now we must tell you of the countries that lie on the other side.
				1	When you have rode thirty days through this desert, you find a city named Sacchion,which belongs to the khan, The province is called Tangut,and the people are idolaters, mixed with some Nestorian Christians and Saracens.
				2	The first have languages of their own ; they subsist not by merchandise, but by the grain which they produce from the earth.
				3	They have many abbeys and monasteries, all full of idols of various shapes, to which they offer frequent sacrifices and homage.
				4	Every man who has children rears a sheep, and at a particular festival at the end of the year, leads them along with that animal into the presence of the god, to whom they all perform reverence.
				5	They cook the sheep and offer it very humbly before the idol, leaving it while they make their prayers for the safety of their children.
				6	They then take the meat and carry it to the house, or wherever they please, send for their relations, and eat it with great joy and respect.
				7	They afterwards collect the bones, and preserve them with much diligence.
				8	You must know likewise, that when any one of them dies, his body is burned, and after he is carried to the place for this last ceremony, they erect in the middle of the path a house of cane, covered with cloths of silk and gold.
				9	When the dead man is laid before this ornamented house, they place before him wine and victuals, believing that he will be similarly honoured in the other world.
				10	At the place of burning, too, they cut in paper, men, horses, camels, and coins of the size of bezarits, convinced that the deceased will possess all these things in the future state.
				11	On this occasion, all the instruments in the land are sounded before the corpse.
				12	I must tell you, too, that after death the relations send for the astrologer, who is informed of the day, month, and year of his nativity, and then divines, by his diabolical art, the day on which the burning ought to take place.
				13	If it should be a week, a month, or six months, they keep it all that time, and never burn it till the appointed day.
				14	During this interval, they deposit it in a large box covered with cloth, and so preserved with crocus and other spices that no stench arises.
				15	Throughout this period, they place daily before the box meat and drink, and leave it there for some time, till they think he has eaten it.
				16	These sorcerers, too, often tell the relations that the dead body must not be carried out by the main door, but by a private one, or even through a breach made in the wall.
				17	All the idolaters in the world proceed in this manner.
				18	Now I must go to another city which lies to the south, near the extremity of this desert.
				1	Kamult is a province, formerly a kingdom, containing cities and castles, with a capital of the same name.
				2	It stands between two deserts, the great one already described, and a smaller one, extending three days’ journey.
				3	| The people are all idolaters, and have a peculiar language ; they live by the fruits of the earth, having enough to eat, and also to sell to the passenger.
				4	They are men of great gaiety, thinking of nothing but to sound musical instruments, to sing, dance, and delight their hearts, When a stranger comes to lodge in a house, the master is highly pleased, and leaves him with his wife, desiring her to treat him in every respect as a husband, while he himself goes and spends two or three days elsewhere.
				5	All the men of the province proceed in this manner, and do not account it any disgrace.
				6	The women are handsome, gay, and fond of diversion.
				7	Now, when Mangou Khan reigned as sire of the Tartars, it was reported to him how the people of Kamul gave over their wives to strangers, when he sent orders that, under a severe penalty, travellers should not be henceforth entertained in this manner.
				8	When they received this injunction, they were greatly grieved, held a council, and did what I will now tell you.
