	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Gazzeter Location	Gazzeter Person
64	3	PART 1	4	Sea of China, and numerous Islands	65	According to skilful and intelligent mariners, who have made the voyage, it contains 7448 isles, mostly inhabited.					
65	3	PART 1	4	Sea of China, and numerous Islands	66	In all these there grows no tree which is not agreeably fragrant, and also useful, being equal or superior in size to the lignum aloes.					
66	3	PART 1	4	Sea of China, and numerous Islands	67	They produce also many and various spices, including pepper white like snow, as well as the black.					
67	3	PART 1	4	Sea of China, and numerous Islands	68	They yield also much gold, and various other wonderful and costly productions ;					
68	3	PART 1	4	Sea of China, and numerous Islands	69	but they are very distant and difficult to reach.					
69	3	PART 1	4	Sea of China, and numerous Islands	70	The mariners of Zai-tun and Kin-sai, who visit them, gain indeed great profits; 			Zai-tun,Kin-sai	Zai-tun, Kin-sai	
70	3	PART 1	4	Sea of China, and numerous Islands	71	but they spend a year on the voyage, going in winter, and returning in the summer ; 					
71	3	PART 1	4	Sea of China, and numerous Islands	72	for the wind in these seasons blows only from two different quarters, one of which carries them thither, and the other brings them back.					
72	3	PART 1	4	Sea of China, and numerous Islands	73	But this country is immensely distant from India.			India		
73	3	PART 1	4	Sea of China, and numerous Islands	74	You may observe, too, that though the sea be called Zin, it is really the ocean, just as we say the sea of England, the sea of Rochelle.			Zin,sea of England,sea of Rochelle		
74	3	PART 1	4	Sea of China, and numerous Islands	75	The great khan has no power over these islands.		Khan			Khan
75	3	PART 1	4	Sea of China, and numerous Islands	76	Now let us return to Zai-tun, and resume our narrative.			Zai-tun	Zai-tun	
76	3	PART 1	5	Of Cianba, and Expedition thither	77	On leaving that port, and sailing west and somewhat south-west 1500 miles, you reach a country named Cianba,which is very rich and extensive.	Cianba		Cianba	Cianba	
77	3	PART 1	5	Of Cianba, and Expedition thither	78	The people are idolaters, have a language of their own, and 9 king, who pays tribute to the great khan, but only in fine elephants peculiar to the country.		Khan			Khan
78	3	PART 1	5	Of Cianba, and Expedition thither	79	That monarch, seeking to subdue him, sent, in 1278, one of his barons with many men, horse and foot, who began to lay waste the country.					
79	3	PART 1	5	Of Cianba, and Expedition thither	80	The sovereign, who was very aged and much afraid of such powerful warriors, did not venture to engage them on the open plain, remaining secure in strong cities and fortresses ; 					
80	3	PART 1	5	Of Cianba, and Expedition thither	81	but all the lands and houses were wasted and destroyed.					
81	3	PART 1	5	Of Cianba, and Expedition thither	82	"Grieved at the desolation of the territory, he sent messengers, who said to the great khan, "" Sir, the King of Cianba salutes you as his liege lord, and states himself to be a man of great age, who has long preserved his kingdom in peace. He offers to be your vassal, and pay a liberal tribute in elephants, and beseeches that your baron and army will cease to ravage his kingdom."""		Khan	Cianba	Cianba	Khan
82	3	PART 1	5	Of Cianba, and Expedition thither	83	The khan, having heard this message, took pity upon him, and ordered his general to withdraw, and conquer another country ; 		Khan			Khan
83	3	PART 1	5	Of Cianba, and Expedition thither	84	and he has ever since received this tribute of the largest and most beautiful elephants.					
84	3	PART 1	5	Of Cianba, and Expedition thither	85	In this kingdom, no handsome girl can be married till the king sees her, when, if pleased, he takes her to wife ; 					
85	3	PART 1	5	Of Cianba, and Expedition thither	86	otherwise, he gives her money, with which she can be married to a nobleman.					
86	3	PART 1	5	Of Cianba, and Expedition thither	87	In 1285, when I, Marco Polo, was there, the king had 326 sons and daughters, of whom 150 were men that could carry arms.		Marco Polo			Marco Polo
87	3	PART 1	5	Of Cianba, and Expedition thither	88	Besides elephants, the country abounds in lignum aloes, and the wood called ebony,which is very black, used in making chess-boards and writingdesks.					
88	3	PART 1	5	Of Cianba, and Expedition thither	89	I now proceed to a great island named Java.			Java	Java	
89	3	PART 1	6	The Island of Java	90	Departing from Cianba, and going south and southeast 1500 miles, you come to this island.	Java		Cianba	Cianba	
90	3	PART 1	6	The Island of Java	91	Good mariners, who know it intimately, describe it as the largest in the world, with a circuit of more than 3000 miles.					
91	3	PART 1	6	The Island of Java	92	 The people are subject to a powerful king, are idolaters, and pay no tribute to any other prince.					
92	3	PART 1	6	The Island of Java	93	The territory is very rich, yielding pepper, nutmegs, galanga, cubebs, cloves, and all the richest of spices.					
93	3	PART 1	6	The Island of Java	94	Many merchants from Zai-tun and Manji come and carry on a great and profitable traffic.			Zai-tun,Manji	Zai-tun, Manji	
94	3	PART 1	6	The Island of Java	95	Its treasure also is so immense, that it can scarcely be estimated.					
95	3	PART 1	6	The Island of Java	96	On account of the long and difficult navigation, the great khan never could acquire dominion over it.		Khan			Khan
96	3	PART 1	7	Kingdom of Lochac	97	Leaving this island, and sailing between south and south-west 700 miles, you find two isles, a large and a small, called Sondur and Condur.	Sondur,Condur,Lochac		Sondur,Condur		
97	3	PART 1	7	Kingdom of Lochac	98	Departing thence, and going south-east still 500 miles, you find a very extensive province named Lochac.			Lochac	Lochac	
98	3	PART 1	7	Kingdom of Lochac	99	The people are subject only to a native king, are idolaters, with languages of their own.					
99	3	PART 1	7	Kingdom of Lochac	100	They are tributary to no power, being so situated that no invader can reach their land ;					
100	3	PART 1	7	Kingdom of Lochac	101	 otherwise it would soon be subdued by the great khan.		Khan			Khan
101	3	PART 1	7	Kingdom of Lochac	102	Brazilwood is in abundance, and gold in almost incredible quantities.					
102	3	PART 1	7	Kingdom of Lochac	103	There are elephants and other animals for hunting; 					
103	3	PART 1	7	Kingdom of Lochac	104	and from this place is derived all the porcelain that is circulated as money through the provinces now described.					
104	3	PART 1	7	Kingdom of Lochac	105	I have only to add, that the country is difficult to reach; 					
105	3	PART 1	7	Kingdom of Lochac	106	the king himself does not wish to be visited by strangers, and thus no one knows his treasure and condition.					
106	3	PART 1	8	Pentam and other Islands	107	When a man goes 500 miles southward from Lochac, he finds an island named Pentam, very wild, all covered with odoriferous woods.	Pentam,Malauir		Lochac,Pentam	Lochac, Pentam	
107	3	PART 1	8	Pentam and other Islands	108	Thence he navigates between these two islands about sixty miles, drawing only four paces of water, so that large vessels in the passage must remove their rudder.					
108	3	PART 1	8	Pentam and other Islands	109	He then goes on south-east about thirty miles, and reaches an island also named Pentam, with the noble and rich city Malauir, having much traffic in spices and other articles.			Pentam,Malauir	Pentam	
109	3	PART 1	8	Pentam and other Islands	110	The people have a king and languages of their own.					
110	3	PART 1	9	Island of Little Java (Sumatra)	111	Departing from Pentam, and going 130-miles south-east, you find the island of Java the Lesser; but notwithstanding this title, it is above two thousand miles in circuit, with eight kingdoms, and the same number of crowned sovereigns.	Java the Lesser		Pentam,Java the Lesser	Pentam, Java	
111	3	PART 1	9	Island of Little Java (Sumatra)	112	I will tell you the whole truth about it.					
112	3	PART 1	9	Island of Little Java (Sumatra)	113	The people are idolaters, and each nation has a language of its own.					
113	3	PART 1	9	Island of Little Java (Sumatra)	114	There is a very great abundance of treasure and costly spices, as well as of lignum aloes and many other woods unknown in our country.					
114	3	PART 1	9	Island of Little Java (Sumatra)	115	What will appear very wonderful is, that this isle lies so far south, that the north star is never seen.					
115	3	PART 1	9	Island of Little Java (Sumatra)	116	Now I will tell you of each kingdom by itself.					
116	3	PART 1	10	Kingdom of Ferlech	117	In that of Ferlech are Saracen merchants, who come with their vessels, and have converted the people to the law of Mohammed ; 	Ferlech	Mohammed	Ferlech		
117	3	PART 1	10	Kingdom of Ferlech	118	but only in the city, for those in the mountains live like brutes, eating the flesh of men and of the vilest animals.					
118	3	PART 1	10	Kingdom of Ferlech	119	They worship various objects, particularly the first thing they meet after rising in the morning.					
119	3	PART 1	11	Kingdom of Basman	120	Leaving Ferlech, you enter Basman,a kingdom by itself, whose people have a language of their own, and live without law, like beasts.	Basman		Ferlech,Basman		
120	3	PART 1	11	Kingdom of Basman	121	They own the supremacy of the khan, but pay him no tribute, because the great distance prevents his troops from reaching them; 		Khan			Khan
121	3	PART 1	11	Kingdom of Basman	122	yet they sometimes make him a present of strange objects.					
122	3	PART 1	11	Kingdom of Basman	123	Here are wild elephants, and unicorns not much smaller, being double the size of a buffalo.					
123	3	PART 1	11	Kingdom of Basman	124	They have a large black horn in the middle of the forehead, and beneath the tongue sharp prickles, which can inflict severe wounds.					
124	3	PART 1	11	Kingdom of Basman	125	 Their heads resemble that of the wild boar, yet they carry them bent to the earth.					
125	3	PART 1	11	Kingdom of Basman	126	They are very ugly, and fond of wallowing among mire.					
126	3	PART 1	11	Kingdom of Basman	127	It is not true, as asserted among us, that they allow themselves to be taken by a virgin, but quite the contrary.					
127	3	PART 1	11	Kingdom of Basman	128	There are here good and serviceable falcons, black like crows ; also a prodigious number of monkeys of various forms and habits.					
128	3	PART 1	11	Kingdom of Basman	129	But you must know that those who bring the little men from India practise a great deception.			India		
129	3	PART 1	11	Kingdom of Basman	130	I assure you the figures to which they give that name are manufactured in this island in the following manner :-There is a species of small monkey, with a face resembling the human, which they catch, skin, and shave off all the hair except on the beard and chin; having then moulded them into a human semblance, they dry and preserve them with camphor and other articles.					
130	3	PART 1	11	Kingdom of Basman	131	But it is a gross deception ; 					
131	3	PART 1	11	Kingdom of Basman	132	for neither in India, nor in any other country, however savage, are there men so small as these pretended ones.			India		
132	3	PART 1	11	Kingdom of Basman	133	Now let us tell of a kingdom called Samara.			Samara		
133	3	PART 1	12	Kingdom of Samara	134	When a man departs from Basman, he finds the kingdom of Samara, in which I myself, Marco Polo, remained five months, because the bad weather did not allow us to sail. 	Samara	Marco Polo	Basman,Samara		Marco Polo
134	3	PART 1	12	Kingdom of Samara	135	Here neither the north star nor the constellation of the Greater Bear appeared.					
135	3	PART 1	12	Kingdom of Samara	136	The people are savage idolaters, governed by a rich and powerful king, and owning a nominal submission to the great khan.		Khan			Khan
136	3	PART 1	12	Kingdom of Samara	137	During our stay, we landed and erected castles of wood and twigs, where we remained through the fear of these wicked men, who eat their fellow-creatures.					
137	3	PART 1	12	Kingdom of Samara	138	The best fishes in the world are found here.					
138	3	PART 1	12	Kingdom of Samara	139	The people have no wheat, living on rice ; 					
139	3	PART 1	12	Kingdom of Samara	140	and they make no wine.					
140	3	PART 1	12	Kingdom of Samara	141	You must know there is a kind of tree, of which they cut a branch, and place a pot beneath, when, during the night, the vessel is filled, and very good wine is thus produced, both red and white.					
141	3	PART 1	12	Kingdom of Samara	142	The tree resembles a small date-palm, with four branches, and when it ceases to give out more wine, they water its root, which causes it to produce again.					
142	3	PART 1	12	Kingdom of Samara	143	They have great quantities of very large Indian nuts, and eat all kinds of flesh, good and bad.					
143	3	PART 1	12	Kingdom of Samara	144	Now let us tell you of a kingdom which is named Dagroian.			Dagroian		
144	3	PART 1	13	Kingdom of Dagroian	145	This kingdom has a language of its own; the people are very savage, subject to a king, but owning the supremacy of the great khan.	Dagroian	Khan			Khan
145	3	PART 1	13	Kingdom of Dagroian	146	They are savage idolaters, and have the following very bad custom :-When a man falls sick, his relations send for the magicians, and inquire if he will recover, as these deceivers profess to know, by their enchantments and idols, whether he will live or die.					
146	3	PART 1	13	Kingdom of Dagroian	147	In the latter case, the friends send for persons who place something over his mouth, by which he is suffocated.					
147	3	PART 1	13	Kingdom of Dagroian	148	They then cook the body, and all the kinsmen come and eat his flesh, taking care not to leave the smallest portion; 					
148	3	PART 1	13	Kingdom of Dagroian	149	which they believe would breed worms, and thus seriously afflict the soul of the deceased.					
149	3	PART 1	13	Kingdom of Dagroian	150	They next collect the bones, and place them in a large and beautiful chest, which they carry to caverns in the mountains, beyond the reach of wild beasts or any other injury.					
150	3	PART 1	13	Kingdom of Dagroian	151	When they take any man belonging to another country, who cannot redeem himself, they kill and eat him in like manner.					
151	3	PART 1	13	Kingdom of Dagroian	152	This is a very bad practice.					
152	3	PART 1	13	Kingdom of Dagroian	153	I must now, however, tell you something of Lambri.			Lambri		
153	3	PART 1	14	Kingdom of Lambri	154	Lambri is a kingdom having a sovereign of its own, who owns the supremacy of the khan.	Lambri	Khan	Lambri		Khan
154	3	PART 1	14	Kingdom of Lambri	155	The people are all idolaters ; 					
155	3	PART 1	14	Kingdom of Lambri	156	they have a great abundance of camphor and other spices ; likewise brazil-wood.					
156	3	PART 1	14	Kingdom of Lambri	157	This they sow, and when it has grown to a little twig, they transplant it to another place, and at the end of three years root it up.					
157	3	PART 1	14	Kingdom of Lambri	158	We brought some of this seed to Venice, but it did not spring at all on account of the cold.			Venice	Venice	
158	3	PART 1	14	Kingdom of Lambri	159	I will tell you another very wonderful thing ; 					
159	3	PART 1	14	Kingdom of Lambri	160	for there are men in this kingdom who have tails like dogs, larger than a palm, and who are covered with hair.					
160	3	PART 1	14	Kingdom of Lambri	161	They remain in the mountains, never visiting the towns.					
161	3	PART 1	14	Kingdom of Lambri	162	There are unicorns, with various beasts and birds for hunting.					
162	3	PART 1	14	Kingdom of Lambri	163	Now let us depart and tell you of Fansur.			Fansur		
163	3	PART 1	15	Kingdom of Fansur	164	The people of Fansur are idolaters, have a king, and nominally acknowledge the great khan.	Fansur, Gavenispola	Khan	Fansur		Khan
164	3	PART 1	15	Kingdom of Fansur	165	Here grows the best canfara fansuri, which is much more valued than any other ; 					
165	3	PART 1	15	Kingdom of Fansur	166	indeed it sells for its weight in gold.					
166	3	PART 1	15	Kingdom of Fansur	167	Wine is drawn from trees, in the manner described above : another wonder is, that, in this province, meal is obtained from them.					
167	3	PART 1	15	Kingdom of Fansur	168	These are large, the bark thin, and the interior all full of meal.					
168	3	PART 1	15	Kingdom of Fansur	169	The inhabitants take it out, and make a very good paste, of which we often ate.					
169	3	PART 1	15	Kingdom of Fansur	170	Having told you of the kingdoms in this part of the isle, I will say nothing of the two others, because we did not visit them.					
170	3	PART 1	15	Kingdom of Fansur	171	I will now, therefore, go to another small island called Gavenispola.			Gavenispola		
171	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	172	Departing from Java and the kingdom of Lambri, and travelling northward about 150 miles, you find two islands, one of which is called Necuveran.	Necuveran,Angaman		Java,Lambri,Necuveran	Java	
172	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	173	t The people have no king, and live like brutes, both men and women going quite naked.					
173	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	174	They are idolaters, and have forests of noble and valuable trees ; among which are sandal-wood, the Indian nut, clove, brazil, and many others.					
174	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	175	Angaman is a very large island, without a king; the people idolaters, resembling savage beasts; 			Angaman		
175	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	176	indeed they are a most extraordinary race, having a head, teeth, and jaws like those of a mastiff dog.					
176	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	177	They are very cruel, and eat all the men of every other nation whom they can seize.					
177	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	178	They have great abundance and variety of spices, with fruits different from ours, but live chiefly on flesh and milk.					
178	3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	179	Having told of these various people, I will now mention another island.					
179	3	PART 1	17	Island of Seilan	180	When you depart from Angaman, and sail about a thousand miles westward, a little to the south, you reach the island of Seilan,the very best of its size in the world.	Seilan		Angaman,Seilan		Seilan
180	3	PART 1	17	Island of Seilan	181	It is 2400 miles in circuit ; 					
181	3	PART 1	17	Island of Seilan	182	yet I must tell you that anciently it was larger, being 3600, as appears by the old maps of the mariners on that sea ; 					
182	3	PART 1	17	Island of Seilan	183	but the north wind blows with such violence, that a great part has been carried away by the water.					
183	3	PART 1	17	Island of Seilan	184	The people have a king called Sendemain, and are tributary to none ; 		Sendemain			
184	3	PART 1	17	Island of Seilan	185	they are idolaters, and go quite naked, except a small covering round the middle.					
185	3	PART 1	17	Island of Seilan	186	They have no grain but rice, living on it and on flesh.					
186	3	PART 1	17	Island of Seilan	187	I will now describe the most precious thing in the world; 					
187	3	PART 1	17	Island of Seilan	188	for here are noble and beautiful rubies, which can be procured nowhere else ; also the sapphire, the topaz, the amethyst, and various other precious stones.					
188	3	PART 1	17	Island of Seilan	189	The king has the most beautiful ruby that ever was or can be in the whole world.					
189	3	PART 1	17	Island of Seilan	190	It is the most splendid object on earth, and seems to glow like fire; 					
190	3	PART 1	17	Island of Seilan	191	it is of such value as money could scarcely purchase.					
191	3	PART 1	17	Island of Seilan	192	The great khan sent his messengers to him, wishing to buy it, and offering the value of a city.		Khan			Khan
192	3	PART 1	17	Island of Seilan	193	The monarch replied, that he had received it from his ancestors, and would for no earthly consideration part with it.					
193	3	PART 1	17	Island of Seilan	194	The people are not menat-arms, but unwarlike and cowardly ; 					
194	3	PART 1	17	Island of Seilan	195	when they need soldiers in war, they send for those of another country, commonly for Saracens.					
195	3	PART 1	18	Origin of the Boodhist Religion in Seilan	196	I have also to tell you that in this island there is a great mountain, of which the rocks are so broken that it can be ascended only by chains of iron suspended, whereby men may mount to the summit.	Seilan				
196	3	PART 1	18	Origin of the Boodhist Religion in Seilan	197	Here, according to the Saracens, is the monument of Adam our first father ; 		Adam			
197	3	PART 1	18	Origin of the Boodhist Religion in Seilan	198	but the idolaters consider it as that of Sergamon Borcam.		Sergamon Borcam			
198	3	PART 1	18	Origin of the Boodhist Religion in Seilan	199	They describe this last as the first man whose image they worshipped, and as the best that ever lived in their country.					
199	3	PART 1	18	Origin of the Boodhist Religion in Seilan	200	He was son to a great, rich, and powerful king, yet refused to succeed to the throne, or to attend to any worldly concern.					
200	3	PART 1	18	Origin of the Boodhist Religion in Seilan	201	The monarch, who had no other son, was both grieved and angry.					
201	3	PART 1	18	Origin of the Boodhist Religion in Seilan	202	He made him large promises, offering even to resign, and raise him immediately te the throne ; 					
202	3	PART 1	18	Origin of the Boodhist Religion in Seilan	203	but the youth would listen to no such proposal.					
203	3	PART 1	18	Origin of the Boodhist Religion in Seilan	204	The father was like to die of grief, but bethought himself of a plan for bringing him back to the world.					
204	3	PART 1	18	Origin of the Boodhist Religion in Seilan	205	He lodged him in a very fine palace, and appointed 30,000 beautiful damsels to serve and amuse him.					
205	3	PART 1	18	Origin of the Boodhist Religion in Seilan	206	The prince, however, remained insensible to their seductions, and led a more virtuous and chaste life than before.					
206	3	PART 1	18	Origin of the Boodhist Religion in Seilan	207	Now his habits had been so recluse that he had never seen a dead person, or one not perfectly sound in his members.					
207	3	PART 1	18	Origin of the Boodhist Religion in Seilan	208	One day, happening to ride across the path where a man lay dead, he was utterly astonished, and asked of his attendants what that was.					
208	3	PART 1	18	Origin of the Boodhist Religion in Seilan	209	This being explained, he inquired if all men died, and being told they did so, he walked on, musing very deeply.					
209	3	PART 1	18	Origin of the Boodhist Religion in Seilan	210	Some time after, he saw one unable to walk, and with all his teeth decayed through extreme old age.					
210	3	PART 1	18	Origin of the Boodhist Religion in Seilan	211	Having asked, and being informed what that was, he declared he would no longer remain in this evil region, but would seek a place where men neither died nor grew old.					
