	chapterNo	chapterTitle	sectionNo	sectionTitle	sentence	spacy Location	spacy Person
46	1	PART 1	5	The Death of Nayan	This mode was adopted, that, being of imperial lineage, his blood might not be shed on the ground, nor his cries ascend into the air.		
47	1	PART 1	5	The Death of Nayan	When that battle was gained, four of his provinces paid tribute and homage to the great khan.		
48	1	PART 1	5	The Death of Nayan	These were Cicorcia, Cauli, Bastol, and Suchintin.	Cicorcia, Cauli, Bastol	
49	1	PART 1	6	Kublai silences the Mockery of the Jews and Saracens	"When the monarch had achieved this triumph, the Saracens, Pagans, Jews, and other generations of men who believe not in God, expressed wonder at the cross which the vanquished leader had carried on his standard, and said in derision of the Christians,-""see how the cross of your God has aided Nayan and his people."""		Saracens ,Nayan
50	1	PART 1	6	Kublai silences the Mockery of the Jews and Saracens	"They made such a noise on this subject, that it came to the ears of the prince, who was much displeased, and sending for the Christians, said to them,-""if your God did not assist Nayan, he acted with great justice, because he is a good and righteous God. Nayan was a traitor and rebel against his lord, and therefore God did well in not assisting him."""		
51	1	PART 1	6	Kublai silences the Mockery of the Jews and Saracens	"Then the Christians replied,-""O, great sire! thou hast spoken the truth, for the cross will aid nothing unjust, and he met only what he well deserved."""		
52	1	PART 1	6	Kublai silences the Mockery of the Jews and Saracens	Having gained this victory, the great khan returned to his capital, Kambalu, with much festival and rejoicing.	Kambalu	
53	1	PART 1	6	Kublai silences the Mockery of the Jews and Saracens	When the other king, named Kaidu, heard how his ally had been worsted, he was struck with fear, and did not attempt to lead his army against the monarch.		
54					Now you have seen how that prince went to battle,and for what cause, while on all other occasions he sent his son and his barons;		
55					but this war was of such magnitude that it seemed to deserve his own immediate presence. 		
56	1	PART 1	7	His Opinions as to the Christian Religion	The grand khan, having obtained this splendid victory, returned with great pomp and triumph to his capital of Kambalu.	Kambalu	
57	1	PART 1	7	His Opinions as to the Christian Religion	He arrived there in November, and remained till after March, in which month our festival of Easter occurred.		
58	1	PART 1	7	His Opinions as to the Christian Religion	Aware that this was one of our most solemn periods, he commanded all the Christians to attend him, bringing with them their book containing the four gospels.		
59	1	PART 1	7	His Opinions as to the Christian Religion	He caused it, in a very respectful manner, to be repeatedly perfumed with incense, ordering all his nobles present to do the same.		
60	1	PART 1	7	His Opinions as to the Christian Religion	Such was the custom upon each of the two great festivals of Easter and Christmas		Easter
61					and he followed the same course as that pursued by the Saracens, Jews, and idolaters.		Saracens
62	1	PART 1	7	His Opinions as to the Christian Religion	"Being asked the reason of this conduct, he replied,-""there are four great prophets revered and worshipped by different classes of mankind. The Christians hold Christ as their divinity ; the Saracens, Mohammed ; the Jews, Moses; and the idolaters, Sogomombar Khan, their most distinguished idol. I honour and respect all the four, and seek aid from them, as any one of them may really be supreme in heaven."""		Saracens ,Moses
63	1	PART 1	7	His Opinions as to the Christian Religion	Yet, from the behaviour of his majesty towards the Christians, he evidently believed their faith the best and truest ; 		
64					observing, that it enjoined nothing on its professors that was not full of virtue and holiness.		
65	1	PART 1	7	His Opinions as to the Christian Religion	He would not indeed allow the cross to be borne before them in processions, because, as he said, on it so exalted a person had been nailed and put to death.		
66	1	PART 1	7	His Opinions as to the Christian Religion	Some may ask, why if thus partial to the true faith, he did not openly embrace it?		
67	1	PART 1	7	His Opinions as to the Christian Religion	He stated his reason to Nicolo and Maffio Polo, when, on his sending them ambassadors to the Pope, they ventured to address to him a few words on the subject.		Nicolo
68	1	PART 1	7	His Opinions as to the Christian Religion	""" Why ""said he, ""should I become a Christian?"""		
69	1	PART 1	7	His Opinions as to the Christian Religion	You must yourselves see that the professors of that faith now in this country are ignorant and weak, unable to do any thing extraordinary, while the idolaters have power to do whatever they please.		
70	1	PART 1	7	His Opinions as to the Christian Religion	While I am seated at table, the cups, filled with wine or other beverage, come to me from the middle of the hall spontaneously, without being touched by any human hand.		
71	1	PART 1	7	His Opinions as to the Christian Religion	They are able to control bad weather, and force it to retire to any quarter of the heavens; 		
72					they can perform other wonderful things of the same nature.		
73	1	PART 1	7	His Opinions as to the Christian Religion	You have witnessed their idols exercising the faculty of speech, and predicting whatever events are inquired into.		
74	1	PART 1	7	His Opinions as to the Christian Religion	Should I become a convert and profess Christianity, the nobles of my court, and others disinclined to the faith, will ask what adequate motives have induced me to be baptized.		Christianity
75	1	PART 1	7	His Opinions as to the Christian Religion	What wonders, what miracles, they will say, have its ministers performed?		
76	1	PART 1	7	His Opinions as to the Christian Religion	But the idolaters declare, that their exhibitions are made through their own holiness and the might of their idols.		
77	1	PART 1	7	His Opinions as to the Christian Religion	To this I shall be unable to make any answer, and be considered as labouring under a grievous mistake, while the heathen teachers, by the profound art which they display, may easily accomplish my death.		
78	1	PART 1	7	His Opinions as to the Christian Religion	Return, however, to your pontiff, and present to him my request, that he would send a hundred persons learned in your law, who, when confronted with the others, will be able to control them, and while proving themselves endowed with similar skill, shall render their antagonists unable in their presence to carry on these practices.		
79	1	PART 1	7	His Opinions as to the Christian Religion	On witnessing this, I will interdict the exercise of their religion, and suffer myself to be baptized.		
80	1	PART 1	7	His Opinions as to the Christian Religion	This example will be followed by all my nobility, and by my subjects in general ;		
81					 so that the Christians in these regions will become more numerous than those inhabiting your own country.		
82	1	PART 1	7	His Opinions as to the Christian Religion	From this language it evidently appears that had the pope sent out persons duly qualified to preach the gospel, the great khan would have embraced that faith, for which he certainly entertained a strong predilection.		
83	1	PART 1	8	Rewards bestowed on his Soldiers	Now let us tell of the officers and barons of the great khan, and how he rewarded those who fought with him in the battle against Nayan.		Nayan
84	1	PART 1	8	Rewards bestowed on his Soldiers	To those who commanded 100 men, he gave the command of 1000, and to those of 1000 that of 10,000 ; 		
85					"and he bestowed, according to their rank, tablets of gold or of silver, on all of which was written,-""By the might of the great God, and by the favour which he gave to our emperor : may that prince be blessed, and may all those who do not obey him die and be destroyed."""		
86	1	PART 1	8	Rewards bestowed on his Soldiers	Those who hold these documents enjoy certain privileges, with written instructions how they are to exercise their authority.		
87	1	PART 1	8	Rewards bestowed on his Soldiers	He who commands 100,000 men receives a golden one, weighing 300 saggi, under which is sculptured a lion on one side, and on the other the sun and moon.	saggi	
88	1	PART 1	8	Rewards bestowed on his Soldiers	Those who bear these noble tablets have instructions, that whenever they ride they should bear above their head an umbrella of gold, and as often as they are seated, it should be upon silver.		
89	1	PART 1	8	Rewards bestowed on his Soldiers	There are also tablets whereon is sculptured a gerfalcon, which he gives to three great barons, who have then equal authority with himself.		
90	1	PART 1	8	Rewards bestowed on his Soldiers	They can take, whenever they please, and lead from place to place, the troops and horses of any prince or king; 		
91					and whoever dares to disobey in any thing their will and mandate, must die as a rebel to the sovereign.		
92	1	PART 1	8	Rewards bestowed on his Soldiers	Now let us speak of the outward form and manners of this mighty prince.		
93	1	PART 1	9	The Person of Kublai-His Wives, Concubines, and Sons	The great khan, lord of lords, named Kublai, is of a fine middle size, neither too tall nor too short; 		
94					he has a beautiful fresh complexion, and well-proportioned limbs.		
95	1	PART 1	9	The Person of Kublai-His Wives, Concubines, and Sons	His colour is fair and vermeil like the rose, his eyes dark and fine, his nose well formed and placed.		
96	1	PART 1	9	The Person of Kublai-His Wives, Concubines, and Sons	He has four ladies, who always rank as his wives ; 		
97					and the eldest son, born to him by one of them, succeeds as the rightful heir of the empire.		
98	1	PART 1	9	The Person of Kublai-His Wives, Concubines, and Sons	They are named empresses 		
99					each bears his name, and holds a court of her own; 		
